Rank,"Song Title",Streams,Daily
1,"Die With A Smile",3580900351,2598040
2,"Just the Way You Are",3210483444,1753657
3,"Locked out of Heaven",3159656899,2008159
4,"Thats What I Like",3138299535,1705072
5,"When I Was Your Man",3091539379,1421955
6,"Uptown Funk (feat Bruno Mars)",2613881490,924750
7,APT,2391072558,1613936
8,"Talking to the Moon",2071768337,1212077
9,Grenade,1911285530,881632
10,"24K Magic",1904326530,769298
11,"Young Wild Free (feta Bruno Mars)",1801094907,555680
12,"Leave The Door Open",1714878824,803888
13,"It Will Rain",1573859228,1331091
14,"Marry You",1560690328,779776
15,"The Lazy Song",1369913985,747033
16,Treasure,1366544575,576129
17,"Wake Up in the Sky",1276901848,523298
18,"Versace on the Floor",1145680416,766832
19,"Nothin on You (feat Bruno Mars)",1042218321,1054533
20,"Finesse - Remix feat Cardi B",971480820,341802
21,"Billionaire (feat Bruno Mars)",932867330,444556
22,"Count on Me",894702029,601566
23,"Please Me",828233823,545617
24,Mirror,714657305,311321
25,"Runaway Baby",684991397,485925
26,"Smokin Out The Window",606418401,213692
27,Finesse,406379379,369638
28,Chunky,402345104,179090
29,"After Last Night (with Thundercat Bootsy Collins)",369059527,234951
30,"Nothing on You",348247983,138755
31,Skate,342938624,186853
32,Lighters,325579632,135453
33,"Too Good to Say Goodbye",305316772,346682
34,"I Just Might",303936365,2732612
35,"Young Girls",285446196,114923
36,Gorilla,281558618,95195
37,Perm,226873804,63453
38,"If I Knew",221988938,189665
39,"BLOW (with Chris Stapleton Bruno Mars)",201917738,34878
40,"Liquor Store Blues (feat Damian Marley)",197026990,77959
41,"Straight up Down",196722143,57142
42,"Risk It All",189949273,4239110
43,"Calling All My Lovelies",171042883,73079
44,"Loves Train",158861692,104363
45,"Fly As Me",129291408,69314
46,"Grenade - Acoustic",123272126,27244
47,"Versace on the Floor (Bruno Mars vs David Guetta)",119798079,13903
48,Natalie,115662389,44573
49,"Fat Juicy Wet",115256598,57302
50,"Thats What I Like - Alan Walker Remix",103722728,9582
51,"Show Me",100751018,29635
52,Moonshine,96268279,52778
53,"Blast Off",92276046,25136
54,"The Other Side (feat CeeLo Green and BoB)",91747729,36018
55,"Our First Time",91310555,39994
56,"Put On A Smile",91208231,86542
57,"Silk Sonic Intro",86154218,20539
58,777,82473624,32583
59,"Talking to the Moon - Acoustic Piano",68000412,45295
60,"Leave The Door Open - Live",67101692,12049
61,"Thats What I Like (feat Gucci Mane)",63391458,15129
62,"Bubble Butt",61741395,10072
63,"Money Make Her Smile",61505378,18732
64,"24K Magic - R3hab Remix",60906275,5695
65,"Somewhere in Brooklyn",59792343,49836
66,"Treasure - Cash Cash Radio Mix",51968832,7538
67,"Uptown Funk (feat Bruno Mars) - Will Sparks Remix",48108864,4587
68,"Thats What I Like - PARTYNEXTDOOR Remix",42322853,6904
69,"Dance With Me",41987744,593358
70,"Catch a Grenade - The Hooligans Remix",40725903,20553
71,"God Was Showing Off",39696393,477871
72,"Cha Cha Cha",39408430,520126
73,"Die With A Smile - Acoustic",35313415,60824
74,"Why You Wanna Fight",34479534,475371
75,"Locked out of Heaven - The M Machine Remix",33758300,2057
76,"Bubble Butt - Remix",32639411,2470
77,"Grenade - Passion Pit Remix",31985382,4543
78,"On My Soul",31628603,408199
79,"Thats What I Like - BLVK JVCK Remix",29990384,1524
80,"Something Serious",23542813,268193
81,"Nothing Left",22388204,255083
82,"Bonde do Brunão",19263507,32916
83,"Finesse - Pink Panda Remix feat Cardi B",16922055,3254
84,"Gorilla (feat R Kelly and Pharrell) - G-Mix",14873790,3855
85,"Locked out of Heaven - Sultan and Ned Shepard Remix",14123848,2202
86,"Finesse - James Hype Remix feat Cardi B",8978918,854
87,"Uptown Funk (feat Bruno Mars) - Trinidad James Remix",8415172,3055
88,"Treasure - Sharam Radio Remix",7166817,1746
89,"Just the Way You Are (feat Lupe Fiasco) - 2010 Remix",6568008,29776
90,"Billionaire (feat Bruno Mars) - Radio Edit",6324445,15675
91,"Die With A Smile - Live in Las Vegas",6270803,14429
92,"Treasure - Audien Radio Edit",5989291,514
93,"Uptown Funk (feat Bruno Mars) - Wideboys VIP Remix",5667028,610
94,"Locked out of Heaven - CAZZETTEs Answering Machine Mix",5536377,390
95,"Just the Way You Are - Simon Steur Club Mix",5414544,2161
96,"Treasure - Bailey Smalls Radio Edit",5130034,1796
97,"Uptown Funk (feat Bruno Mars) - Dave Audé Remix",5090615,987
98,"Locked out of Heaven - Paul Oakenfold Remix",5090297,524
99,"I Just Might - Austin Millz Remix",4420005,28351
100,"Treasure - Robert DeLong Radio Edit",4401817,1617
101,"This Is My Love",3779599,47
102,"Just the Way You Are - Skrillex BatBoi Remix",3703015,540
103,"Die With A Smile - Instrumental",2579247,2692
104,"Just the Way You Are - Steve Smart Westfunk Club Mix",2434506,721
105,"Nothin on You (feat Bruno Mars) - Acappella",2251361,11246
106,"Just the Way You Are - Carl Louis Martin Danielle Classic Mix",2127777,1620
107,3D,2083220,952
108,"Just the Way You Are - Carl Louis Martin Danielle Club Mix",1626094,318
109,"Just the Way You Are - Manufactured Superstars and Jquintal Remix",1594513,310
110,"Bubble Butt (feat feat Bruno Mars 2 Chainz Tyga) - Black M Remix",725775,13
111,"Old Crazy (feat Esperanza Spalding)",364485,56
112,"Grenade - Michael Meds Mix",322200,361
113,"Young Girls - Demo",278762,42
114,"Grenade - John de Sohn Mix",269114,268
115,"Locked out of Heaven - Major Lazer Remix",233514,30
116,"Gorilla - Demo",225788,23
117,"Moonshine - The Futuristics Remix",223478,25
118,"Nothin on You (feat Bruno Mars) - TCs Switch-Up Remix",211032,391
119,"Nothin on You (feat Bruno Mars) - TCs Switch-Up Extended Version",166647,25
120,"Die With A Smile - Instrumental Acoustic",144350,210
