Ranking,Song Title (04.03.25),Streams ges. (04.03.25),Daily (03.03.25)
1,Night Changes,2.042.190.669,1.439.727
2,Story of My Life,1.576.089.329,1.063.489
3,What Makes You Beautiful,1.522.339.005,783.226
4,Drag Me Down,1.248.506.146,374.102
5,Perfect,1.029.570.854,514.603
6,Steal My Girl,960.128.491,620.419
7,18,771.314.999,334.591
8,You & I,689.833.356,437.069
9,Best Song Ever,669.842.843,248.650
10,Little Things,663.846.212,163.792
11,History,621.433.244,126.475
12,They Don't Know About Us,605.201.192,159.175
13,Right Now,526.343.339,296.005
14,Kiss You,469.537.086,134.797
15,Live While We're Young,441.261.198,154.546
16,One Thing,410.867.183,154.105
17,Strong,351.371.164,149.602
18,No Control,323.473.019,92.754
19,If I Could Fly,296.281.859,53.047
20,Olivia,295.690.217,57.982
21,Infinity,247.340.678,49.376
22,Stockholm Syndrome,245.533.451,74.699
23,Midnight Memories,245.153.060,67.485
24,Love You Goodbye,223.090.522,51.217
25,Fool's Gold,208.861.211,55.279
26,Where Do Broken Hearts Go,206.159.005,66.384
27,Fireproof,201.866.318,69.606
28,A.M.,200.746.485,38.891
29,Half a Heart,198.153.124,36.858
30,What a Feeling,195.338.657,50.105
31,One Way or Another (Teenage Kicks),190.913.270,50.620
32,End of the Day,183.830.159,35.923
33,Happily,179.426.245,39.773
34,Over Again,177.614.068,39.778
35,More Than This,176.433.374,44.867
36,Walking in the Wind,171.406.664,57.349
37,Last First Kiss,159.742.444,41.175
38,Rock Me,159.537.385,42.416
39,Diana,159.073.082,42.710
40,Ready to Run,154.473.389,46.999
41,Temporary Fix,147.239.707,34.866
42,Girl Almighty,145.084.974,39.042
43,Up All Night,138.262.713,37.654
44,Gotta Be You,134.068.540,36.610
45,Wolves,133.330.848,30.248
46,I Would,127.350.662,36.179
47,Never Enough,126.292.102,24.290
48,I Want to Write You a Song,124.523.358,24.931
49,Don't Forget Where You Belong,119.737.095,30.712
50,C'mon C'mon,114.446.562,37.214
51,She's Not Afraid,114.276.177,32.634
52,Through the Dark,113.239.793,39.004
53,Hey Angel,113.069.186,27.798
54,Moments,112.072.065,30.485
55,Act My Age,104.608.435,25.907
56,Home,104.383.549,22.810
57,Heart Attack,101.058.573,22.541
58,I Wish,97.100.769,23.972
59,Better Than Words,95.688.083,23.743
60,Long Way Down,93.410.007,20.844
61,Clouds,93.217.888,23.682
62,Taken,93.109.879,21.800
63,Nobody Compares,90.920.895,24.656
64,Little White Lies,90.618.091,22.211
65,Spaces,90.610.196,20.802
66,Still The One,88.354.442,23.885
67,Little Black Dress,87.660.850,20.510
68,Change My Mind,86.143.817,20.762
69,Summer Love,85.702.969,16.879
70,I Want,81.045.589,19.397
71,Once in a Lifetime,79.254.001,18.207
72,Does He Know?,78.958.617,19.578
73,Why Don't We Go There,77.484.988,19.277
74,Change Your Ticket,75.748.613,20.277
75,Back For You,73.003.329,16.556
76,Loved You First,70.458.975,17.669
77,Something Great,69.454.528,15.505
78,Stand Up,69.306.201,17.164
79,Same Mistakes,68.738.338,15.702
80,Alive,67.565.215,16.948
81,Magic,67.554.719,28.616
82,Illusion,66.046.333,15.024
83,Tell Me a Lie,65.534.735,16.591
84,Stole My Heart,64.501.712,18.497
85,Na Na Na,62.810.868,17.741
86,Everything About You,57.306.667,13.568
87,I Should Have Kissed You,57.018.311,17.497
88,Save You Tonight,52.795.268,13.249
89,Night Changes - Live Acoustic Session,43.772.124,8.787
90,Truly Madly Deeply,42.661.853,16.857
91,Irresistible,38.655.260,17.037
92,Another World,34.374.612,9.718
93,One Thing - Acoustic,33.216.309,8.205
94,You & I - Piano Version,31.089.087,3.903
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.459.262,8.530
96,Steal My Girl - Acoustic Version,24.281.050,5.734
97,You & I - Radio Edit,20.394.739,1.411
98,Perfect (feat. Matoma) - Matoma Remix,19.594.979,713
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.535.979,305
100,Steal My Girl - Live Acoustic Session,11.576.247,1.192
101,Best Song Ever - Kat Krazy Remix,8.413.352,860
102,Night Changes - Afterhrs Remix,8.135.143,618
103,You & I - Big Payno Remix,7.107.727,324
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.686.811,554
105,"C'mon, C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.263.962,2.532
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.734.016,1.136
107,Live While We're Young - The Jump Smokers Remix,4.557.775,281
108,Story of My Life - Live X Factor Performance,4.436.891,1.053
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.354.546,215
110,Best Song Ever - Jump Smokers Remix,4.155.619,398
111,I Want - Live,4.049.233,737
112,Live While We're Young - Dave Aude Remix,3.621.351,188
113,One Way or Another (Teenage Kicks) - Instrumental,2.339.039,357
114,You & I - Duet Version,2.292.488,328
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.177.156,334
116,What Makes You Beautiful - Live,2.129.750,988
117,More Than This - Live,1.714.593,731
118,Up All Night - Live,1.444.631,725
119,Best Song Ever - WestFunk & Steve Smart Remix,1.281.731,169
120,Gotta Be You - Live,1.270.181,534
121,Gotta Be You - Steve Smart & Westfunk Remix,523.536,150
122,Gotta Be You - Mojam Remix,441.926,123
123,Kiss You - Sharoque Remix,428.041,158
