Ranking,Song Title (01.04.25),Streams  ges. (01.04.25),Daily (31.03.25)
1,Night Changes,2.082.241.298,1.317.247
2,Story of My Life,1.604.876.234,990.886
3,What Makes You Beautiful,1.547.741.039,893.408
4,Drag Me Down,1.261.100.144,468.500
5,Perfect,1.044.744.856,512.577
6,Steal My Girl,978.958.530,679.897
7,18,780.956.226,292.711
8,You & I,703.494.772,507.590
9,Best Song Ever,677.141.320,263.891
10,Little Things,668.450.518,154.277
11,History,625.066.691,125.262
12,They Don't Know About Us,609.791.628,150.954
13,Right Now,534.827.018,266.227
14,Kiss You,473.510.954,139.040
15,Live While We're Young,445.765.114,152.999
16,One Thing,415.326.107,157.627
17,Strong,355.587.969,131.876
18,No Control,326.199.859,98.623
19,If I Could Fly,297.726.540,53.637
20,Olivia,297.378.053,59.677
21,Infinity,248.761.547,48.987
22,Stockholm Syndrome,247.770.470,85.706
23,Midnight Memories,247.063.563,67.486
24,Love You Goodbye,224.535.007,51.859
25,Fool's Gold,210.412.394,58.870
26,Where Do Broken Hearts Go,208.090.230,69.298
27,Fireproof,203.785.066,71.833
28,A.M.,201.837.481,38.596
29,Half a Heart,199.200.469,36.764
30,What a Feeling,196.815.711,53.801
31,One Way or Another (Teenage Kicks),192.394.492,50.456
32,End of the Day,184.780.726,32.415
33,Happily,180.608.912,40.719
34,Over Again,178.743.217,42.098
35,More Than This,177.717.545,46.177
36,Walking in the Wind,173.015.397,55.841
37,Last First Kiss,160.916.385,40.641
38,Rock Me,160.727.067,43.454
39,Diana,160.279.289,41.555
40,Ready to Run,155.805.265,49.186
41,Temporary Fix,148.220.476,35.737
42,Girl Almighty,146.196.089,40.879
43,Up All Night,139.367.577,39.930
44,Gotta Be You,135.137.912,38.214
45,Wolves,134.195.795,31.537
46,I Would,128.442.302,37.300
47,Never Enough,126.987.829,25.168
48,I Want to Write You a Song,125.205.709,24.735
49,Don't Forget Where You Belong,120.592.967,30.195
50,C'mon C'mon,115.542.612,37.656
51,She's Not Afraid,115.205.231,31.881
52,Through the Dark,114.350.970,38.393
53,Hey Angel,113.846.215,27.025
54,Moments,112.945.190,31.249
55,Act My Age,105.347.759,24.214
56,Home,105.025.678,23.421
57,Heart Attack,101.711.482,23.891
58,I Wish,97.795.169,24.263
59,Better Than Words,96.381.241,22.951
60,Long Way Down,93.980.721,20.867
61,Clouds,93.879.167,2.307
62,Taken,93.733.005,22.395
63,Nobody Compares,91.613.343,24.131
64,Little White Lies,91.255.813,22.042
65,Spaces,91.203.161,21.020
66,Still The One,89.044.445,25.110
67,Little Black Dress,88.256.078,20.349
68,Change My Mind,86.735.875,20.264
69,Summer Love,86.186.790,17.051
70,I Want,81.609.548,20.331
71,Once in a Lifetime,79.760.082,18.543
72,Does He Know?,79.523.348,19.682
73,Why Don't We Go There,78.046.053,19.789
74,Change Your Ticket,76.338.464,20.813
75,Back For You,73.474.049,16.702
76,Loved You First,70.963.316,17.582
77,Something Great,69.948.082,16.565
78,Stand Up,69.806.192,17.471
79,Same Mistakes,69.193.927,16.740
80,Magic,68.396.693,29.664
81,Alive,68.043.304,16.276
82,Illusion,66.483.714,15.251
83,Tell Me a Lie,66.017.404,16.793
84,Stole My Heart,65.030.577,18.943
85,Na Na Na,63.323.298,18.331
86,Everything About You,57.701.931,13.723
87,I Should Have Kissed You,57.520.737,17.872
88,Save You Tonight,53.159.259,12.600
89,Night Changes - Live Acoustic Session,44.042.276,10.683
90,Truly Madly Deeply,43.137.576,16.756
91,Irresistible,39.126.898,16.698
92,Another World,34.654.959,9.789
93,One Thing - Acoustic,33.452.055,7.987
94,You & I - Piano Version,31.198.503,3.962
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.704.289,8.622
96,Steal My Girl - Acoustic Version,24.433.228,4.526
97,You & I - Radio Edit,20.438.427,1.651
98,Perfect (feat. Matoma) - Matoma Remix,19.616.429,815
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.545.062,330
100,Steal My Girl - Live Acoustic Session,11.612.055,1.273
101,Best Song Ever - Kat Krazy Remix,8.440.880,984
102,Night Changes - Afterhrs Remix,8.154.496,690
103,You & I - Big Payno Remix,7.116.626,288
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.702.420,594
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.333.309,2.642
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.765.726,1.092
107,Live While We're Young - The Jump Smokers Remix,4.565.843,285
108,Story of My Life - Live X Factor Performance,4.468.116,1.146
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.360.387,207
110,Best Song Ever - Jump Smokers Remix,4.167.922,427
111,I Want - Live,4.070.206,775
112,Live While We're Young - Dave Aude Remix,3.627.861,231
113,One Way or Another (Teenage Kicks) - Instrumental,2.348.257,287
114,You & I - Duet Version,2.301.758,330
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.185.925,324
116,What Makes You Beautiful - Live,2.158.038,977
117,More Than This - Live,1.735.525,783
118,Up All Night - Live,1.463.916,743
119,Best Song Ever - WestFunk & Steve Smart Remix,1.286.809,181
120,Gotta Be You - Live,1.285.420,539
121,Gotta Be You - Steve Smart & Westfunk Remix,528.395,166
122,Gotta Be You - Mojam Remix,445.999,148
123,Kiss You - Sharoque Remix,433.202,198
