Rank,"Song Title",Streams,Daily
1,Yellow,3709311712,1572629
2,"Something Just Like This",3599114341,1068867
3,"Viva La Vida",3286211385,1342724
4,"The Scientist",2825709439,1045652
5,"A Sky Full of Stars",2318352678,844558
6,"Fix You",2096624998,714553
7,Sparks,2028986938,1397206
8,"Hymn for the Weekend",1924949399,536264
9,Paradise,1849607880,663991
10,"My Universe",1594702637,347438
11,"Adventure of a Lifetime",1560946607,840161
12,Clocks,1490586695,748354
13,Magic,804937959,118007
14,"Hymn for the Weekend - Seeb Remix",702035932,58703
15,"In My Place",499045924,176115
16,Trouble,492432369,167875
17,"Higher Power",453851231,88810
18,"Christmas Lights",419344351,7114
19,"Speed of Sound",401711640,92052
20,"Every Teardrop Is a Waterfall",391840223,108274
21,Everglow,375275985,102429
22,"Princess of China",346442095,106795
23,"Charlie Brown",311236204,66737
24,Up&Up,311063939,46166
25,"Let Somebody Go",299132871,42839
26,feelslikeimfallinginlove,297106810,162117
27,"Don't Panic",286219329,65720
28,Orphans,274895755,34630
29,"A Head Full of Dreams",239881379,33802
30,"Violet Hill",231214732,54440
31,"WE PRAY",226152009,155250
32,Shiver,217363770,55474
33,"Green Eyes",176790791,66188
34,"Always in My Head",172726968,40470
35,Talk,168970202,57834
36,Midnight,168686900,20173
37,"Everyday Life",154083530,21757
38,Birds,150579387,20040
39,"Everglow - Edit",146437559,17251
40,"God Put a Smile upon Your Face",142277855,31063
41,O,141951461,37504
42,Ink,128175966,24118
43,"The Hardest Part",124239967,38654
44,"A Message",119846324,29123
45,"Miracles (Someone Special)",119148033,12500
46,"Warning Sign",116341645,41710
47,"Fun (feat. Tove Lo)",114882128,10080
48,Politik,113279461,21710
49,"High Speed",112500641,24117
50,"We Never Change",109888004,44554
51,"Strawberry Swing",107341610,20113
52,"Viva La Vida - Live from Spotify London",104552172,14711
53,"True Love",103551094,16446
54,"ALL MY LOVE",101182959,79799
55,"Amazing Day",100686751,15905
56,"Til Kingdom Come",98909995,33006
57,Biutyful,96760389,19373
58,"Army of One",89235315,10434
59,Lost!,87005260,12872
60,"See You Soon",86938407,12992
61,"Hurts Like Heaven",84158873,11308
62,"Champion Of The World",81787147,13102
63,Coloratura,80723208,18095
64,"Life in Technicolor ii",80275132,18794
65,"Us Against the World",79832124,11776
66,"Viva La Vida - Live in Buenos Aires",76239656,9667
67,Spies,75069581,20883
68,Parachutes,74077034,13697
69,"Lovers in Japan / Reign of Love",73174661,10845
70,"All I Can Think About Is You",73145739,8458
71,Daddy,71893143,11970
72,"A Rush of Blood to the Head",70397140,20695
73,Arabesque,69659190,9025
74,"Fix You - Live in Buenos Aires",68612843,7943
75,"Everglow - Live from Spotify London",67214435,4570
76,"Princess of China - Acoustic",67207464,4490
77,"Adventure of a Lifetime - Live from Spotify London",67123426,7826
78,"Yellow - Live from Spotify London",65568504,5485
79,"Something Just Like This - Alesso Remix",65480937,5402
80,Flags,64788353,13946
81,"A Sky Full of Stars - Live at the Royal Albert Hall, London",63920093,8299
82,"Life in Technicolor",62221980,8165
83,"Atlas - From “The Hunger Games: Catching Fire” Soundtrack",59789295,6386
84,"What If",59600870,11465
85,"A Whisper",59538705,6516
86,"Everything's Not Lost - Includes Hidden Track 'Life Is For Living'",59454260,12907
87,Humankind,59406674,9456
88,"Another's Arms",57687582,6827
89,"WE PRAY - (TINI Version)",57385392,29407
90,Amsterdam,56430906,12372
91,Kaleidoscope,55338998,2684
92,X&Y,54809748,10345
93,"Death and All His Friends",53329418,9376
94,"Ma Meilleure Ennemie ft. Coldplay",53307629,73333
95,"Hypnotised - EP Mix",53210230,4513
96,Sunrise,52597323,6653
97,"People of The Pride",52464091,7952
98,"Princess of China - Radio Edit",51994518,8346
99,"Swallowed in the Sea",51539698,10420
100,"GOOD FEELiNGS",51471083,33407
101,Oceans,49388033,6017
102,Miracles,48486251,11143
103,"Colour Spectrum",48044815,2870
104,"Cemeteries of London",47600228,5570
105,"My Universe - SUGA's Remix",46713450,21172
106,42,46478419,6111
107,❤️,46284663,8065
108,Everglow,44696548,4549
109,"A L I E N S",43815890,1526
110,"Mylo Xyloto",43608030,4167
111,"Old Friends",41981366,7628
112,"Something Just Like This - Tokyo Remix",41344229,2426
113,"Midnight - Kygo Remix",41117677,4912
114,"Up in Flames",40725066,3075
115,Gravity,40042897,9427
116,Daylight,39890508,6393
117,"White Shadows",39778502,7799
118,"Christmas Lights - Live from Spotify London",38858387,1362
119,"Magic - Live at the Enmore Theatre, Sydney",38703470,1619
120,"Major Minus",38540494,2418
121,"Square One",37643116,6127
122,"Adventure of a Lifetime - Matoma Remix",37350994,3065
123,"Viva La Vida - Live",36973995,9836
124,"A Sky Full of Stars - Hardwell Remix",36956123,6352
125,"Lost+ (with Jay-Z)",36898481,2729
126,"feelslikeimfallinginlove - Zerb x Coldplay",36753676,32087
127,Up&Up,36619521,2600
128,"A Sky Full of Stars",36349189,13701
129,Church,36300498,4922
130,"Trouble In Town",36295019,2768
131,"My Universe - Galantis Remix",35774737,4186
132,"Paradise - Tiësto Remix",35759589,2537
133,"Don't Let It Break Your Heart",34989807,3325
134,Yes,34039339,3187
135,Hypnotised,33478106,2876
136,U.F.O.,33345035,1945
137,"Cry Cry Cry",32911069,3546
138,Low,31777539,5191
139,"Something Just Like This - Don Diablo Remix",31563316,2090
140,"My Universe - Acoustic Version",31242352,6605
141,"Up with the Birds",29579158,2200
142,"Fix You - Live",29542881,6936
143,"Every Teardrop Is A Waterfall (Coldplay Vs. Swedish House Mafia)",29128065,7002
144,♾,28494309,3092
145,"The Scientist - Live in Buenos Aires",28414572,6690
146,M.M.I.X.,27688460,1401
147,"When I Need A Friend",27551941,1850
148,"Postcards from Far Away",26090473,1719
149,🪐,25460331,2448
150,"A Hopeful Transmission",24792355,1333
151,"Yellow - Live in Buenos Aires",24758127,3183
152,"MOON MUSiC",24648550,11625
153,"Fix You",24587628,14903
154,"Yellow - Live",23958571,5111
155,BrokEn,22972166,1894
156,"WE PRAY - TWICE Version",22946062,21484
157,"Always in My Head - Live at the Royal Albert Hall, London",22490959,821
158,"Twisted Logic",22396793,2773
159,"Ink - Live at Le Casino De Paris, Paris",22317491,946
160,"Glass of Water",22200489,1835
161,"ALL MY LOVE - PNAU x Coldplay",21860687,11445
162,"Paradise - Live in Buenos Aires",21269165,2384
163,"A Head Full of Dreams - Live in Buenos Aires",20452567,2026
164,"My Universe - David Guetta Remix",20440101,3532
165,Èkó,20312096,2801
166,"Paradise - Live",19843764,2428
167,✨,19634784,1660
168,JUPiTER,19331826,7506
169,"Every Teardrop Is a Waterfall - Live in Buenos Aires",19098342,2108
170,"Lovers in Japan - Osaka Sun Mix",18231917,1505
171,"Adventure of a Lifetime - Live in Buenos Aires",18119859,2771
172,"بنی آدم",17993753,1467
173,"Higher Power - Tiësto Remix",17978172,1201
174,"Now My Feet Won't Touch the Ground",17723973,1213
175,"WOTW / POTP",17584689,1120
176,"True Love - Live at the Enmore Theatre, Sydney",17533346,576
177,"Hymn for the Weekend - Live in Buenos Aires",17456589,2343
178,"Clocks - Live in Buenos Aires",17238919,3538
179,"Midnight - Live at the Royal Albert Hall, London",16933549,707
180,iAAM,16762166,7635
181,"A Sky Full of Stars - Live in Buenos Aires",16567581,2782
182,AETERNA,16561702,7580
183,"Prospekt's March / Poppyfields",16482316,1292
184,"WE PRAY - (Elyanna Version)",16382260,6874
185,"Rainy Day",15962608,1051
186,"Something Just like This - Live in Buenos Aires",15945979,3717
187,Guns,15852232,1074
188,"O - Live at Royce Hall, Los Angeles",15784786,650
189,"Everglow - Live in Buenos Aires",15367595,1826
190,"Another's Arms - Live at the Beacon Theatre, New York",15261510,471
191,"Let Somebody Go - Kygo Remix",14471579,3221
192,"Have Yourself a Merry Little Christmas - Jo Whiley, BBC Radio 1 Session",14257615,227
193,"Charlie Brown - Live in Buenos Aires",14238713,1656
194,"Something Just Like This - Dimitri Vegas & Like Mike Remix",14226010,730
195,"Clocks - Live",14166634,3189
196,"Oceans - Live at E-Werk, Cologne",13973621,440
197,"Magic - Live in Buenos Aires",13971082,1478
198,"De Música Ligera - Live in Buenos Aires",13697341,1741
199,🌈,13584508,5156
200,"Something Just Like This - R3hab Remix",13521695,742
201,"God Put a Smile upon Your Face - Live in Buenos Aires",13507817,1239
202,"Charlie Brown - Live",13350246,1658
203,"In My Place - Live 2012",13295321,2028
204,"My Universe - Supernova 7 Mix",12765377,6202
205,"Always in My Head - Live in Buenos Aires",12191263,1198
206,"Higher Power - Acoustic Version",11362515,1576
207,"Up&Up - Freedo Remix",11229797,742
208,"ONE WORLD",10794596,4342
209,"We All Fall In Love Sometimes",10718406,1310
210,"My Universe - Instrumental",10357849,919
211,"Midnight - Live in Buenos Aires",10068227,956
212,"Every Teardrop Is a Waterfall - Live",9934939,950
213,"Up&Up - Live in Buenos Aires",9892458,1322
214,"In My Place - Live in Buenos Aires",9696056,1089
215,"Day ‘n’ Nite - Spotify Singles",9135190,815
216,"Princess of China - Live",8893876,960
217,"Let Somebody Go - Single Version",8778631,825
218,"The Karate Kid",8731673,3931
219,"Hurts Like Heaven - Live",8624640,921
220,"For You",8049930,1096
221,"Yellow - Live in Sydney",7939109,1081
222,"God Put a Smile upon Your Face - Live",7711474,625
223,"Fix You - Live from Arnhem, Netherlands",7629802,684
224,Lost?,7540850,1038
225,"WE PRAY - Jasleen Royal Version",7287149,2599
226,"Us Against the World - Live",7094112,765
227,"Let Somebody Go - Piano Version",7048264,1627
228,"Help Is Round the Corner",7008670,891
229,"Mylo Xyloto - Live",7007293,567
230,"Colour Spectrum - Live in Buenos Aires",6664062,610
231,"Amor Argentina - Live in Buenos Aires",6270040,595
232,"Higher Power - ZHU Remix",6237429,527
233,"Orphans - Muzi Remix",6214578,292
234,"Ghost Story",6206041,1955
235,"Major Minus - Live",6181471,580
236,"See You Soon - Live in Sydney",6179075,658
237,"Clocks - Radio Edit",6054583,3243
238,"Crests of Waves",5984577,811
239,"Moving to Mars",5916874,679
240,"Clocks - Live in Sydney",5772848,766
241,"Up in Flames - Live",5690567,441
242,"Careful Where You Stand",5671528,816
243,"I Ran Away",5441203,724
244,"Princess of China - Invisible Men Remix",5432978,548
245,"Let Somebody Go - Ofenbach Remix",5399161,532
246,Talk,5359497,1709
247,"Bittersweet Symphony - Live at Live 8, Hyde Park, London, 2nd July 2005",5268076,2249
248,"Easy To Please",5232984,541
249,"Something Just Like This - ARMNHMR Remix",5191744,315
250,"End Credits - Live in Buenos Aires",5181079,458
251,"Moses - Live in Sydney",5066341,800
252,Animals,5055543,623
253,"Man in The Moon",5029614,3569
254,"Politik - Live in Sydney",4966018,847
255,"Bigger Stronger",4903720,669
256,"I Bloom Blaum",4850840,456
257,"All Your Friends",4629588,550
258,"A Rush of Blood to the Head - Live in Sydney",4508228,576
259,"In My Place - Live in Sydney",4480496,620
260,"2000 Miles",4470244,293
261,"Brothers & Sisters",4241257,328
262,"Things I Don't Understand",4210933,691
263,"A L I E N S - Markus Dravs Remix",4180224,226
264,"Such a Rush",4001208,522
265,"Something Just Like This - Jai Wolf Remix",3963539,375
266,"No More Keeping My Feet on the Ground",3923392,469
267,"Don't Panic",3911606,730
268,"Only Superstition",3823122,373
269,"One I Love",3751841,520
270,"God Put a Smile upon Your Face - Live in Sydney",3734283,428
271,"Amsterdam - Live in Sydney",3664604,470
272,"You Only Live Twice - Live from Norway",3617348,255
273,1.36,3544345,279
274,"Midnight - Giorgio Moroder Remix",3491560,209
275,"Everything's Not Lost - Live in Sydney",3387780,465
276,"One I Love - Live in Sydney",3266675,380
277,"Shiver - Live in Sydney",3254941,378
278,"Speed of Sound - Live",3197636,228
279,Proof,3182505,609
280,"Shiver (Jo Whiley Lunchtime Social)",3143163,395
281,"Let Somebody Go - Spotify Singles",3141773,273
282,"Life in Technicolor ii - Live at the O2, London",3059468,157
283,"All My Love - Live in Dublin",3059164,1498
284,"O - Reprise",3009213,278
285,feelslikeimfallinginlive,3007164,3348
286,"The Goldrush",2890197,224
287,"Higher Power - Alyx Ander Remix",2885346,381
288,Angelsong,2879972,1383
289,"Moon Music - Elodie",2871260,1522
290,"The World Turned Upside Down",2851432,399
291,"Champion Of The World - Live at NPR's Tiny Desk",2685626,297
292,"Sleeping Sun",2674183,412
293,"Adventure of a Lifetime - Yotto Remix",2658330,10844
294,"i Am A Mountain",2631091,2047
295,"We Pray - Be Our Guest",2588339,1366
296,"Brothers & Sisters",2497870,348
297,Murder,2476339,353
298,"Overtura - Music Of The Spheres album trailer",2399835,153
299,"Death Will Never Conquer",2372246,344
300,👋,2314981,1573
301,"Talk - Thin White Duke Mix",2097119,252
302,"Jupiter - Single Version",1936857,1062
303,"Lost@ - Live at the United Center, Chicago, IL",1914559,173
304,"Viva La Vida - Live in Paris, 2008",1892863,534
305,"Talk - Junkie XL Remix",1793605,131
306,"Clocks - Live in Madrid, 2008",1776883,371
307,"Pour Me - Live at the Hollywood Bowl",1729225,176
308,"Fix You - Live in Sydney, 2009",1593222,447
309,"In My Place - Live at Live 8, Hyde Park, London, 2nd July 2005",1584975,1801
310,"How You See the World - Live from Earls Court",1485498,126
311,"A Spell a Rebel Yell",1428006,180
312,"True Love - Davide Rossi Remix",1320340,179
313,"The Hardest Part / Postcards from Far Away - Live in Sydney, 2009",1239310,347
314,"Fix You - Live at Live 8, Hyde Park, London, 2nd July 2005",1031111,727
315,"Clocks - Royksopp Trembling Heart Mix",990840,430
316,"Strawberry Swing - Live in Madrid, 2008",949394,264
317,"Wish I Was Here",869407,882
318,"Death and All His Friends - Live in Madrid, 2008",835820,236
319,"Glass of Water - Live in Sydney, 2009",824897,204
320,"Midnight - Jon Hopkins Remix",750534,106
321,"42 - Live in Madrid, 2008",723694,192
322,"Death Will Never Conquer - Live in Sydney, 2009",637575,147
323,"How You See The World No. 2",617237,154
324,"A Sky Full of Stars - Robin Schulz Remix",609779,307
325,"Talk - Francois K Dub",558202,14
326,"Viva La Vida - Live at the Enmore Theatre, Sydney",368801,22
327,"A Sky Full of Stars - Live at the Enmore Theatre, Sydney",342111,18
328,"Clocks - Live at the Enmore Theatre, Sydney",321627,21
329,"Magic - Live at the Enmore Theatre, Sydney; 2016 Remaster",282631,15
330,"Oceans - Live at the Enmore Theatre, Sydney",198523,9
331,"A Head Full of Dreams",190500,281
332,"Viva La Vida - Live",131125,33
333,🌎,88326,2
