Rank,"Song Title",Streams,Daily
1,Despacito,2112717185,558292
2,"Despacito - Remix",1881903830,340167
3,"Con Calma",1631178851,412725
4,Gasolina,1415544357,851364
5,China,1365732589,361523
6,"La Santa",1222683294,346857
7,"Soltera (Remix)",1180414979,303126
8,"Sola (Remix)",1007512065,509579
9,"Yo Voy (feat Daddy Yankee)",929732902,574076
10,"Lo Que Pasó Pasó",823750415,296679
11,"Andas En Mi Cabeza",741657308,223558
12,Dura,741565477,113686
13,Limbo,711139363,318362
14,"Relación - Remix",666583191,58795
15,Vuelve,657608448,245831
16,"La Rompe Corazones",616459585,135894
17,"Baila Baila Baila - Remix",615274782,323625
18,"Ella Me Levantó",590407460,253358
19,"Bella y Sensual",587244331,102260
20,"Tu Príncipe",549092181,205650
21,"La Despedida",513821361,174131
22,"Llamado de Emergencia",510898468,197768
23,Adictiva,491735670,78858
24,Rompe,483577988,332512
25,"X ÚLTIMA VEZ",466225934,57613
26,"Gyal You A Party Animal - Remix",395584401,178331
27,"Noche De Entierro",392931894,206687
28,"Shaky Shaky",392910950,53201
29,"Dura - Remix",378082569,52719
30,"Si Supieras",371270592,7
31,Muévelo,368198306,33612
32,"En La Cama (feat Daddy Yankee)",351228061,211426
33,Pose,331763872,280707
34,"Mayor Que Yo 3",319204121,152069
35,Instagram,307561666,14269
36,"Havana - Remix",293887710,23317
37,"Donde Estan las Gatas",293606139,163708
38,Runaway,287086450,32887
39,"Sígueme Y Te Sigo",280722766,78953
40,"No Me Dejes Solo",273621161,210030
41,"Oye Mi Canto",272984675,167512
42,"Nota de Amor (feat Daddy Yankee)",270327405,71649
43,PAM,266914789,34279
44,"Qué Tengo Que Hacer",259797788,108106
45,"Salgo Pa la Calle",254037671,242599
46,Azukita,242846273,29647
47,Lovumba,241344525,150192
48,"No Lo Trates",235098590,24679
49,Pasarela,235080873,116821
50,"De Vuelta Pa La Vuelta",216912704,62536
51,RUMBATÓN,206594112,22694
52,"Ven Conmigo",203180971,162581
53,"La Nueva Y La Ex",197685151,70177
54,"PANTIES Y BRASIERES",196546241,51223
55,"Llegamos A La Disco",192867746,141793
56,"Con Calma - Remix",192537520,22069
57,"Moviendo Caderas (feat Daddy Yankee)",192296451,44087
58,PROBLEMA,189054518,19826
59,"La Fórmula (feat Chris Jedi)",175732315,78858
60,"Don Don",170885009,19557
61,"Tu No Metes Cabra - Remix",169358788,46706
62,"Daddy Yankee Bzrp Music Sessions Vol 066",166807287,411875
63,"ULALA (OOH LA LA)",165735597,15939
64,BOMBÓN,165484036,45716
65,"No Quiere Enamorarse - Remix",163946054,23734
66,"Yankee 150",157107381,19398
67,"Aprovecha (feat Daddy Yankee)",148247911,97784
68,"Tumba la Casa - Remix",146102702,43280
69,"Somos de Calle",142940974,99813
70,"El Amante",139993028,120447
71,"Zum Zum",134611384,5787
72,"Mayor Que Usted",134366197,12338
73,"Fronteamos Porque Podemos (feat Daddy Yankee Yandel Nengo Flow)",126708280,74747
74,Vaivén,124652966,10898
75,"Perros Salvajes",124521980,66804
76,"Todo Comienza en la Disco",123737324,9439
77,"Ginza - Remix",117228448,17334
78,"El Desorden",116037291,31684
79,"More Than Friends - Radio Edit",115011907,88529
80,"Sábado Rebelde",114597446,84957
81,HOT,111170534,33162
82,Descontrol,110903845,52965
83,"Gasolina - Dj Buddha Remix - with Pitbull Lil Jon Noriega Dj Buddha",103467675,15935
84,"Imaginándote (feat Daddy Yankee)",101713671,38058
85,"Hula Hoop",96655449,6731
86,"No Es Culpa Mía - Bonus Track",94763309,40863
87,"Salud y Vida",94261192,62836
88,"Hasta el Amanecer (feat Daddy Yankee) - The Remix",92527459,15709
89,"BAILAR CONTIGO",90776976,17456
90,Confía,87936005,4291
91,"LA BABY",87203931,18752
92,"Sal y Perrea - Remix",80968777,9372
