Rank,"Song Title",Streams,Daily
1,"Shape of You",4843303115,1479864
2,Perfect,3897084177,1336395
3,Photograph,3364099322,1325777
4,"Thinking out Loud",3076963253,938397
5,"I Don't Care",2148210224,537065
6,"Bad Habits",2127080488,590992
7,Shivers,2020683716,528605
8,"Castle on the Hill",1576858016,315559
9,"Galway Girl",1576394940,463034
10,"Beautiful People (feat. Khalid)",1542302374,196193
11,Happier,1479095392,203696
12,"The A Team",1147841821,202746
13,"Bam Bam (feat. Ed Sheeran)",1093986122,215937
14,"I See Fire",1036568804,126103
15,"River (feat. Ed Sheeran)",935712583,143884
16,"South of the Border (feat. Camila Cabello & Cardi B)",871705889,133198
17,Don't,862298963,133064
18,Dive,857171621,205396
19,"Perfect Duet (Ed Sheeran & Beyoncé)",851604098,68039
20,"Supermarket Flowers",842480165,153994
21,"Tenerife Sea",675556683,81516
22,"Lego House",653495762,129154
23,"End Game",621640994,149257
24,Sing,621545467,81516
25,"Give Me Love",604564552,94279
26,Afterglow,521468414,66383
27,"Kiss Me",510118273,58864
28,"Eyes Closed",492564815,124153
29,"Lay It All on Me (feat. Ed Sheeran)",426522017,40849
30,"What Do I Know?",425463053,42021
31,"Cross Me (feat. Chance the Rapper & PnB Rock)",421627495,29713
32,Azizam,416756321,446751
33,Peru,405174823,112732
34,"Own It (feat. Ed Sheeran & Burna Boy)",402085591,71321
35,"How Would You Feel (Paean)",396415032,36300
36,"Merry Christmas",386004432,22150
37,"Overpass Graffiti",375993200,55242
38,"All of the Stars",373995075,60837
39,"For My Hand (feat. Ed Sheeran)",358332886,113549
40,"I'm a Mess",352960842,23882
41,"New Man",344864350,25761
42,Bloodstream,343688615,39320
43,Sapphire,340599462,447650
44,Barcelona,329463288,28650
45,"Nancy Mulligan",326018394,55282
46,"Everything Has Changed",313430768,73208
47,"I Was Made For Loving You",305339123,30914
48,"Best Part of Me (feat. YEBBA)",299743499,23286
49,One,294375572,28151
50,"Hearts Don't Break Around Here",289509402,21187
51,Celestial,288759662,67902
52,"Visiting Hours",284454912,52701
53,"Antisocial (with Travis Scott)",282216937,37197
54,"Remember The Name (feat. Eminem & 50 Cent)",281477324,52045
55,"Dark Times",279820867,23472
56,Drunk,274579838,29663
57,"Save Myself",255308016,16875
58,"Small Bump",247646902,22005
59,"Take Me Back to London (feat. Stormzy)",247197467,26928
60,"Perfect Symphony (Ed Sheeran & Andrea Bocelli)",242071382,61603
61,"Bibia Be Ye Ye",238139896,18059
62,"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)",231325024,135103
63,"The Joker And The Queen (feat. Taylor Swift)",226983420,40520
64,Eraser,217049300,15037
65,"You Need Me, I Don't Need You",202560364,26122
66,"BLOW (with Chris Stapleton & Bruno Mars)",201674290,49156
67,"Shape of You - Acoustic",200453893,17909
68,2step,196963949,30439
69,2step,194335554,40075
70,"I Don't Care - Acoustic",192997121,25589
71,"Afire Love",186418745,15996
72,"Those Kinda Nights (feat. Ed Sheeran)",184445766,25540
73,"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)",167183004,25776
74,Nina,152239259,10798
75,"Baby One More Time - Recorded at Spotify Studios New York City",151854430,14655
76,"Nothing On You (feat. Paulo Londra & Dave)",151832270,15199
77,Runaway,150882949,12301
