Rank,"Song Title",Streams,Daily
1,"Bad Memories",640313821,171411
2,"Forget You",144692088,28977
3,"Bad Memories - Felix Jaehn Remix",91653496,35946
4,"All My Life",61393888,12839
5,"One Day",56310450,7947
6,"Left & Right",53153186,19343
7,Fever,45208589,3781
8,"Love Me Now (feat. FAST BOY)",30633382,4129
9,"Good Life",30457098,19914
10,"Chills (Feel My Love)",26805498,9883
11,Wave,19189633,22516
12,"Imagine Me & You (feat. FAST BOY)",14641759,3643
13,Electricity,12558635,5062
14,Overthinking,12290528,858
15,"Million Good Reasons",11773105,9960
16,"Castle (feat. FAST BOY)",10706890,712
17,"Where You Are",9380052,2997
18,"Bad Memories - David Guetta Remix",8216714,4282
19,"Born Again",7316496,9358
20,"Last Summer",3860004,1168
21,Airforce,3553226,1261
22,"Bad Memories - Acoustic",3025681,718
23,"Bad Memories - Korolova Remix",2281090,627
24,"Nothing Lasts Forever",1929941,2858
25,"Bad Memories - Andrea Oliva Remix",1873098,140
26,"This Feeling",1157368,2650
27,"Bad Memories - Meduza ODIZZEA Remix",1154080,199
28,"Forget You - FAST BOY VIP Mix",1038220,334
29,Loveless,1016913,245
30,"Electricity - FAST BOY VIP Mix",921562,148
31,"Bad Memories - HotLap Remix",915646,674
32,Deepend,790590,232
33,"Wave - Agatino Romero Remix",718210,695
34,"Bad Memories - Tita Lau Remix",715727,114
35,"Chills (Feel My Love) (feat. David Guetta) - Acoustic",527788,75
36,"Chills (Feel My Love) (feat. David Guetta)",460154,122
37,"Castle (feat. FAST BOY) - Lyfes Remix",241365,10
38,"Memory Lane - FAST BOY Remix",223587,189
39,"Good Life - FAST BOY VIP Mix",191656,182
40,"Castle (feat. FAST BOY) - Maurice Lessing Remix",147631,17
