Rank,"Song Title",Streams,Daily
1,"That’s So True",1635110928,1560426
2,"I Love You, I'm Sorry",1009395261,1020934
3,"I miss you, I’m sorry",838554456,494722
4,"Close To You",538080768,321776
5,Risk,359386564,197869
6,"Mess It Up",316615873,167209
7,"us. (feat. Taylor Swift)",282688979,152067
8,"Feels Like",260967440,95834
9,"I know it won't work",242391378,155975
10,21,237636291,82740
11,"Everywhere, Everything (with Gracie Abrams)",229719463,439810
12,Stay,194416720,57388
13,"Blowing Smoke",174324391,126514
14,"I Told You Things",134333109,201000
15,"Call Me When You Break Up (with Gracie Abrams)",132584743,74813
16,"Free Now",123791750,94398
17,"I Love You, I'm Sorry - Live From Vevo",116375905,63414
18,"Tough Love",108113954,60448
19,"Let It Happen",99601169,64718
20,"Where do we go now?",97606200,43142
21,Best,85378864,78402
22,"Unlearn (with Gracie Abrams)",83105698,14554
23,Friend,80403137,19864
24,Cool,72087549,47096
25,"Block me out",67249427,35259
26,"I Knew It, I Know You",66938662,38052
27,Rockland,63952099,24125
28,"Felt Good About You",62489016,31041
29,"Mean It",54150596,14578
30,Difficult,54055449,16614
31,"Packing It Up",52007819,32281
32,"For Real This Time",51528367,29156
33,"The Bottom",50264246,10018
34,Camden,49498617,28391
35,"I should hate you",47018929,31929
36,"Long Sleeves",46515740,20519
37,"Gave You I Gave You I",46215908,24875
38,minor,42419248,13707
39,"Normal Thing",42285475,20006
40,"Free Now - Live From Vevo",31213421,26394
41,"This is what the drugs are for",30618476,19949
42,Better,30564685,15664
43,"Will you cry?",29267151,30432
44,"Brush Fire",29240824,8058
45,Amelie,28782034,9084
46,"Full machine",28725881,12366
47,Cedar,28569114,17353
48,"Good Luck Charlie",27908257,11617
49,"The blue",26250068,30343
50,"Right now",25557805,15438
51,"Wishful Thinking",25308836,8377
52,"I Knew It, I Know You - Live From Vevo",24594780,12354
53,"Under / Over",24537659,8585
54,405,22429615,10508
55,"That’s So True - Live From Radio City Music Hall",21258573,15048
56,Alright,19970998,6356
57,"Hard to Sleep",19604896,12742
58,"Two people",18820117,12801
59,Older,17298436,6765
60,"Fault line",17273551,7859
61,Painkillers,17102340,6125
62,Unsteady,15978990,9268
63,Augusta,15883180,5923
64,"Death Wish - Live from The O2 Arena",15282975,13086
65,tehe,15231851,5247
66,"I know it won't work - Live",11046798,9438
67,"Badlands (with Gracie Abrams)",9255167,287960
68,"Everywhere, Everything (feat. Gracie Abrams) - Live From Fenway Park",7971819,9112
69,"Unlearn (with Gracie Abrams) - Acoustic",5957808,1938
70,"Call Me When You Break Up (with Gracie Abrams) - Acoustic Version",4554738,2735
