Rank,"Song Title",Streams,Daily
1,"Thats So True",1682350252,1470755
2,"I Love You Im Sorry",1041357405,984144
3,"I miss you Im sorry",853734854,496946
4,"Close To You",549869574,375359
5,Risk,367202405,269347
6,"Mess It Up",323500337,215839
7,"us (feat Taylor Swift)",287963727,172093
8,"Feels Like",264587819,108778
9,"I know it wont work",248791873,211188
10,"Everywhere Everything (with Gracie Abrams)",242787360,458770
11,21,242050533,154014
12,Stay,196178346,53660
13,"Blowing Smoke",179707415,180660
14,"I Told You Things",142101982,253174
15,"Call Me When You Break Up (with Gracie Abrams)",135081006,82453
16,"Free Now",126911728,100046
17,"I Love You Im Sorry - Live From Vevo",118639339,73973
18,"Tough Love",110606598,84933
19,"Let It Happen",102292334,89519
20,"Where do we go now",99340432,55082
21,Best,88619482,119734
22,"Unlearn (with Gracie Abrams)",83607121,15419
23,Friend,81127818,22170
24,Cool,73805937,55550
25,"Block me out",68492448,40266
26,"I Knew It I Know You",68355848,47950
27,Rockland,64775074,25202
28,"Felt Good About You",63600515,34761
29,Difficult,54682843,20389
30,"Mean It",54658776,15492
31,"Packing It Up",53121436,34986
32,"For Real This Time",52510573,30415
33,"The Bottom",50618881,11111
34,Camden,50512939,31139
35,"I should hate you",48168449,37069
36,"Long Sleeves",47212092,21493
37,"Gave You I Gave You I",47136241,29772
38,"Normal Thing",43028634,24499
39,minor,42897778,14633
40,"Free Now - Live From Vevo",32127541,28633
41,"This is what the drugs are for",31275848,19911
42,Better,31038493,15820
43,"Will you cry",30149686,29613
44,"Brush Fire",29519792,8261
45,"Full machine",29197562,15543
46,Amelie,29136900,11031
47,Cedar,29126684,18185
48,"Good Luck Charlie",28327082,13577
49,"The blue",27170825,28796
50,"Right now",26111012,18309
51,"Wishful Thinking",25588198,9054
52,"I Knew It I Know You - Live From Vevo",25052487,14807
53,"Under Over",24838781,9173
54,405,22808562,11754
55,"Thats So True - Live From Radio City Music Hall",21746008,14450
56,Alright,20196663,6852
57,"Hard to Sleep",20036812,12891
58,"Two people",19277345,16797
59,"Fault line",17594029,10150
60,Older,17552109,7534
61,Painkillers,17333576,7319
62,Unsteady,16341806,12405
63,Augusta,16100947,6437
64,"Death Wish - Live from The O2 Arena",15722003,12932
65,tehe,15410993,5568
66,"Badlands (with Gracie Abrams)",14758630,120979
67,"I know it wont work - Live",11352955,8678
68,"Everywhere Everything (feat Gracie Abrams) - Live From Fenway Park",8290908,14710
69,"Unlearn (with Gracie Abrams) - Acoustic",6026786,1936
70,"Call Me When You Break Up (with Gracie Abrams) - Acoustic Version",4627675,2360
71,"close to you (gracie abrams) - sped up version",990929,794
72,"i love you im sorry (gracie abrams) - sped up version",729427,369
