Rank,"Song Title",Streams,Daily
1,"That's So True",1644334785,1582859
2,"I Love You, I'm Sorry",1015457664,1032689
3,"I miss you, I'm sorry",841465333,447103
4,"Close To You",540212912,379714
5,Risk,360823429,248683
6,"Mess It Up",317867177,216987
7,"us. (feat. Taylor Swift)",283703603,178825
8,"Feels Like",261647614,115291
9,"I know it won't work",243528884,210069
10,21,238356351,115317
11,"Everywhere, Everything (with Gracie Abrams)",232518777,458272
12,Stay,194768785,53612
13,"Blowing Smoke",175352075,180499
14,"I Told You Things",135776812,249686
15,"Call Me When You Break Up (with Gracie Abrams)",133082631,87082
16,"Free Now",124389237,101644
17,"I Love You, I'm Sorry - Live From Vevo",116795617,69728
18,"Tough Love",108614924,84364
19,"Let It Happen",100115334,82711
20,"Where do we go now?",97924528,51000
21,Best,85914558,91769
22,"Unlearn (with Gracie Abrams)",83199677,14815
23,Friend,80543097,21846
24,Cool,72418075,55545
25,"Block me out",67497100,39397
26,"I Knew It, I Know You",67207411,43808
27,Rockland,64113710,25467
28,"Felt Good About You",62705451,35872
29,"Mean It",54249720,15876
30,Difficult,54175411,19774
31,"Packing It Up",52231128,35010
32,"For Real This Time",51726430,32107
33,"The Bottom",50333787,11362
34,Camden,49692562,30878
35,"I should hate you",47230033,39301
36,"Long Sleeves",46650246,21464
37,"Gave You I Gave You I",46391781,27718
38,minor,42511794,14381
39,"Normal Thing",42424197,22096
40,"Free Now - Live From Vevo",31388520,29068
41,"This is what the drugs are for",30740533,20827
42,Better,30652485,14863
43,"Will you cry?",29428520,26771
44,"Brush Fire",29296780,8708
45,Amelie,28847365,10913
46,"Full machine",28813032,15156
47,Cedar,28674944,17658
48,"Good Luck Charlie",27988079,12857
49,"The blue",26421036,29629
50,"Right now",25659903,16351
51,"Wishful Thinking",25361713,8668
52,"I Knew It, I Know You - Live From Vevo",24681531,13522
53,"Under / Over",24595032,9047
54,405,22500240,12137
55,"That's So True - Live From Radio City Music Hall",21353858,15938
56,Alright,20015572,6766
57,"Hard to Sleep",19685033,12786
58,"Two people",18903027,13900
59,Older,17345657,7283
60,"Fault line",17334616,10407
61,Painkillers,17148189,7012
62,Unsteady,16049305,11176
63,Augusta,15925496,6367
64,"Death Wish - Live from The O2 Arena",15368241,13909
65,tehe,15265570,5389
66,"I know it won't work - Live",11105116,10422
67,"Badlands (with Gracie Abrams)",10936671,278688
68,"Everywhere, Everything (feat. Gracie Abrams) - Live From Fenway Park",8031452,9675
69,"Unlearn (with Gracie Abrams) - Acoustic",5970379,1939
70,"Call Me When You Break Up (with Gracie Abrams) - Acoustic Version",4568250,2401
71,"close to you (gracie abrams) - sped up version",990929,794
72,"i love you, i'm sorry (gracie abrams) - sped up version",729427,369
