,Song Title,Streams,Daily
1,As It Was,4.187.572.186,1.506.772
2,Watermelon Sugar,3.169.519.264,808.988
3,Sign of the Times,1.994.685.162,1.141.688
4,Adore You,1.972.553.374,752.627
5,Falling,1.493.149.490,591.984
6,Late Night Talking,1.140.106.489,242.373
7,Golden,1.028.256.534,194.620
8,Lights Up,731.927.975,102.408
9,Matilda,700.373.719,561.217
10,Fine Line,682.017.437,414.586
11,Sweet Creature,671.299.437,98.409
12,Kiwi,590.231.269,95.274
13,Satellite,556.916.403,138.658
14,Music For a Sushi Restaurant,476.317.926,95.174
15,Little Freak,451.606.434,133.299
16,Daylight,446.692.034,97.307
17,Keep Driving,413.692.861,86.453
18,Cherry,410.026.815,108.996
19,From the Dining Table,400.518.337,88.937
20,She,376.906.124,68.398
21,Two Ghosts,365.869.638,66.636
22,Love Of My Life,353.873.635,84.374
23,Sunflower Vol. 6,337.959.830,55.963
24,Girl Crush - Recorded at Metropolis Studios London,314.829.024,55.134
25,Grapejuice,282.563.950,62.491
26,To Be So Lonely,281.293.752,48.533
27,Daydreaming,275.485.827,66.572
28,Cinema,273.703.630,69.982
29,Meet Me in the Hallway,257.052.748,46.740
30,Woman,251.959.766,42.331
31,Canyon Moon,239.711.829,40.686
32,Carolina,239.130.078,39.978
33,Only Angel,227.699.197,44.703
34,Treat People With Kindness,220.481.665,32.650
35,Ever Since New York,205.761.535,42.075
36,Boyfriends,189.469.160,43.926
37,Two Ghosts - Recorded at Metropolis Studios London,59.403.744,11.085
