Rank,Song Title,Streams,Daily
1,As It Was,4214081098,1975518
2,Watermelon Sugar,3183393850,960790
3,Sign of the Times,2013956623,1340812
4,Adore You,1986865578,1128740
5,Falling,1503712795,806651
6,Late Night Talking,1145784417,444854
7,Golden,1032478967,341879
8,Lights Up,734601219,238004
9,Matilda,710429172,793475
10,Fine Line,688933648,525559
11,Sweet Creature,673484511,174853
12,Kiwi,592501187,188443
13,Satellite,560751423,345271
14,Music For a Sushi Restaurant,479008163,224744
15,Little Freak,454848584,271177
16,Daylight,449293468,221125
17,Keep Driving,416134685,197689
18,Cherry,412587787,228411
19,From the Dining Table,402424026,146704
20,She,378617736,143211
21,Two Ghosts,367621845,145830
22,Love Of My Life,356120393,181127
23,Sunflower Vol. 6,339625743,141932
24,Girl Crush - Recorded at Metropolis Studios London,316073585,104507
25,Grapejuice,284532297,185256
26,To Be So Lonely,282790896,129662
27,Daydreaming,277581584,190715
28,Cinema,275982270,213065
29,Meet Me in the Hallway,258343824,112795
30,Woman,253258983,118799
31,Canyon Moon,240999846,115869
32,Carolina,240217931,89934
33,Only Angel,229052608,121262
34,Treat People With Kindness,221634631,103004
35,Ever Since New York,207048209,112235
36,Boyfriends,190825111,119434
37,Two Ghosts - Recorded at Metropolis Studios London,59642894,14430
