,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,As It Was,4.275.351.697,1.659.611,,,,
2,Watermelon Sugar,3.216.344.490,906.604,,,,
3,Sign of the Times,2.059.238.004,1.132.015,,,,
4,Adore You,2.022.623.322,906.805,,,,
5,Falling,1.527.896.721,568.985,,,,
6,Late Night Talking,1.158.896.838,322.153,,,,
7,Golden,1.043.110.844,265.003,,,,
8,Lights Up,740.525.779,115.049,,,,
9,Matilda,735.602.009,557.350,,,,
10,Fine Line,705.546.873,359.567,,,,
11,Sweet Creature,677.839.019,103.314,,,,
12,Kiwi,597.609.628,115.284,,,,
13,Satellite,571.093.306,246.747,,,,
14,Music For a Sushi Restaurant,485.620.973,128.131,,,,
15,Little Freak,462.441.807,156.629,,,,
16,Daylight,455.195.627,116.485,,,,
17,Keep Driving,421.280.723,102.316,,,,
18,Cherry,418.485.039,137.604,,,,
19,From the Dining Table,406.100.635,82.923,,,,
20,She,382.318.377,81.330,,,,
21,Two Ghosts,371.334.459,75.780,,,,
22,Love Of My Life,360.721.243,91.901,,,,
23,Sunflower Vol. 6,343.312.869,73.627,,,,
24,Girl Crush - Recorded at Metropolis Studios London,318.959.270,67.132,,,,
25,Grapejuice,289.363.284,93.997,,,,
26,To Be So Lonely,285.867.964,57.497,,,,
27,Daydreaming,282.988.169,98.891,,,,
28,Cinema,282.881.496,147.679,,,,
29,Meet Me in the Hallway,260.442.972,45.007,,,,
30,Woman,256.045.808,58.123,,,,
31,Canyon Moon,243.656.402,60.377,,,,
32,Carolina,242.229.490,45.942,,,,
33,Only Angel,231.856.571,57.374,,,,
34,Treat People With Kindness,224.119.519,48.815,,,,
35,Ever Since New York,209.651.261,52.087,,,,
36,Boyfriends,193.537.324,53.936,,,,
37,Aperture,99.828.459,1.331.604,,,,
38,Two Ghosts - Recorded at Metropolis Studios London,59.986.760,7.409,,,,
