"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"As It Was",4282000143,1842546,4280157597,1842546,1660996,181550
"Watermelon Sugar",3219999524,938014,3219061510,938014,846803,91211
"Sign of the Times",2063551938,1157638,2062394300,1157638,968370,189268
"Adore You",2026060955,918720,2025142235,918720,829461,89259
Falling,1529993323,518076,1529475247,518076,467639,50437
"Late Night Talking",1160163638,343577,1159820061,343577,297597,45980
Golden,1044109360,261263,1043848097,261263,231062,30201
"Lights Up",740955842,115765,740840077,115765,97345,18420
Matilda,737751962,557585,737194377,557585,547293,10292
"Fine Line",706995302,366951,706628351,366951,323800,43151
"Sweet Creature",678218231,100713,678117518,100713,89120,11593
Kiwi,598036027,109941,597926086,109941,96683,13258
Satellite,572027945,231201,571796744,231201,217850,13351
"Music For a Sushi Restaurant",486143102,135650,486007452,135650,123042,12608
"Little Freak",463013130,154296,462858834,154296,134607,19689
Daylight,455654066,121105,455532961,121105,107840,13265
"Keep Driving",421685981,111758,421574223,111758,94971,16787
Cherry,418943619,122136,418821483,122136,103686,18450
"From the Dining Table",406421687,87746,406333941,87746,75419,12327
She,382626752,84583,382542169,84583,73673,10910
"Two Ghosts",371648519,84610,371563909,84610,74073,10537
"Love Of My Life",361060747,92593,360968154,92593,78105,14488
"Sunflower, Vol. 6",343598253,76666,343521587,76666,66992,9674
"Girl Crush - Recorded at Metropolis Studios, London",319205159,67018,319138141,67018,57739,9279
Grapejuice,289698184,88851,289609333,88851,78347,10504
"To Be So Lonely",286089839,60128,286029711,60128,52783,7345
Daydreaming,283384846,104572,283280274,104572,94429,10143
Cinema,283351490,124637,283226853,124637,113547,11090
"Meet Me in the Hallway",260605593,44168,260561425,44168,36850,7318
Woman,256255654,59230,256196424,59230,47344,11886
"Canyon Moon",243885628,63022,243822606,63022,52482,10540
Carolina,242392713,44516,242348197,44516,37246,7270
"Only Angel",232081837,60601,232021236,60601,50890,9711
"Treat People With Kindness",224308588,52365,224256223,52365,45752,6613
"Ever Since New York",209852284,57721,209794563,57721,47641,10080
Boyfriends,193742968,56768,193686200,56768,48498,8270
Aperture,105386620,1541626,103844994,1541626,1346649,194977
"Two Ghosts - Recorded at Metropolis Studios, London",60015213,7422,60007791,7422,6216,1206
