Rank,"Song Title",Streams,Daily
1,"As It Was",4328860480,1437518
2,"Watermelon Sugar",3245141421,761240
3,"Sign of the Times",2100426384,1719407
4,"Adore You",2050729924,789114
5,Falling,1545437810,477249
6,"Late Night Talking",1169542653,248371
7,Golden,1051456955,195729
8,Matilda,754389830,492864
9,"Lights Up",744125812,86370
10,"Fine Line",718016363,325613
11,"Sweet Creature",681117736,83438
12,Kiwi,601212059,93000
13,Satellite,578803807,165776
14,"Music For a Sushi Restaurant",490239558,102218
15,"Little Freak",467281917,114103
16,Daylight,459266196,101919
17,"Keep Driving",425261683,91077
18,Cherry,422606018,98257
19,"From the Dining Table",409244977,74667
20,She,384925330,61319
21,"Two Ghosts",374062993,64484
22,"Love Of My Life",363742399,71893
23,"Sunflower, Vol. 6",346014757,64698
24,"Girl Crush - Recorded at Metropolis Studios, London",320872796,46413
25,Grapejuice,293911024,109055
26,Cinema,289057505,112989
27,"To Be So Lonely",288010825,47262
28,Daydreaming,287798470,97622
29,"Meet Me in the Hallway",262013180,34759
30,Woman,258039545,43616
31,"Canyon Moon",245752003,47106
32,Carolina,244020505,40924
33,"Only Angel",233951846,46031
34,"Treat People With Kindness",225745839,35427
35,"Ever Since New York",211581183,43605
36,Boyfriends,195231996,33649
37,Aperture,163414351,1091182
38,"American Girls",93372281,2124584
39,"Two Ghosts - Recorded at Metropolis Studios, London",60230673,5425
40,"Taste Back",52009794,911465
41,"Coming Up Roses",51967690,942462
42,"Ready, Steady, Go!",49120378,763178
43,"Are You Listening Yet?",41084858,584252
44,Pop,40633483,627543
45,"The Waiting Game",37508421,544759
46,"Dance No More",36125450,551372
47,"Season 2 Weight Loss",35358457,499906
48,"Carla's Song",35105282,574209
49,"Paint By Numbers",28324747,384049
