Ranking,Song Title,Streams  ges.,Daily
1,As It Was,3.862.008.536,1.264.821
2,Watermelon Sugar,3.000.838.711,699.041
3,Adore You,1.862.451.456,461.857
4,Sign of the Times,1.774.592.805,918.571
5,Falling,1.385.346.729,513.699
6,Late Night Talking,1.077.371.229,317.211
7,Golden,982.146.957,218.533
8,Lights Up,712.438.623,89.909
9,Sweet Creature,641.553.432,159.075
10,Matilda,613.058.089,400.997
11,Fine Line,609.668.869,409.918
12,Kiwi,567.693.589,128.761
13,Satellite,519.519.786,201.353
14,Music For a Sushi Restaurant,451.634.804,126.208
15,Daylight,422.667.536,116.831
16,Little Freak,418.189.987,162.533
17,Keep Driving,392.468.249,115.121
18,From the Dining Table,379.952.364,94.409
19,Cherry,376.741.049,140.121
20,She,361.644.860,76.236
21,Two Ghosts,349.920.988,74.083
22,Love Of My Life,333.063.999,104.011
23,Sunflower Vol. 6,323.675.097,77.772
24,Girl Crush - Recorded at Metropolis Studios London,301.211.384,62.846
25,To Be So Lonely,270.508.174,49.274
26,Grapejuice,267.311.028,83.382
27,Daydreaming,259.599.305,86.563
28,Cinema,254.923.757,121.811
29,Meet Me in the Hallway,246.570.891,54.340
30,Woman,242.296.540,47.452
31,Canyon Moon,230.246.067,51.717
32,Carolina,229.778.387,49.388
33,Only Angel,217.646.352,48.523
34,Treat People With Kindness,213.002.007,42.463
35,Ever Since New York,196.131.675,43.339
36,Boyfriends,179.815.031,51.940
37,Two Ghosts - Recorded at Metropolis Studios London,56.895.822,12.547
