Rank,"Song Title",Streams,Daily
1,"As It Was",4341103194,1624769
2,"Watermelon Sugar",3251237496,783703
3,"Sign of the Times",2115355221,1861058
4,"Adore You",2056371942,722483
5,Falling,1549188606,488264
6,"Late Night Talking",1171476860,244213
7,Golden,1053372356,272371
8,Matilda,758056686,444181
9,"Lights Up",744763792,78390
10,"Fine Line",720408380,332971
11,"Sweet Creature",681761464,80508
12,Kiwi,601920256,83943
13,Satellite,580081101,162452
14,"Music For a Sushi Restaurant",491015508,96400
15,"Little Freak",468503122,165034
16,Daylight,460016050,94616
17,"Keep Driving",425951026,84257
18,Cherry,423757266,173121
19,"From the Dining Table",409813111,72546
20,She,385393724,57389
21,"Two Ghosts",374572348,60198
22,"Love Of My Life",364293575,68705
23,"Sunflower, Vol. 6",346536897,69194
24,"Girl Crush - Recorded at Metropolis Studios, London",321228420,44287
25,Grapejuice,294734434,94977
26,Cinema,289938106,112278
27,Daydreaming,288514849,85278
28,"To Be So Lonely",288385984,44249
29,"Meet Me in the Hallway",262285565,31831
30,Woman,258369895,37882
31,"Canyon Moon",246098847,42737
32,Carolina,244325582,34514
33,"Only Angel",234295752,39525
34,"Treat People With Kindness",226012266,31730
35,"Ever Since New York",211909400,38892
36,Boyfriends,195490447,31208
37,Aperture,171394333,920670
38,"American Girls",108260642,1625742
39,"Two Ghosts - Recorded at Metropolis Studios, London",60272603,5092
40,"Coming Up Roses",58507247,706895
41,"Taste Back",58267923,649345
42,"Ready, Steady, Go!",54358328,533391
43,"Are You Listening Yet?",45095405,415623
44,Pop,44895127,455298
45,"The Waiting Game",41132556,365140
46,"Dance No More",39866935,386275
47,"Carla's Song",39009837,408375
48,"Season 2 Weight Loss",38784876,348416
49,"Paint By Numbers",30932375,266843
