Rank,"Song Title",Streams,Daily
1,"As It Was",4282000143,1842546
2,"Watermelon Sugar",3219999524,938014
3,"Sign of the Times",2063551938,1157638
4,"Adore You",2026060955,918720
5,Falling,1529993323,518076
6,"Late Night Talking",1160163638,343577
7,Golden,1044109360,261263
8,"Lights Up",740955842,115765
9,Matilda,737751962,557585
10,"Fine Line",706995302,366951
11,"Sweet Creature",678218231,100713
12,Kiwi,598036027,109941
13,Satellite,572027945,231201
14,"Music For a Sushi Restaurant",486143102,135650
15,"Little Freak",463013130,154296
16,Daylight,455654066,121105
17,"Keep Driving",421685981,111758
18,Cherry,418943619,122136
19,"From the Dining Table",406421687,87746
20,She,382626752,84583
21,"Two Ghosts",371648519,84610
22,"Love Of My Life",361060747,92593
23,"Sunflower, Vol. 6",343598253,76666
24,"Girl Crush - Recorded at Metropolis Studios, London",319205159,67018
25,Grapejuice,289698184,88851
26,"To Be So Lonely",286089839,60128
27,Daydreaming,283384846,104572
28,Cinema,283351490,124637
29,"Meet Me in the Hallway",260605593,44168
30,Woman,256255654,59230
31,"Canyon Moon",243885628,63022
32,Carolina,242392713,44516
33,"Only Angel",232081837,60601
34,"Treat People With Kindness",224308588,52365
35,"Ever Since New York",209852284,57721
36,Boyfriends,193742968,56768
37,Aperture,105386620,1541626
38,"Two Ghosts - Recorded at Metropolis Studios, London",60015213,7422
