"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
Sucker,644842,90,,,,
"Leave Before You Love Me (with Jonas Brothers)",1114702382,341144,,,,
"Only Human",582608774,85638,,,,
"What A Man Gotta Do",569367829,61812,,,,
"Burnin' Up",315215850,87402,,,,
"Like It's Christmas",296021073,6645,,,,
Runaway,285437003,30935,,,,
"Lonely (with Jonas Brothers)",253132427,7535,,,,
Cool,226640468,15586,,,,
"Waffle House",201365044,58126,,,,
"Year 3000",196480164,38976,,,,
X,161608326,11840,,,,
Lovebug,149670063,32065,,,,
S.O.S.,147550919,44296,,,,
"Do It Like That",138979447,30054,,,,
"I Believe",127399445,17503,,,,
"When You Look Me In The Eyes",125522367,34631,,,,
"Play My Music",99259806,29992,,,,
"Who's In Your Head",79495298,9650,,,,
Rollercoaster,77236213,9839,,,,
"Summer Baby",71043817,17385,,,,
"Remember This",67595868,7013,,,,
"I Need You Christmas",67542420,460,,,,
Wings,60371868,9170,,,,
"Love Me To Heaven",59394544,81190,,,,
"Love Her",58954081,3310,,,,
"Slow Motion",54793457,36454,,,,
Hesitate,50573154,4620,,,,
"Five More Minutes",50135118,3678,,,,
"Hold On",44767687,9511,,,,
"Strong Enough (feat. Bailey Zimmerman)",43099694,13396,,,,
"Vacation Eyes",39691572,28162,,,,
"Fly With Me",37199531,7593,,,,
"Used To Be",35693307,2778,,,,
Strangers,33210888,3827,,,,
Paranoid,33201649,6421,,,,
"Don't Throw it Away",32702292,6699,,,,
Comeback,29553925,2362,,,,
"Every Single Time",29340246,2595,,,,
"That's Just The Way We Roll",29045238,5136,,,,
Backwards,26262268,63489,,,,
"No Time To Talk",26012128,43289,,,,
"Greenlight - From ""Songland""",25941067,1385,,,,
"Healing (Shattered Heart)",24681385,8517,,,,
"Montana Sky",23186091,11393,,,,
"Before The Storm (feat. Miley Cyrus)",22745240,2654,,,,
"Pom Poms",22732560,1512,,,,
"Happy When I'm Sad",22030040,1250,,,,
Celebrate!,21965723,14480,,,,
Trust,21198694,1298,,,,
Selfish,20243867,5584,,,,
"I Dare You",18625572,26514,,,,
"L.A. Baby (Where Dreams Are Made Of)",17870579,3174,,,,
"I Can’t Lose",17707186,22893,,,,
Tonight,17106535,2294,,,,
"Loved You Better (with Dean Lewis)",16722071,19574,,,,
"Goodnight and Goodbye",15278184,1981,,,,
"Should've Said No - The 3D Concert Experience",15255369,2509,,,,
"A Little Bit Longer",14946969,1560,,,,
"Your Biggest Fan",14930985,2253,,,,
"Much Better",13861385,1704,,,,
"Sail Away",13319958,4242,,,,
"Still In Love With You",12596385,1739,,,,
"First Time",12506399,844,,,,
Shelf,12457868,2203,,,,
"Little Bird",12426069,5066,,,,
"Before The Storm – duet with Jonas Brothers (Live)",10958355,1008,,,,
"Hello Beautiful",10855846,1221,,,,
"Pushin' Me Away",10853835,1452,,,,
"Coming Home This Christmas",10500680,2296,,,,
"On the Line",10473455,1080,,,,
"Just Friends",10343875,1344,,,,
Miracle,10291084,1985,,,,
"Hey You",10177288,1434,,,,
"Walls (with Jon Bellion)",10035153,2884,,,,
"Video Girl",10006340,1349,,,,
Sorry,9239311,1423,,,,
Australia,8879634,1304,,,,
Americana,8552412,1697,,,,
"World War III",8285798,946,,,,
"BB Good",8241743,1181,,,,
Critical,8163248,790,,,,
"Black Keys",8114416,560,,,,
"Can't Have You",8053348,1522,,,,
Inseparable,7943293,1191,,,,
"Please Be Mine",7858041,1967,,,,
"Got Me Going Crazy",7364957,862,,,,
"Summer In The Hamptons",7306376,1355,,,,
"Year 3000 2.0",6716760,1848,,,,
"Do It Like That (Alan Walker Remix)",6491769,1400,,,,
Games,6375825,919,,,,
Hollywood,6373417,1130,,,,
Tantrum,6224572,7092,,,,
"Hey Baby",5971800,802,,,,
Tables,5599138,7460,,,,
"Turn Right",5388363,551,,,,
"cliché - Jonas Brothers remix",5339927,15910,,,,
"Poison Ivy",5274774,646,,,,
Mandy,5231937,560,,,,
"Happen To Me (feat. Jonas Brothers)",5151686,20073,,,,
"Holiday (with Jonas Brothers)",5133819,286,,,,
"Keep It Real",5095127,776,,,,
Invisible,5074444,1079,,,,
"One Man Show",5055102,721,,,,
"Things Will Never Be the Same",4733081,751,,,,
"Feelin' Alive",4689084,675,,,,
"Mirror to the Sky",4610265,10287,,,,
"What Did I Do To Your Heart",4417840,590,,,,
"Take A Breath",4412393,800,,,,
"Live To Party",4308964,1125,,,,
"Greetings From Your Hometown (with Switchfoot)",4291794,4892,,,,
"We Got the Party Duet with Jonas Brothers - Live from Arrowhead Pond, Anaheim, U.S.A./2008",4233602,3198,,,,
"Don't Speak",3847534,499,,,,
Bully,3719599,4232,,,,
"Do It Like That (Jersey Club Remix)",3681513,698,,,,
"Make It Right",3327136,410,,,,
Jersey,3244225,242,,,,
"Heat Of The Moment",3205371,3369,,,,
"Celebrate Happy",3192499,3514,,,,
Fall,3171731,507,,,,
"When You Know",3135675,3085,,,,
"6 Minutes",2886064,407,,,,
"Waste No Time",2866879,3166,,,,
"Chillin' In the Summertime",2791412,402,,,,
"Summer Rain",2774344,433,,,,
"Do It Like That (Pop R&B Remix)",2617775,692,,,,
"I Am What I Am",2523802,315,,,,
"Do It Like That (Jax Jones Remix)",2409754,638,,,,
Lucky,2379878,2628,,,,
"Set This Party Off",2368366,348,,,,
Drive,2161923,311,,,,
"Healing (Shattered Heart) - Sam Feldt Remix",2109042,509,,,,
"The Beautiful Letdown (Jonas Brothers Version)",2095742,430,,,,
"Vacation Eyes - Live From The O2 London",1906371,2657,,,,
"Don't Charge Me For The Crime (feat. Common)",1893594,182,,,,
"This Is Me - The 3D Concert Experience",1854671,212,,,,
"Remember This - NBC Olympics Edition",1666582,135,,,,
"Love Is On Its Way - The 3D Concert Experience",1530556,272,,,,
Time,1525143,656,,,,
"S.O.S. - Live",1411954,290,,,,
"Time for Me to Fly",1370620,352,,,,
"Burnin' Up - The 3D Concert Experience",1370288,150,,,,
"What I Go to School For",1333938,316,,,,
"Live To Party - The 3D Concert Experience",1308552,131,,,,
"Love Me To Heaven - Acoustic",1294349,1414,,,,
"Holiday (with Jonas Brothers & LL COOL J)",1251190,64,,,,
"That's Just The Way We Roll - The 3D Concert Experience",1076046,144,,,,
"I'm Gonna Getcha Good - The 3D Concert Experience",1064662,175,,,,
"S.O.S. - The 3D Concert Experience",1032612,122,,,,
"Hold On - The 3D Concert Experience",966294,145,,,,
7:05,942431,260,,,,
"The Greatest (feat. Jonas Brothers)",881808,25998,,,,
"Remember When",846155,817,,,,
"Like It's Christmas (Live Version)",822089,564,,,,
"Pushin' Me Away - The 3D Concert Experience",795849,114,,,,
"Video Girl - The 3D Concert Experience",791497,141,,,,
Underdog,789041,211,,,,
"One Day at a Time",776141,229,,,,
"Tonight - The 3D Concert Experience",754305,110,,,,
"Celebrate! - Live From The O2 London",751566,1375,,,,
"BB Good - The 3D Concert Experience",750532,99,,,,
"Hello Beautiful - The 3D Concert Experience",715421,85,,,,
"You Just Don't Know It",672834,148,,,,
"Jealous - Live From The O2 London",635690,1167,,,,
"Cake By The Ocean - Live From The O2 London",622799,1249,,,,
"Gotta Find You - Live From The O2 London",622393,746,,,,
"When You Look Me In The Eyes - Live From The O2 London",596843,1030,,,,
"Better Off Alone",586315,510,,,,
"Burnin' Up - Live From The O2 London",516176,850,,,,
"S.O.S. - Live From The O2 London",498141,569,,,,
"What A Man Gotta Do - Live From The O2 London",468619,637,,,,
"Dreams - Live at SSE Arena Belfast",451298,719,,,,
"Waffle House - Live From The O2 London",446396,637,,,,
"Summer Baby - Live From The O2 London",431070,553,,,,
"Sucker (Live Version)",420934,425,,,,
"Play My Music - Live From The O2 London",416218,537,,,,
"Leave Before You Love Me - Live From The O2 London",412050,782,,,,
"Lovebug - Live From The O2 London",410395,575,,,,
"That's Just The Way We Roll - Live From The O2 London",379718,447,,,,
"Year 3000 (feat. Busted) - Live From The O2 London",374964,489,,,,
"When You Know - Live From The O2 London",350854,407,,,,
"Walls - Live From The O2 London",298484,481,,,,
