Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
Sucker,644944,102,,,,,
"Leave Before You Love Me (with Jonas Brothers)",1115110883,408501,,,,,
"Only Human",582711114,102340,,,,,
"What A Man Gotta Do",569444292,76463,,,,,
"Burnin' Up",315320298,104448,,,,,
"Like It's Christmas",296028862,7789,,,,,
Runaway,285472777,35774,,,,,
"Lonely (with Jonas Brothers)",253141892,9465,,,,,
Cool,226660746,20278,,,,,
"Waffle House",201430342,65298,,,,,
"Year 3000",196522545,42381,,,,,
X,161623408,15082,,,,,
Lovebug,149706928,36865,,,,,
S.O.S.,147603225,52306,,,,,
"Do It Like That",139014614,35167,,,,,
"I Believe",127421955,22510,,,,,
"When You Look Me In The Eyes",125572465,50098,,,,,
"Play My Music",99293885,34079,,,,,
"Who's In Your Head",79507836,12538,,,,,
Rollercoaster,77249372,13159,,,,,
"Summer Baby",71065311,21494,,,,,
"Remember This",67605532,9664,,,,,
"I Need You Christmas",67543016,596,,,,,
Wings,60383312,11444,,,,,
"Love Me To Heaven",59487597,93053,,,,,
"Love Her",58958585,4504,,,,,
"Slow Motion",54837851,44394,,,,,
Hesitate,50579189,6035,,,,,
"Five More Minutes",50139980,4862,,,,,
"Hold On",44779983,12296,,,,,
"Strong Enough (feat. Bailey Zimmerman)",43116547,16853,,,,,
"Vacation Eyes",39726730,35158,,,,,
"Fly With Me",37210178,10647,,,,,
"Used To Be",35696893,3586,,,,,
Strangers,33216887,5999,,,,,
Paranoid,33210152,8503,,,,,
"Don't Throw it Away",32710732,8440,,,,,
Comeback,29557320,3395,,,,,
"Every Single Time",29343672,3426,,,,,
"That's Just The Way We Roll",29051893,6655,,,,,
Backwards,26339777,77509,,,,,
"No Time To Talk",26063778,51650,,,,,
"Greenlight - From ""Songland""",25942718,1651,,,,,
"Healing (Shattered Heart)",24692233,10848,,,,,
"Montana Sky",23199702,13611,,,,,
"Before The Storm (feat. Miley Cyrus)",22748476,3236,,,,,
"Pom Poms",22734645,2085,,,,,
"Happy When I'm Sad",22031840,1800,,,,,
Celebrate!,21984274,18551,,,,,
Trust,21200361,1667,,,,,
Selfish,20282528,5523,,,,,
"I Dare You",18654785,29213,,,,,
"L.A. Baby (Where Dreams Are Made Of)",17874763,4184,,,,,
"I Can’t Lose",17736831,29645,,,,,
Tonight,17109477,2942,,,,,
"Loved You Better (with Dean Lewis)",16746855,24784,,,,,
"Goodnight and Goodbye",15280878,2694,,,,,
"Should've Said No - The 3D Concert Experience",15258873,3504,,,,,
"A Little Bit Longer",14949118,2149,,,,,
"Your Biggest Fan",14933910,2925,,,,,
"Much Better",13863394,2009,,,,,
"Sail Away",13325247,5289,,,,,
"Still In Love With You",12598692,2307,,,,,
"First Time",12507634,1235,,,,,
Shelf,12460712,2844,,,,,
"Little Bird",12433268,7199,,,,,
"Before The Storm – duet with Jonas Brothers (Live)",10959505,1150,,,,,
"Hello Beautiful",10857547,1701,,,,,
"Pushin' Me Away",10855825,1990,,,,,
"Coming Home This Christmas",10503425,2745,,,,,
"On the Line",10474796,1341,,,,,
"Just Friends",10345712,1837,,,,,
Miracle,10293528,2444,,,,,
"Hey You",10179159,1871,,,,,
"Walls (with Jon Bellion)",10038734,3581,,,,,
"Video Girl",10008066,1726,,,,,
Sorry,9241232,1921,,,,,
Australia,8881333,1699,,,,,
Americana,8554639,2227,,,,,
"World War III",8287066,1268,,,,,
"BB Good",8243356,1613,,,,,
Critical,8164329,1081,,,,,
"Black Keys",8115230,814,,,,,
"Can't Have You",8055985,2637,,,,,
Inseparable,7944865,1572,,,,,
"Please Be Mine",7861010,2969,,,,,
"Got Me Going Crazy",7366211,1254,,,,,
"Summer In The Hamptons",7308078,1702,,,,,
"Year 3000 2.0",6718618,1858,,,,,
"Do It Like That (Alan Walker Remix)",6493553,1784,,,,,
Games,6377105,1280,,,,,
Hollywood,6375446,2029,,,,,
Tantrum,6233583,9011,,,,,
"Hey Baby",5972924,1124,,,,,
Tables,5608992,9854,,,,,
"Turn Right",5389136,773,,,,,
"cliché - Jonas Brothers remix",5357225,17298,,,,,
"Poison Ivy",5275628,854,,,,,
Mandy,5232711,774,,,,,
"Happen To Me (feat. Jonas Brothers)",5174840,23154,,,,,
"Holiday (with Jonas Brothers)",5134101,282,,,,,
"Keep It Real",5096199,1072,,,,,
Invisible,5075896,1452,,,,,
"One Man Show",5056057,955,,,,,
"Things Will Never Be the Same",4734158,1077,,,,,
"Feelin' Alive",4689941,857,,,,,
"Mirror to the Sky",4624001,13736,,,,,
"What Did I Do To Your Heart",4418648,808,,,,,
"Take A Breath",4413542,1149,,,,,
"Live To Party",4310423,1459,,,,,
"Greetings From Your Hometown (with Switchfoot)",4298819,7025,,,,,
"We Got the Party Duet with Jonas Brothers - Live from Arrowhead Pond, Anaheim, U.S.A./2008",4237275,3673,,,,,
"Don't Speak",3848204,670,,,,,
Bully,3725831,6232,,,,,
"Do It Like That (Jersey Club Remix)",3682321,808,,,,,
"Make It Right",3327696,560,,,,,
Jersey,3244553,328,,,,,
"Heat Of The Moment",3210429,5058,,,,,
"Celebrate Happy",3195786,3287,,,,,
Fall,3172373,642,,,,,
"When You Know",3140386,4711,,,,,
"6 Minutes",2886677,613,,,,,
"Waste No Time",2871628,4749,,,,,
"Chillin' In the Summertime",2791932,520,,,,,
"Summer Rain",2774914,570,,,,,
"Do It Like That (Pop R&B Remix)",2618532,757,,,,,
"I Am What I Am",2524270,468,,,,,
"Do It Like That (Jax Jones Remix)",2410494,740,,,,,
Lucky,2383776,3898,,,,,
"Set This Party Off",2368844,478,,,,,
Drive,2162357,434,,,,,
"Healing (Shattered Heart) - Sam Feldt Remix",2109720,678,,,,,
"The Beautiful Letdown (Jonas Brothers Version)",2096309,567,,,,,
"Vacation Eyes - Live From The O2 London",1909790,3419,,,,,
"Don't Charge Me For The Crime (feat. Common)",1893872,278,,,,,
"This Is Me - The 3D Concert Experience",1854963,292,,,,,
"Remember This - NBC Olympics Edition",1666748,166,,,,,
"Love Is On Its Way - The 3D Concert Experience",1531009,453,,,,,
Time,1525965,822,,,,,
"S.O.S. - Live",1412373,419,,,,,
"Time for Me to Fly",1371090,470,,,,,
"Burnin' Up - The 3D Concert Experience",1370529,241,,,,,
"What I Go to School For",1334432,494,,,,,
"Live To Party - The 3D Concert Experience",1308786,234,,,,,
"Love Me To Heaven - Acoustic",1296541,2192,,,,,
"Holiday (with Jonas Brothers & LL COOL J)",1251190,64,,,,,
"That's Just The Way We Roll - The 3D Concert Experience",1076287,241,,,,,
"I'm Gonna Getcha Good - The 3D Concert Experience",1064888,226,,,,,
"S.O.S. - The 3D Concert Experience",1032828,216,,,,,
"The Greatest (feat. Jonas Brothers)",1025923,20587,,,,,
"Hold On - The 3D Concert Experience",966508,214,,,,,
7:05,942806,375,,,,,
"Remember When",847076,921,,,,,
"Like It's Christmas (Live Version)",822804,715,,,,,
"Pushin' Me Away - The 3D Concert Experience",796050,201,,,,,
"Video Girl - The 3D Concert Experience",791730,233,,,,,
Underdog,789350,309,,,,,
"One Day at a Time",776441,300,,,,,
"Tonight - The 3D Concert Experience",754481,176,,,,,
"Celebrate! - Live From The O2 London",753344,1778,,,,,
"BB Good - The 3D Concert Experience",750698,166,,,,,
"Hello Beautiful - The 3D Concert Experience",715568,147,,,,,
"You Just Don't Know It",673086,252,,,,,
"Jealous - Live From The O2 London",637499,1809,,,,,
"Cake By The Ocean - Live From The O2 London",624497,1698,,,,,
"Gotta Find You - Live From The O2 London",623479,1086,,,,,
"When You Look Me In The Eyes - Live From The O2 London",598216,1373,,,,,
"Better Off Alone",586931,616,,,,,
"Burnin' Up - Live From The O2 London",517314,1138,,,,,
