Rank,"Song Title",Streams,Daily
164,Sucker,645143,91
2,"Leave Before You Love Me (with Jonas Brothers)",1116030091,480684
3,"Only Human",582931988,117839
4,"What A Man Gotta Do",569610564,84669
5,"Burnin' Up",315542588,112078
6,"Like It's Christmas",296045010,8006
7,Runaway,285553410,40952
8,"Lonely (with Jonas Brothers)",253161923,9952
9,Cool,226704268,22115
10,"Waffle House",201579506,77363
11,"Year 3000",196615676,46162
12,X,161656578,16608
13,Lovebug,149782061,37884
14,S.O.S.,147721504,59436
15,"Do It Like That",139087610,37454
16,"I Believe",127469002,24607
17,"When You Look Me In The Eyes",125683106,54236
18,"Play My Music",99366804,37236
19,"Who's In Your Head",79534544,13743
20,Rollercoaster,77276008,13244
21,"Summer Baby",71112476,24837
22,"Remember This",67626814,11138
23,"I Need You Christmas",67544235,635
24,Wings,60410146,14379
25,"Love Me To Heaven",59687700,99712
26,"Love Her",58967998,4826
27,"Slow Motion",54931390,47213
28,Hesitate,50591856,6338
29,"Five More Minutes",50150148,5033
30,"Hold On",44807640,14285
31,"Strong Enough (feat. Bailey Zimmerman)",43156029,19294
32,"Vacation Eyes",39814884,44108
33,"Fly With Me",37233550,11169
34,"Used To Be",35704591,4037
35,Strangers,33230646,6775
36,Paranoid,33228907,9481
37,"Don't Throw it Away",32728642,9158
38,Comeback,29564417,3631
39,"Every Single Time",29350801,3816
40,"That's Just The Way We Roll",29067002,7769
41,Backwards,26499277,78113
42,"No Time To Talk",26177030,57985
43,"Greenlight - From ""Songland""",25946137,1719
44,"Healing (Shattered Heart)",24715173,11385
45,"Montana Sky",23230224,16097
46,"Before The Storm (feat. Miley Cyrus)",22755766,3774
47,"Pom Poms",22739126,2273
48,"Happy When I'm Sad",22035638,1894
49,Celebrate!,22026918,23430
50,Trust,21203789,1729
51,Selfish,20282528,5523
52,"I Dare You",18727509,37414
53,"L.A. Baby (Where Dreams Are Made Of)",17883930,4471
54,"I Can’t Lose",17800353,31938
55,Tonight,17116167,3309
56,"Loved You Better (with Dean Lewis)",16796356,25012
57,"Goodnight and Goodbye",15286724,2968
58,"Should've Said No - The 3D Concert Experience",15265018,2849
59,"A Little Bit Longer",14953903,2390
60,"Your Biggest Fan",14940183,3183
61,"Much Better",13867924,2210
62,"Sail Away",13338164,6600
63,"Still In Love With You",12604017,2734
64,"First Time",12510067,1211
65,Shelf,12466678,3082
66,"Little Bird",12449872,8227
67,"Before The Storm – duet with Jonas Brothers (Live)",10962037,1321
68,"Hello Beautiful",10861216,1880
69,"Pushin' Me Away",10860173,2137
70,"Coming Home This Christmas",10509231,2896
71,"On the Line",10477751,1528
72,"Just Friends",10349598,1911
73,Miracle,10299094,2932
74,"Hey You",10182964,2005
75,"Walls (with Jon Bellion)",10046752,4084
76,"Video Girl",10011868,1907
77,Sorry,9245605,2160
78,Australia,8885122,1929
79,Americana,8559457,2459
80,"World War III",8290059,1509
81,"BB Good",8246852,1719
82,Critical,8166583,1145
83,"Black Keys",8116850,816
84,"Can't Have You",8061742,2815
85,Inseparable,7948399,1807
86,"Please Be Mine",7867431,3331
87,"Got Me Going Crazy",7368954,1341
88,"Summer In The Hamptons",7312275,2153
89,"Year 3000 2.0",6722576,1974
90,"Do It Like That (Alan Walker Remix)",6496785,1572
91,Games,6379951,1437
92,Hollywood,6379809,2140
93,Tantrum,6252264,9416
94,"Hey Baby",5975296,1172
95,Tables,5629773,10073
96,"cliché - Jonas Brothers remix",5391706,16910
97,"Turn Right",5390786,833
98,"Poison Ivy",5277638,992
99,Mandy,5234458,843
100,"Happen To Me (feat. Jonas Brothers)",5227669,25715
101,"Holiday (with Jonas Brothers)",5134672,298
102,"Keep It Real",5098657,1260
103,Invisible,5078919,1550
104,"One Man Show",5058177,1046
105,"Things Will Never Be the Same",4736488,1152
106,"Feelin' Alive",4691789,930
107,"Mirror to the Sky",4653962,14556
108,"What Did I Do To Your Heart",4420387,887
109,"Take A Breath",4416139,1343
110,"Live To Party",4313549,1589
111,"Greetings From Your Hometown (with Switchfoot)",4312997,7109
112,"We Got the Party Duet with Jonas Brothers - Live from Arrowhead Pond, Anaheim, U.S.A./2008",4244590,3652
113,"Don't Speak",3849797,799
114,Bully,3738190,6178
115,"Do It Like That (Jersey Club Remix)",3684004,866
116,"Make It Right",3328846,609
117,Jersey,3245222,344
118,"Heat Of The Moment",3220539,4973
119,"Celebrate Happy",3202347,3377
120,Fall,3173732,685
121,"When You Know",3150105,4792
122,"6 Minutes",2888040,692
123,"Waste No Time",2881207,4653
124,"Chillin' In the Summertime",2793051,557
125,"Summer Rain",2776054,577
126,"Do It Like That (Pop R&B Remix)",2620086,785
127,"I Am What I Am",2525276,535
128,"Do It Like That (Jax Jones Remix)",2412068,802
129,Lucky,2391409,3706
130,"Set This Party Off",2369898,558
131,Drive,2163347,500
132,"Healing (Shattered Heart) - Sam Feldt Remix",2111178,716
