Rank,"Song Title",Streams,Daily
1,Sucker,1645752267,284434
2,"Leave Before You Love Me (with Jonas Brothers)",1132566994,458807
3,"Only Human",587138308,104165
4,"What A Man Gotta Do",572561700,73150
5,"Burnin Up",319696590,118991
6,"Like Its Christmas",296255379,4570
7,Runaway,287053563,34360
8,"Lonely (with Jonas Brothers)",253505237,9403
9,Cool,227429273,17689
10,"Waffle House",204129538,62345
11,"Year 3000",198342405,41687
12,X,162219729,14162
13,Lovebug,151093622,32831
14,SOS,149960355,57785
15,"Do It Like That",140298347,29435
16,"I Believe",128271301,18549
17,"When You Look Me In The Eyes",127495780,60793
18,"Play My Music",100751829,33904
19,"Whos In Your Head",79989559,11152
20,Rollercoaster,77717811,9807
21,"Summer Baby",71926426,21338
22,"Remember This",67971288,8229
23,"I Need You Christmas",67564076,430
24,"Love Me To Heaven",62848245,79077
25,Wings,60837071,10303
26,"Love Her",59124411,3487
27,"Slow Motion",56473508,36640
28,Hesitate,50802608,4718
29,"Five More Minutes",50312898,4127
30,"Hold On",45227174,10032
31,"Strong Enough (feat Bailey Zimmerman)",43795774,15561
32,"Vacation Eyes",41029423,28779
33,"Fly With Me",37589071,8488
34,"Used To Be",35834270,2798
35,Paranoid,33515880,6747
36,Strangers,33424643,4541
37,"Dont Throw it Away",33005707,6568
38,Comeback,29675080,2419
39,"Every Single Time",29466857,2966
40,"Thats Just The Way We Roll",29294247,5344
41,Backwards,28889507,54472
42,"No Time To Talk",28048452,43158
43,"Greenlight - From Songland",26009917,1624
44,"Healing (Shattered Heart)",25104281,9853
45,"Montana Sky",23722091,10695
46,"Before The Storm (feat Miley Cyrus)",22915579,3324
47,Celebrate,22677132,14637
48,"Happy When Im Sad",22097368,1395
49,Trust,21261723,1345
50,Selfish,20464874,4545
51,"I Dare You",19826692,23856
52,"I Cant Lose",18782517,22631
53,"LA Baby (Where Dreams Are Made Of)",18032350,3034
54,"Loved You Better (with Dean Lewis)",17527163,16505
55,Tonight,17216524,2424
56,"Shouldve Said No - The 3D Concert Experience",15387031,3033
57,"Goodnight and Goodbye",15375795,2080
58,"Your Biggest Fan",15044967,1620
59,"A Little Bit Longer",15025951,1706
60,"Much Better",13938312,1673
61,"Sail Away",13536353,4042
62,"Little Bird",12715653,6023
63,"Still In Love With You",12680289,1761
64,Shelf,12563171,2334
65,"First Time",12550152,954
66,"Before The Storm duet with Jonas Brothers (Live)",11023787,1252
67,"Pushin Me Away",10924423,1569
68,"Hello Beautiful",10918879,1402
69,"Coming Home This Christmas",10595861,1927
70,"On the Line",10532659,1156
71,"Just Friends",10409452,1492
72,Miracle,10387892,2026
73,"Hey You",10237701,822
74,"Walls (with Jon Bellion)",10178212,3328
75,"Video Girl",10067230,1286
76,Sorry,9311380,1549
77,Australia,8941435,1361
78,Americana,8637337,1767
79,"World War III",8331394,941
80,"BB Good",8297396,1330
81,Critical,8200386,538
82,"Black Keys",8143707,599
83,"Cant Have You",8140250,1870
84,Inseparable,8001688,1328
85,"Please Be Mine",7958171,2196
86,"Got Me Going Crazy",7408720,977
87,"Summer In The Hamptons",7374848,1436
88,"Year 3000 20",6793064,1767
89,"Do It Like That (Alan Walker Remix)",6551516,1418
90,Tantrum,6535893,6565
91,Hollywood,6439325,1461
92,Games,6421655,1042
93,"Happen To Me (feat Jonas Brothers)",6031004,17461
94,"Hey Baby",6011333,857
95,Tables,5928160,6858
96,"cliché - Jonas Brothers remix",5882042,9926
97,"Turn Right",5416819,811
98,"Poison Ivy",5306419,692
99,Mandy,5260912,634
100,"Holiday (with Jonas Brothers)",5144455,219
101,"Keep It Real",5134734,804
102,Invisible,5128776,751
103,"One Man Show",5088862,730
104,"Mirror to the Sky",5081188,10081
105,"Things Will Never Be the Same",4767695,470
106,"Feelin Alive",4718065,372
107,"We Got the Party Duet with Jonas Brothers - Live from Arrowhead Pond Anaheim USA2008",4543863,4360
108,"Greetings From Your Hometown (with Switchfoot)",4517542,4582
109,"Take A Breath",4456064,992
110,"What Did I Do To Your Heart",4446646,618
111,"Live To Party",4364616,1105
112,Bully,3905354,3672
113,"Dont Speak",3871976,534
114,"Do It Like That (Jersey Club Remix)",3712342,671
115,"Heat Of The Moment",3360453,2784
116,"Make It Right",3345420,250
117,"Celebrate Happy",3324078,3583
118,"When You Know",3276639,2515
119,Jersey,3256080,251
120,Fall,3192310,297
121,"Waste No Time",3013853,2815
122,"6 Minutes",2907413,460
123,"Chillin In the Summertime",2809457,238
124,"Summer Rain",2791574,256
125,"Do It Like That (Pop RB Remix)",2645110,641
126,"I Am What I Am",2539675,333
127,Lucky,2493779,2061
128,"Do It Like That (Jax Jones Remix)",2436173,601
129,"Set This Party Off",2384251,211
130,Drive,2176759,212
131,"Healing (Shattered Heart) - Sam Feldt Remix",2135403,614
132,"The Beautiful Letdown (Jonas Brothers Version)",2120552,554
133,"Vacation Eyes - Live From The O2 London",2041054,2765
134,"Dont Charge Me For The Crime (feat Common)",1903786,202
135,"This Is Me - The 3D Concert Experience",1867095,254
136,"Remember This - NBC Olympics Edition",1672556,142
137,Time,1551346,568
138,"Love Is On Its Way - The 3D Concert Experience",1546521,377
139,"SOS - Live",1426187,302
140,"Time for Me to Fly",1388386,388
141,"Burnin Up - The 3D Concert Experience",1377919,156
142,"Love Me To Heaven - Acoustic",1366951,1346
143,"The Greatest (feat Jonas Brothers)",1353954,5440
144,"What I Go to School For",1350355,348
145,"Live To Party - The 3D Concert Experience",1316555,152
146,"Holiday (with Jonas Brothers LL COOL J)",1253182,39
147,"Thats Just The Way We Roll - The 3D Concert Experience",1082938,142
148,"Im Gonna Getcha Good - The 3D Concert Experience",1071894,176
149,"SOS - The 3D Concert Experience",1039899,138
150,"Hold On - The 3D Concert Experience",972759,118
151,705,955296,300
152,"Remember When",875832,561
153,"Like Its Christmas (Live Version)",841764,291
154,"Celebrate - Live From The O2 London",814093,1188
155,"Pushin Me Away - The 3D Concert Experience",801696,114
156,Underdog,799336,224
157,"Video Girl - The 3D Concert Experience",798913,184
158,"One Day at a Time",786713,235
159,"Tonight - The 3D Concert Experience",759983,115
160,"BB Good - The 3D Concert Experience",755549,107
161,"Jealous - Live From The O2 London",720315,1518
162,"Hello Beautiful - The 3D Concert Experience",719728,79
163,"Cake By The Ocean - Live From The O2 London",686873,1306
164,"You Just Dont Know It",681563,183
165,"Gotta Find You - Live From The O2 London",671457,998
166,Sucker,648995,149
167,"When You Look Me In The Eyes - Live From The O2 London",647555,1841
168,"Better Off Alone",606064,346
169,"Burnin Up - Live From The O2 London",558082,853
170,"SOS - Live From The O2 London",531010,688
171,"What A Man Gotta Do - Live From The O2 London",501216,593
172,"Dreams - Live at SSE Arena Belfast",492694,771
173,"Waffle House - Live From The O2 London",479082,675
174,"Summer Baby - Live From The O2 London",460626,642
175,"Leave Before You Love Me - Live From The O2 London",450111,870
176,"Play My Music - Live From The O2 London",446819,676
177,"Lovebug - Live From The O2 London",440954,763
178,"Sucker (Live Version)",437195,322
179,"Thats Just The Way We Roll - Live From The O2 London",404811,497
180,"Year 3000 (feat Busted) - Live From The O2 London",401180,590
181,"Wouldnt Change A Thing (feat Demi Lovato) - Live",382538,6140
182,"When You Know - Live From The O2 London",371757,476
183,"Walls - Live From The O2 London",325283,522
184,"Only Human - Live From The O2 London",318051,474
185,"Fly With Me - Live From The O2 London",303706,404
186,"Intro - Live From The O2 London",297016,277
187,"Sucker - Live From The O2 London",278873,378
188,"Paranoid - Live From The O2 London",269935,362
189,"Backwards - Live",242142,3642
190,"Vacation Eyes (feat JoJo) - Live",218200,3308
191,"She Looks So Perfect (feat 5 Seconds of Summer) - Live",202819,3128
192,"Young Dumb Broke (feat Khalid) - Live",199581,1448
193,"Sucker (feat mgk) - Live",181442,1835
194,"Joyful Kings - Medley",168387,6
195,"No Air (feat Jordin Sparks) - Live",166089,2231
196,"I Believe (feat John Legend) - Live",153512,1133
197,"Im Just A Kid (feat Simple Plan) - Live",127832,1731
198,"The Reason (feat Hoobastank) - Live",119509,1664
199,"Slow Motion - Gil Glaze Remix",111177,158
200,"Take A Breath (feat Dashboard Confessional) - Live",100519,0
