Rank,"Song Title",Streams,Daily
1,"Como Le Hago (Salsa Remix)",11822144,1740
2,"Con Él",11333805,1236
3,"Piensa en Mi",10553253,1822
4,"Te Besaré",9969167,1450
5,Sayonara,8485855,2186
6,"Te Besaré - Salsa Remix",5823442,599
7,"The Reason - Latin Version",3741242,2243
8,"El Chisme",2653852,204
9,Carito,2483990,1825
10,"Dejame un Beso",2439311,500
11,Bonke,1604803,179
12,"Somos Tres",1597451,246
13,"Déjate Llevar",1497953,411
14,"Me Enamore de Ti, y Que?",1150910,1313
15,"El Tren",1055128,648
16,"Que Va",917402,73
17,"Salsa de Ahora",898944,304
18,"No Sabes de Amor",806159,51
19,"Hablándole al Silencio",797876,206
20,"Casate Conmigo",703604,52
21,"Piensa en Mi (Versión Merengue)",671163,135
22,"Una Bendición",646363,75
23,"Mejor Que Yo",547255,231
24,"Vine a Buscarte",457302,77
25,Perderte,448395,197
26,"Carita de Cristal",400809,93
27,"Millonario - Remix",384798,379
28,"Se me olvidó",353996,1138
29,"Luna De Queso",347016,21
30,"Mi Linda Princesa",327573,61
31,"Volver a Verte",326546,54
32,"Dale Pa' Bajo",296532,12
33,"Se Fue",290091,186
34,Shein,270120,98
35,"Nuestro Secreto",263835,143
36,"La Visualizo 2.0 - Remix",206036,64
37,"Cómo Te Extraño",192989,29
38,Habibi,187500,144
39,Yeye,181003,578
40,"Santa Claus Llegó a La Ciudad",172808,0
41,"Que Suerte",154106,374
42,"Sangre Vinotinto",152603,69
43,"Tequila, Limon y Sal",146250,59
44,"Quién Diría",114851,233
45,Quiéreme,111055,12
