Rank,"Song Title",Streams,Daily
1,"Dark Horse",1931077689,789433
2,"Last Friday Night (T.G.I.F.)",1815557831,1136230
3,Roar,1517832079,500769
4,Firework,1490064217,621753
5,"The One That Got Away",1438600220,1455956
6,"Hot N Cold",1377303913,857569
7,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",1353317741,469978
8,"California Gurls",1283543280,756183
9,"I Kissed A Girl",1235462622,576171
10,"Teenage Dream",1146358117,576413
11,Unconditionally,873930421,280264
12,"Harleys In Hawaii",783406284,493990
13,"Wide Awake",775164886,632347
14,"Never Really Over",760235569,90711
15,"Part Of Me",755783342,319752
16,"Chained To The Rhythm",647491999,117241
17,E.T.,522779327,275354
18,"Swish Swish",450583317,42723
19,"Bon Appétit",380838718,181784
20,"The One That Got Away - Acoustic",336491780,52035
21,"When I'm Gone (with Katy Perry)",323594594,47254
22,E.T.,323208780,162099
23,"This Is How We Do",301374343,42125
24,365,271622780,37240
25,Birthday,263787947,59242
26,"If We Ever Meet Again",249714016,127047
27,Daisies,233003359,15656
28,"Who You Love (feat. Katy Perry)",193258076,24980
29,"Con Calma - Remix",192209019,24206
30,Rise,190354718,29876
31,Starstrukk,189861657,90905
32,"Thinking Of You",184516690,200430
33,"Cozy Little Christmas",169367837,2535
34,Smile,135233090,12447
35,"Small Talk",128614525,4890
36,"Waking Up In Vegas",117835830,48305
37,Peacock,72623882,12818
38,"Electric - Pokemon 25 Version",69022709,5746
39,"WOMAN’S WORLD",65919697,20272
40,"I'M HIS, HE'S MINE (feat. Doechii)",65031744,31790
41,"Legendary Lovers",62826560,139963
42,"Walking On Air",57833802,7303
43,LIFETIMES,57230402,23807
44,"Cry About It Later",52804217,5617
45,"International Smile",44873512,5051
46,"Ur So Gay",44717099,13416
47,"Not Like The Movies",43002039,5128
48,"Hummingbird Heartbeat",42605980,6539
49,"Hey Hey Hey",41955415,3644
50,"By The Grace Of God",39381340,2691
51,"Never Worn White",38147837,2308
52,"Circle The Drain",35766745,6500
53,"Resilient (ft. Aitana) [Tiësto Remix]",32934557,1869
54,"Where We Started",32425646,4979
55,"Love Me",32129721,3536
56,"Who Am I Living For?",31868615,4321
