,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,* Friendships (Lost My Love),172.526.870,43.158,,,,
2,* Paradise,136.116.250,12.998,,,,
3,Remedy,132.102.653,25.748,,,,
4,* Far Away From Home,117.114.881,8.611,,,,
5,* Follow,108.553.021,24.285,,,,
6,* Space Melody (Edward Artemyev) (feat. Leony),93.967.829,15.781,,,,
7,Faded Love,92.297.078,14.686,,,,
8,* Easy Peasy,89.020.903,20.819,,,,
9,* Brother Louie,84.586.158,6.531,,,,
10,I Can Feel,75.690.760,23.589,,,,
11,* Fire - Official UEFA EURO 2024 Song,72.620.923,28.899,,,,
12,Merry Christmas Everyone,39.521.233,1.677,,,,
13,Somewhere in Between,28.807.510,5.153,,,,
14,Holding On,26.460.472,10.768,,,,
15,Simple Life,25.475.457,14.826,,,,
16,* Crazy Love,24.110.533,4.528,,,,
17,Rock n Roll,20.276.365,16.565,,,,
18,* Monsoon (feat. Tokio Hotel),19.768.840,6.126,,,,
19,By Your Side (In My Mind),16.617.719,20.676,,,,
20,* Tell Me Where U Go,14.499.966,15.350,,,,
21,* Waking Up,14.425.493,5.834,,,,
22,* Show Me Love - Dimitri Vegas Edit,13.755.623,993,,,,
23,* Summer Of Love,13.653.413,5.691,,,,
24,* Friendships (Lost My Love) - ATB Remix,13.124.535,2.773,,,,
25,* City Lights,8.569.241,2.519,,,,
26,* Stop The World,8.197.858,1.139,,,,
27,By Your Side (In My Mind) Part II,4.011.355,3.386,,,,
28,Home to Me,3.530.065,1.961,,,,
29,* Follow - VIZE Remix,3.308.377,536,,,,
30,* Miracle - Edit,2.581.762,793,,,,
31,* Where Do You Think You Are Going,2.537.872,175,,,,
32,Holding On - Macon's HYPERTECHNO Remix,2.505.830,739,,,,
33,Don't Worry,2.504.740,31.901,,,,
34,* Merry Holiday (Jingle Bells),2.483.287,132,,,,
35,* Friendships (Lost My Love) - Gabry Ponte Remix,2.208.214,422,,,,
36,* Tell Me Where U Go (feat. Leony) - Tiësto VIP Mix,2.003.037,2.271,,,,
37,* BANG BANG,1.796.784,3.175,,,,
38,* Raindrops - Intl. Version,1.623.472,545,,,,
39,The Weekend,1.431.414,6.183,,,,
40,Rock n Roll (Matt Sassari Remix),1.296.230,981,,,,
41,Shooting Stars,1.013.412,1.703,,,,
42,* Where Do You Think You Are Going (Harris & Ford Remix),826.437,64,,,,
43,Lifeline,742.535,858,,,,
44,By Your Side (In My Mind) Part II [Felix Jaehn Remix],626.804,489,,,,
45,Oldschool Love,626.253,1.308,,,,
46,* Tell Me Where U Go - goddard. Edit,601.017,669,,,,
47,Another Goodbye,574.593,522,,,,
48,Say My Name,552.577,279,,,,
49,* Merry Christmas Everyone - Mixed,532.106,59,,,,
50,Never Let Me Down,509.339,214,,,,
51,* Tell Me Where U Go - DAMIANO x Playmen Edit,506.689,325,,,,
52,* Love On the Line,463.231,201,,,,
53,* Waking Up - ESSEL Remix,412.939,42,,,,
54,Paradise,412.373,219,,,,
55,White Lies,371.723,209,,,,
56,Simple Life - WITH U & CRÜPO Remix,366.598,99,,,,
57,* City Lights (Mixed) - Olly James Remix,355.490,106,,,,
58,Remedy - Acoustic Version,329.941,193,,,,
59,Your Way,300.445,572,,,,
60,Afterglow,299.684,851,,,,
61,* City Lights (Mixed) - Olly James Remix,281.480,63,,,,
62,* Miracle,260.533,140,,,,
63,One Last Time,209.240,98,,,,
64,What If,204.383,341,,,,
65,Thank You (Not so Bad),191.135,108,,,,
66,Above and Beyond,187.748,91,,,,
67,Faded Love - Acoustic Version,182.220,91,,,,
68,One in a Million,175.448,380,,,,
69,* City Lights (Mixed),172.705,54,,,,
70,I'll Be Alright - Intro,170.563,192,,,,
71,Count on Me,159.192,262,,,,
72,Running Through the Night,152.866,406,,,,
73,Bad Love,150.390,82,,,,
74,No Hard Feelings,147.837,78,,,,
75,Cross My Mind,133.392,71,,,,
76,Working Title,115.285,57,,,,
