Rank,Song Title,Streams,Daily
1,* Friendships (Lost My Love),173390402,42181
2,* Paradise,136427788,13924
3,Remedy,132601947,24713
4,* Far Away From Home,117284273,8062
5,* Follow,109017358,22714
6,* Space Melody (Edward Artemyev) (feat. Leony),94269548,14988
7,Faded Love,92580008,13777
8,* Easy Peasy,89390080,16397
9,I Can Feel,76154358,22588
10,* Fire - Official UEFA EURO 2024 Song,73206193,28473
11,Merry Christmas Everyone,39534567,76
12,Somewhere in Between,28912329,5039
13,Holding On,26670057,10320
14,Simple Life,25758344,13771
15,* Crazy Love,24205359,4799
16,* Raindrops,20603535,1802
17,Rock n Roll,20591571,14997
18,* Monsoon (feat. Tokio Hotel),19896776,6147
19,By Your Side (In My Mind),17003306,18528
20,* Tell Me Where U Go,14783100,13362
21,* Waking Up,14537597,5367
22,* Show Me Love - Dimitri Vegas Edit,13777551,976
23,* Summer Of Love,13764694,5414
24,* Friendships (Lost My Love) - ATB Remix,13178951,2548
25,* City Lights,8620446,2496
26,* Stop The World,8221675,1119
27,By Your Side (In My Mind) Part II,4077040,3202
28,Home to Me,3555238,1098
29,* Follow - VIZE Remix,3319091,488
30,Don't Worry,3157705,31782
31,* Miracle - Edit,2597161,750
32,Holding On - Macon's HYPERTECHNO Remix,2521301,736
33,* Merry Holiday (Jingle Bells),2484670,56
34,* Friendships (Lost My Love) - Gabry Ponte Remix,2217282,468
35,* Tell Me Where U Go (feat. Leony) - Tiësto VIP Mix,2045082,1985
36,* BANG BANG,1856120,2729
37,* Raindrops - Intl. Version,1634231,558
38,The Weekend,1537110,5091
39,Rock n Roll (Matt Sassari Remix),1316444,943
40,* Hypnotic Tango (feat. Leony) - VIZE Edit,1161275,176
41,Shooting Stars,1045702,1644
42,Lifeline,758900,853
43,Oldschool Love,653312,1388
44,By Your Side (In My Mind) Part II [Felix Jaehn Remix],635781,453
45,* Tell Me Where U Go - goddard. Edit,614155,639
46,Another Goodbye,584604,534
47,Say My Name,558137,272
48,* Merry Christmas Everyone - Mixed,533015,43
49,Never Let Me Down,513777,226
50,* Tell Me Where U Go - DAMIANO x Playmen Edit,513071,318
51,* Said It All - Jax Jones Rework,470111,1618
52,* Love On the Line,467796,228
53,Paradise,416794,223
54,* Waking Up - ESSEL Remix,413944,40
55,White Lies,376203,230
56,Simple Life - WITH U & CRÜPO Remix,368795,114
57,* City Lights (Mixed) - Olly James Remix,357456,79
58,Remedy - Acoustic Version,333604,188
59,Afterglow,316170,843
60,Your Way,311498,575
61,* City Lights (Mixed) - Olly James Remix,282968,59
62,* Miracle,263334,140
63,What If,211494,370
64,One Last Time,211271,101
65,Thank You (Not so Bad),193552,117
66,Above and Beyond,189850,99
67,Faded Love - Acoustic Version,184295,89
68,One in a Million,183075,399
69,I'll Be Alright - Intro,174321,186
70,* City Lights (Mixed),174083,64
71,Count on Me,164106,226
72,Running Through the Night,161504,460
73,Bad Love,152200,88
74,No Hard Feelings,149459,78
75,Cross My Mind,134939,75
76,Working Title,116557,58
