"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Friendships (Lost My Love)",174311393,47265,,,,
Paradise,423398,381,419586,3812,279,102
Remedy,133213124,33561,132877510,335614,27556,6005
"Far Away From Home",117481768,10834,,,,
Follow,109480745,24095,,,,
"Space Melody (Edward Artemyev) (feat. Leony)",94463352,14711,,,,
"Faded Love",92919013,19021,92728800,190213,14879,4142
"Easy Peasy",89723737,17159,,,,
"I Can Feel",76630044,24236,76387675,242369,23331,905
"Fire - Official UEFA EURO 2024 Song",73749616,26930,,,,
"Merry Christmas Everyone",39548809,662,39542188,6621,762,-100
"Somewhere in Between",29023940,5897,28964969,58971,5264,633
"Holding On",26894229,12248,26771742,122487,10168,2080
"Simple Life",26059903,16255,25897346,162557,13900,2355
"Crazy Love",24305065,5397,,,,
"Rock n Roll",20911315,16483,20746476,164839,15490,993
"Monsoon (feat. Tokio Hotel)",20024262,6306,,,,
"By Your Side (In My Mind)",17422644,22248,17200161,222483,19685,2563
"Tell Me Where U Go",15021987,11843,,,,
"Waking Up",14640853,5821,,,,
"Summer Of Love",13875535,5561,,,,
"Show Me Love - Dimitri Vegas Edit",13797962,989,,,,
"Friendships (Lost My Love) - ATB Remix",13233665,2550,,,,
"City Lights",8671505,2551,,,,
"Stop The World",8246034,1198,,,,
"By Your Side (In My Mind) Part II",4142511,3229,4110215,32296,3317,-88
"Don't Worry",3848625,37466,3473959,374666,31625,5841
"Home to Me",3571853,776,3564084,7769,884,-108
"Follow - VIZE Remix",3329101,569,,,,
"Miracle - Edit",2613468,835,,,,
"Holding On - Macon's HYPERTECHNO Remix",2550868,913,2536247,14621,786,127
"Where Do You Think You Are Going",2546621,138,,,,
"Merry Holiday (Jingle Bells)",2485576,36,,,,
"Friendships (Lost My Love) - Gabry Ponte Remix",2226661,496,,,,
"Tell Me Where U Go (feat. Leony) - Tiësto VIP Mix",2082909,1588,,,,
"BANG BANG",1911344,2791,,,,
"Raindrops - Intl. Version",1646447,700,,,,
"The Weekend",1641270,5782,1583445,57825,4633,1149
"Rock n Roll (Matt Sassari Remix)",1333854,883,1325022,8832,857,26
"Hypnotic Tango (feat. Leony) - VIZE Edit",1165102,159,,,,
"Shooting Stars",1084064,2018,1063878,20186,1817,201
"Where Do You Think You Are Going (Harris & Ford Remix)",829924,55,,,,
Lifeline,776338,979,766543,9795,764,215
"Oldschool Love",687845,1976,668084,19761,1477,499
"By Your Side (In My Mind) Part II [Felix Jaehn Remix]",644601,411,640489,4112,470,-59
"Tell Me Where U Go - goddard. Edit",626548,618,,,,
"Another Goodbye",595465,560,589864,5601,526,34
"Say My Name",566773,507,561700,5073,356,151
"Said It All - Jax Jones Rework",563395,3252,,,,
"Merry Christmas Everyone - Mixed",533747,36,,,,
"Never Let Me Down",519476,341,516057,3419,228,113
"Tell Me Where U Go - DAMIANO x Playmen Edit",519071,292,,,,
"Love On the Line",473544,310,,,,
"Waking Up - ESSEL Remix",414901,49,,,,
"White Lies",381692,296,378723,2969,252,44
"Simple Life - WITH U & CRÜPO Remix",370711,86,369845,866,105,-19
"City Lights (Mixed) - Olly James Remix",284344,68,,,,
"Remedy - Acoustic Version",338967,303,335936,3031,233,70
Afterglow,337530,1189,325631,11899,946,243
"Your Way",326720,801,318702,8018,720,81
Miracle,266021,135,,,,
"What If",219631,417,215456,4175,396,21
"One Last Time",214185,164,212538,1647,126,38
"Thank You (Not so Bad)",196449,159,194853,1596,130,29
"One in a Million",194085,576,188324,5761,524,52
"Above and Beyond",192405,146,190941,1464,109,37
"Faded Love - Acoustic Version",187135,160,185527,1608,123,37
"I'll Be Alright - Intro",180469,339,177076,3393,275,64
"City Lights (Mixed)",175160,54,,,,
"Running Through the Night",170475,489,165578,4897,407,82
"Count on Me",169802,309,166704,3098,259,50
"Bad Love",154499,123,153267,1232,106,17
"No Hard Feelings",151608,124,150366,1242,90,34
"Cross My Mind",136933,109,135842,1091,90,19
"Working Title",118294,99,117296,998,73,26
