Rank,"Song Title",Streams,Daily
1,"*Friendships (Lost My Love)",172526870,43158
2,*Paradise,136116250,12998
3,Remedy,132102653,25748
4,"*Far Away From Home",117114881,8611
5,*Follow,108553021,24285
6,"*Space Melody (Edward Artemyev) (feat. Leony)",93967829,15781
7,"Faded Love",92297078,14686
8,"*Easy Peasy",89020903,20819
9,"*Brother Louie",84586158,6531
10,"I Can Feel",75690760,23589
11,"*Fire - Official UEFA EURO 2024 Song",72620923,28899
12,"Merry Christmas Everyone",39521233,1677
13,"Somewhere in Between",28807510,5153
14,"Holding On",26460472,10768
15,"Simple Life",25475457,14826
16,"*Crazy Love",24110533,4528
17,"Rock n Roll",20276365,16565
18,"*Monsoon (feat. Tokio Hotel)",19768840,6126
19,"By Your Side (In My Mind)",16617719,20676
20,"*Tell Me Where U Go",14499966,15350
21,"*Waking Up",14425493,5834
22,"*Show Me Love - Dimitri Vegas Edit",13755623,993
23,"*Summer Of Love",13653413,5691
24,"*Friendships (Lost My Love) - ATB Remix",13124535,2773
25,"*City Lights",8569241,2519
26,"*Stop The World",8197858,1139
27,"By Your Side (In My Mind) Part II",4011355,3386
28,"Home to Me",3530065,1961
29,"*Follow - VIZE Remix",3308377,536
30,"*Miracle - Edit",2581762,793
31,"*Where Do You Think You Are Going",2537872,175
32,"Holding On - Macon's HYPERTECHNO Remix",2505830,739
33,"Don't Worry",2504740,31901
34,"*Merry Holiday (Jingle Bells)",2483287,132
35,"*Friendships (Lost My Love) - Gabry Ponte Remix",2208214,422
36,"*Tell Me Where U Go (feat. Leony) - Tiësto VIP Mix",2003037,2271
37,"*BANG BANG",1796784,3175
38,"*Raindrops - Intl. Version",1623472,545
39,"The Weekend",1431414,6183
40,"Rock n Roll (Matt Sassari Remix)",1296230,981
41,"Shooting Stars",1013412,1703
42,"*Where Do You Think You Are Going (Harris & Ford Remix)",826437,64
43,Lifeline,742535,858
44,"By Your Side (In My Mind) Part II [Felix Jaehn Remix]",626804,489
45,"Oldschool Love",626253,1308
46,"*Tell Me Where U Go - goddard. Edit",601017,669
47,"Another Goodbye",574593,522
48,"Say My Name",552577,279
49,"*Merry Christmas Everyone - Mixed",532106,59
50,"Never Let Me Down",509339,214
51,"*Tell Me Where U Go - DAMIANO x Playmen Edit",506689,325
52,"*Love On the Line",463231,201
53,"*Waking Up - ESSEL Remix",412939,42
54,Paradise,412373,219
55,"White Lies",371723,209
56,"Simple Life - WITH U & CRÜPO Remix",366598,99
57,"Remedy - Acoustic Version",329941,193
58,"Your Way",300445,572
59,Afterglow,299684,851
60,"*City Lights (Mixed) - Olly James Remix",281480,63
61,*Miracle,260533,140
62,"One Last Time",209240,98
63,"What If",204383,341
64,"Thank You (Not so Bad)",191135,108
65,"Above and Beyond",187748,91
66,"Faded Love - Acoustic Version",182220,91
67,"One in a Million",175448,380
68,"*City Lights (Mixed)",172705,54
69,"I'll Be Alright - Intro",170563,192
70,"Count on Me",159192,262
71,"Running Through the Night",152866,406
72,"Bad Love",150390,82
73,"No Hard Feelings",147837,78
74,"Cross My Mind",133392,71
75,"Working Title",115285,57
