,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Strip That Down (feat. Quavo),1.107.715.243,120.342,,,,
2,For You (With Rita Ora),549.125.758,107.591,,,,
3,* Polaroid (With Jonas Blue & Lennon Stella),444.768.914,44.995,,,,
4,Familiar (With J. Balvin),297.597.301,20.519,,,,
5,* Get Low (With Zedd),220.438.621,14.458,,,,
6,* Midnight (feat. Liam Payne),215.821.216,18.582,,,,
7,Bedroom Floor,183.321.915,11.274,,,,
8,Stack It Up (feat. A Boogie Wit da Hoodie),121.511.599,17.133,,,,
9,All I Want (For Christmas),99.146.199,4.850,,,,
10,Naughty List (with Dixie),70.321.923,2.774,,,,
11,Strip That Down - Acoustic,63.028.513,3.362,,,,
12,Live Forever (With Cheat Codes),57.878.205,4.071,,,,
13,First Time,42.089.960,1.560,,,,
14,Sunshine - From the Motion Picture “Ron’s Gone Wrong”,29.555.980,6.720,,,,
15,Teardrops,26.863.113,13.585,,,,
16,Remember,26.744.552,8.419,,,,
17,* Polaroid - Acoustic,25.311.093,1.632,,,,
18,Strip That Down - Nevada Remix,15.862.757,874,,,,
19,Depend On It,13.233.747,2.150,,,,
20,Slow,12.904.441,2.956,,,,
21,Let It Snow Let It Snow Let It Snow,12.857.501,251,,,,
22,Heart Meet Break,10.576.856,1.946,,,,
23,Home With You,9.879.206,1.409,,,,
24,Stack It Up - Acoustic,9.623.044,536,,,,
25,Say It All,7.395.929,2.307,,,,
26,* You & I - Big Payno Remix,7.200.392,289,,,,
27,Tell Your Friends,7.174.377,1.352,,,,
28,* Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.843.083,402,,,,
29,Weekend,6.714.317,1.294,,,,
30,Hips Don't Lie,6.641.553,1.238,,,,
31,Both Ways,5.723.508,1.082,,,,
32,Bedroom Floor - Cash Cash Remix,5.495.757,247,,,,
33,* Polaroid - R3HAB Remix,5.282.566,105,,,,
34,Rude Hours,5.110.116,956,,,,
35,* Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.415.903,203,,,,
36,* Midnight (feat. Liam Payne) (Rompasso Remix),3.700.110,245,,,,
37,Bedroom Floor - Acoustic,3.630.377,216,,,,
38,* Get Low - KUURO Remix,3.009.957,88,,,,
39,Teardrops - Acoustic,2.502.205,1.725,,,,
40,* Midnight (feat. Liam Payne) (Jack Wins Remix),2.139.912,129,,,,
41,* Polaroid - CID & Jonas Blue Remix,1.655.936,79,,,,
42,Bedroom Floor - NSG Remix,1.482.850,69,,,,
43,* Midnight (feat. Liam Payne) (Alesso & ESH Remix),1.475.976,82,,,,
44,* Polaroid - Zac Samuel Remix,1.175.539,70,,,,
45,* Midnight (feat. Liam Payne) (Vicetone Remix),938.367,198,,,,
46,Live Forever (With Cheat Codes) - R3HAB Remix,797.243,95,,,,
47,* Midnight - Sylvain Armand & Kiko Franco Remix,719.470,56,,,,
48,Sunshine - From the Motion Picture “Ron’s Gone Wrong” / Acoustic,672.442,233,,,,
49,Sunshine - From the Motion Picture “Ron’s Gone Wrong’’ (Billen Ted Remix),540.103,94,,,,
50,Bedroom Floor - London On Da Track Remix,539.953,38,,,,
51,* Polaroid - HUGEL Remix,536.205,33,,,,
52,* Polaroid - Nolan van Lith Remix,281.884,20,,,,
53,Live Forever (with Cheat Codes) - 99 Souls Remix,271.492,46,,,,
54,Live Forever (With Cheat Codes) - Mahalo Remix,257.530,29,,,,
55,Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix,212.941,26,,,,
56,* I Don't Care - Payno Vs. Afterhrs Remix,198.238,5,,,,
57,* Midnight (feat. Liam Payne) (Magnificence Remix),187.494,18,,,,
