"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Strip That Down (feat. Quavo)",1114029396,120750,1114029396,0,120750,0
"For You (With Rita Ora)",554712653,91401,554712653,0,91401,0
"Polaroid (With Jonas Blue & Lennon Stella)",446941958,34692,446941958,0,34692,0
"Familiar (With J. Balvin)",298630226,17230,298630226,0,17230,0
"Get Low (With Zedd)",221154581,11191,221154581,0,11191,0
"Midnight (feat. Liam Payne)",216664806,14087,216664806,0,14087,0
"Bedroom Floor",183926497,9467,183926497,0,9467,0
"Stack It Up (feat. A Boogie Wit da Hoodie)",122231511,11743,122231511,0,11743,0
"All I Want (For Christmas)",99291195,2122,99291195,0,2122,0
"Naughty List (with Dixie)",70398423,832,70398423,0,832,0
"Strip That Down - Acoustic",63191740,2707,63191740,0,2707,0
"Live Forever (With Cheat Codes)",58087823,3231,58087823,0,3231,0
"First Time",42164742,1204,42164742,0,1204,0
"Sunshine - From the Motion Picture “Ron’s Gone Wrong”",29885231,5765,29885231,0,5765,0
Teardrops,27634486,12462,27634486,0,12462,0
Remember,27262066,7493,27262066,0,7493,0
"Polaroid - Acoustic",25385182,1162,25385182,0,1162,0
"Strip That Down - Nevada Remix",15909364,941,15909364,0,941,0
"Depend On It",13362243,1913,13362243,0,1913,0
Slow,13078735,2226,13078735,0,2226,0
"Let It Snow, Let It Snow, Let It Snow",12865476,111,12865476,0,111,0
"Heart Meet Break",10693561,1802,10693561,0,1802,0
"Home With You",9965826,1755,9965826,0,1755,0
"Stack It Up - Acoustic",9646104,362,9646104,0,362,0
"Say It All",7536015,2150,7536015,0,2150,0
"Tell Your Friends",7249275,1072,7249275,0,1072,0
"You & I - Big Payno Remix",7214861,232,7214861,0,232,0
"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6866633,455,6866633,0,455,0
Weekend,6781920,1132,6781920,0,1132,0
"Hips Don't Lie",6706210,1085,6706210,0,1085,0
"Both Ways",5780535,928,5780535,0,928,0
"Bedroom Floor - Cash Cash Remix",5508129,188,5508129,0,188,0
"Polaroid - R3HAB Remix",5288008,90,5288008,0,90,0
"Rude Hours",5159155,774,5159155,0,774,0
"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4426062,177,4426062,0,177,0
"Midnight (feat. Liam Payne) (Rompasso Remix)",3709058,152,3709058,0,152,0
"Bedroom Floor - Acoustic",3642509,203,3642509,0,203,0
"Get Low - KUURO Remix",3014728,81,3014728,0,81,0
"Teardrops - Acoustic",2579099,1361,2579099,0,1361,0
"Midnight (feat. Liam Payne) (Jack Wins Remix)",2146330,102,2146330,0,102,0
"Polaroid - CID & Jonas Blue Remix",1658257,35,1658257,0,35,0
"Bedroom Floor - NSG Remix",1486496,53,1486496,0,53,0
"Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1479940,63,1479940,0,63,0
"Polaroid - Zac Samuel Remix",1179371,67,1179371,0,67,0
"Midnight (feat. Liam Payne) (Vicetone Remix)",947630,132,947630,0,132,0
"Live Forever (With Cheat Codes) - R3HAB Remix",801704,78,801704,0,78,0
"Midnight - Sylvain Armand & Kiko Franco Remix",721988,33,721988,0,33,0
"Sunshine - From the Motion Picture “Ron’s Gone Wrong” / Acoustic",682749,193,682749,0,193,0
"Sunshine - From the Motion Picture “Ron’s Gone Wrong’’ (Billen Ted Remix)",544765,83,544765,0,83,0
"Bedroom Floor - London On Da Track Remix",541836,38,541836,0,38,0
"Polaroid - HUGEL Remix",537809,26,537809,0,26,0
"Polaroid - Nolan van Lith Remix",282941,19,282941,0,19,0
"Live Forever (with Cheat Codes) - 99 Souls Remix",273444,34,273444,0,34,0
"Live Forever (With Cheat Codes) - Mahalo Remix",259108,30,259108,0,30,0
"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",214296,21,214296,0,21,0
"I Don't Care - Payno Vs. Afterhrs Remix",198461,5,198461,0,5,0
"Midnight (feat. Liam Payne) (Magnificence Remix)",188801,19,188801,0,19,0
