Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
"Strip That Down (feat. Quavo)",1114164051,134655,,,,,
"For You (With Rita Ora)",554826493,113840,,,,,
"Polaroid (With Jonas Blue & Lennon Stella)",446987804,45846,,,,,
"Familiar (With J. Balvin)",298650053,19827,,,,,
"Get Low (With Zedd)",221168167,13586,,,,,
"Midnight (feat. Liam Payne)",216681960,17154,,,,,
"Bedroom Floor",183937959,11462,,,,,
"Stack It Up (feat. A Boogie Wit da Hoodie)",122244921,13410,,,,,
"All I Want (For Christmas)",99293470,2275,,,,,
"Naughty List (with Dixie)",70399517,1094,,,,,
"Strip That Down - Acoustic",63195239,3499,,,,,
"Live Forever (With Cheat Codes)",58091664,3841,,,,,
"First Time",42166188,1446,,,,,
"Sunshine - From the Motion Picture “Ron’s Gone Wrong”",29891558,6327,,,,,
Teardrops,27650260,15774,,,,,
Remember,27271614,9548,,,,,
"Polaroid - Acoustic",25386790,1608,,,,,
"Strip That Down - Nevada Remix",15910324,960,,,,,
"Depend On It",13364371,2128,,,,,
Slow,13081860,3125,,,,,
"Let It Snow, Let It Snow, Let It Snow",12865591,115,,,,,
"Heart Meet Break",10695506,1945,,,,,
"Home With You",9967775,1949,,,,,
"Stack It Up - Acoustic",9646521,417,,,,,
"Say It All",7538589,2574,,,,,
"Tell Your Friends",7250611,1336,,,,,
"You & I - Big Payno Remix",7215125,264,,,,,
"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6867131,498,,,,,
Weekend,6783227,1307,,,,,
"Hips Don't Lie",6707374,1164,,,,,
"Both Ways",5781648,1113,,,,,
"Bedroom Floor - Cash Cash Remix",5508347,218,,,,,
"Polaroid - R3HAB Remix",5288104,96,,,,,
"Rude Hours",5160066,911,,,,,
"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4426240,178,,,,,
"Midnight (feat. Liam Payne) (Rompasso Remix)",3709216,158,,,,,
"Bedroom Floor - Acoustic",3642734,225,,,,,
"Get Low - KUURO Remix",3014816,88,,,,,
"Teardrops - Acoustic",2580431,1332,,,,,
"Midnight (feat. Liam Payne) (Jack Wins Remix)",2146449,119,,,,,
"Polaroid - CID & Jonas Blue Remix",1658310,53,,,,,
"Bedroom Floor - NSG Remix",1486557,61,,,,,
"Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1480016,76,,,,,
"Polaroid - Zac Samuel Remix",1179453,82,,,,,
"Midnight (feat. Liam Payne) (Vicetone Remix)",947841,211,,,,,
"Live Forever (With Cheat Codes) - R3HAB Remix",801788,84,,,,,
"Midnight - Sylvain Armand & Kiko Franco Remix",722039,51,,,,,
"Sunshine - From the Motion Picture “Ron’s Gone Wrong” / Acoustic",682929,180,,,,,
"Sunshine - From the Motion Picture “Ron’s Gone Wrong’’ (Billen Ted Remix)",544843,78,,,,,
"Bedroom Floor - London On Da Track Remix",541875,39,,,,,
"Polaroid - HUGEL Remix",537841,32,,,,,
"Polaroid - Nolan van Lith Remix",282954,13,,,,,
"Live Forever (with Cheat Codes) - 99 Souls Remix",273483,39,,,,,
"Live Forever (With Cheat Codes) - Mahalo Remix",259140,32,,,,,
"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",214321,25,,,,,
"I Don't Care - Payno Vs. Afterhrs Remix",198548,5,,,,,
"Midnight (feat. Liam Payne) (Magnificence Remix)",188825,24,,,,,
