Rank,"Song Title",Streams,Daily
1,"Strip That Down (feat. Quavo)",1117671674,134591
2,"For You (With Rita Ora)",557745855,114247
3,"Polaroid (With Jonas Blue & Lennon Stella)",448186299,39801
4,"Familiar (With J. Balvin)",299214864,19925
5,"Get Low (With Zedd)",221508106,12980
6,"Midnight (feat. Liam Payne)",217115220,16457
7,"Bedroom Floor",184247851,10617
8,"Stack It Up (feat. A Boogie Wit da Hoodie)",122590766,12540
9,"All I Want (For Christmas)",99348820,1863
10,"Naughty List (with Dixie)",70426797,997
11,"Strip That Down - Acoustic",63280144,3043
12,"Live Forever (With Cheat Codes)",58182403,3929
13,"First Time",42203187,1342
14,"Sunshine - From the Motion Picture “Ron’s Gone Wrong”",30062549,6892
15,Teardrops,28019045,13340
16,Remember,27522804,10263
17,"Polaroid - Acoustic",25423153,1471
18,"Strip That Down - Nevada Remix",15937231,1051
19,"Depend On It",13420211,2292
20,Slow,13156848,2954
21,"Let It Snow, Let It Snow, Let It Snow",12869293,138
22,"Heart Meet Break",10750624,2572
23,"Home With You",10015785,2101
24,"Stack It Up - Acoustic",9658378,460
25,"Say It All",7603301,1966
26,"Tell Your Friends",7284959,1132
27,"You & I - Big Payno Remix",7222674,246
28,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6879454,409
29,Weekend,6815414,1044
30,"Hips Don't Lie",6738309,1119
31,"Both Ways",5808549,973
32,"Bedroom Floor - Cash Cash Remix",5514822,212
33,"Polaroid - R3HAB Remix",5291377,115
34,"Rude Hours",5183844,771
35,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4431479,166
36,"Midnight (feat. Liam Payne) (Rompasso Remix)",3713953,160
37,"Bedroom Floor - Acoustic",3649084,232
38,"Get Low - KUURO Remix",3017196,91
39,"Teardrops - Acoustic",2616166,1508
40,"Midnight (feat. Liam Payne) (Jack Wins Remix)",2149894,138
41,"Polaroid - CID & Jonas Blue Remix",1659587,53
42,"Bedroom Floor - NSG Remix",1488430,71
43,"Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1482302,99
44,"Polaroid - Zac Samuel Remix",1181629,70
45,"Midnight (feat. Liam Payne) (Vicetone Remix)",952229,134
46,"Live Forever (With Cheat Codes) - R3HAB Remix",804135,68
47,"Midnight - Sylvain Armand & Kiko Franco Remix",723395,44
48,"Sunshine - From the Motion Picture “Ron’s Gone Wrong” / Acoustic",687990,176
49,"Sunshine - From the Motion Picture “Ron’s Gone Wrong’’ (Billen Ted Remix)",547251,83
50,"Bedroom Floor - London On Da Track Remix",542784,32
51,"Polaroid - HUGEL Remix",538706,35
52,"Polaroid - Nolan van Lith Remix",283482,22
53,"Live Forever (with Cheat Codes) - 99 Souls Remix",274548,37
54,"Live Forever (With Cheat Codes) - Mahalo Remix",260013,30
55,"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",215082,16
56,"I Don't Care - Payno Vs. Afterhrs Remix",198602,3
57,"Midnight (feat. Liam Payne) (Magnificence Remix)",189534,23
