Rank,"Song Title",Streams,Daily
1,"Strip That Down (feat. Quavo)",1116708685,134412
2,"For You (With Rita Ora)",556966903,110287
3,"Polaroid (With Jonas Blue & Lennon Stella)",447878839,43073
4,"Familiar (With J. Balvin)",299068217,19747
5,"Get Low (With Zedd)",221411483,13325
6,"Midnight (feat. Liam Payne)",217000453,16351
7,"Bedroom Floor",184169133,10046
8,"Stack It Up (feat. A Boogie Wit da Hoodie)",122501315,12054
9,"All I Want (For Christmas)",99335337,1812
10,"Naughty List (with Dixie)",70419737,986
11,"Strip That Down - Acoustic",63258197,2887
12,"Live Forever (With Cheat Codes)",58155579,3733
13,"First Time",42193463,1261
14,"Sunshine - From the Motion Picture “Ron's Gone Wrong”",30017440,6520
15,Teardrops,27921895,12609
16,Remember,27453595,8817
17,"Polaroid - Acoustic",25413989,1194
18,"Strip That Down - Nevada Remix",15929844,1146
19,"Depend On It",13405129,1774
20,Slow,13136892,2490
21,"Let It Snow, Let It Snow, Let It Snow",12868263,126
22,"Heart Meet Break",10734850,1901
23,"Home With You",10002806,1686
24,"Stack It Up - Acoustic",9655179,457
25,"Say It All",7586322,2356
26,"Tell Your Friends",7275726,1288
27,"You & I - Big Payno Remix",7220718,289
28,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6876286,427
29,Weekend,6806759,1156
30,"Hips Don't Lie",6729877,1200
31,"Both Ways",5801117,994
32,"Bedroom Floor - Cash Cash Remix",5513034,261
33,"Polaroid - R3HAB Remix",5290517,116
34,"Rude Hours",5177505,914
35,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4430115,175
36,"Midnight (feat. Liam Payne) (Rompasso Remix)",3712674,187
37,"Bedroom Floor - Acoustic",3647413,215
38,"Get Low - KUURO Remix",3016574,87
39,"Teardrops - Acoustic",2607032,1154
40,"Midnight (feat. Liam Payne) (Jack Wins Remix)",2148941,132
41,"Polaroid - CID & Jonas Blue Remix",1659234,35
42,"Bedroom Floor - NSG Remix",1487873,69
43,"Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1481685,91
44,"Polaroid - Zac Samuel Remix",1181083,60
45,"Midnight (feat. Liam Payne) (Vicetone Remix)",951002,156
46,"Live Forever (With Cheat Codes) - R3HAB Remix",803496,89
47,"Midnight - Sylvain Armand & Kiko Franco Remix",722992,59
48,"Sunshine - From the Motion Picture “Ron's Gone Wrong” / Acoustic",686655,204
49,"Sunshine - From the Motion Picture “Ron's Gone Wrong'' (Billen Ted Remix)",546650,104
50,"Bedroom Floor - London On Da Track Remix",542562,27
51,"Polaroid - HUGEL Remix",538470,31
52,"Polaroid - Nolan van Lith Remix",283339,18
53,"Live Forever (with Cheat Codes) - 99 Souls Remix",274266,34
54,"Live Forever (With Cheat Codes) - Mahalo Remix",259779,23
55,"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",214879,30
56,"I Don't Care - Payno Vs. Afterhrs Remix",198602,3
57,"Midnight (feat. Liam Payne) (Magnificence Remix)",189332,32
