Rank,"Song Title",Streams,Daily
1,"Strip That Down (feat. Quavo)",1114868436,125160
2,"For You (With Rita Ora)",555420434,111793
3,"Polaroid (With Jonas Blue & Lennon Stella)",447228522,43985
4,"Familiar (With J. Balvin)",298766050,21412
5,"Get Low (With Zedd)",221242549,12708
6,"Midnight (feat. Liam Payne)",216768619,15594
7,"Bedroom Floor",184000676,10651
8,"Stack It Up (feat. A Boogie Wit da Hoodie)",122315521,13500
9,"All I Want (For Christmas)",99305016,2118
10,"Naughty List (with Dixie)",70404709,1038
11,"Strip That Down - Acoustic",63213321,2951
12,"Live Forever (With Cheat Codes)",58112604,3660
13,"First Time",42173803,1319
14,"Sunshine - From the Motion Picture “Ron's Gone Wrong”",29926648,7652
15,Teardrops,27725589,13304
16,Remember,27321674,8983
17,"Polaroid - Acoustic",25394489,1259
18,"Strip That Down - Nevada Remix",15915092,849
19,"Depend On It",13375690,1888
20,Slow,13097983,2423
21,"Let It Snow, Let It Snow, Let It Snow",12866241,119
22,"Heart Meet Break",10706108,1588
23,"Home With You",9977324,1468
24,"Stack It Up - Acoustic",9648882,495
25,"Say It All",7551103,2439
26,"Tell Your Friends",7257194,1124
27,"You & I - Big Payno Remix",7216639,277
28,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6869459,439
29,Weekend,6789905,1021
30,"Hips Don't Lie",6713285,1000
31,"Both Ways",5786899,924
32,"Bedroom Floor - Cash Cash Remix",5509562,234
33,"Polaroid - R3HAB Remix",5288763,118
34,"Rude Hours",5164661,781
35,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4427294,187
36,"Midnight (feat. Liam Payne) (Rompasso Remix)",3710085,179
37,"Bedroom Floor - Acoustic",3643987,215
38,"Get Low - KUURO Remix",3015318,83
39,"Teardrops - Acoustic",2587855,1199
40,"Midnight (feat. Liam Payne) (Jack Wins Remix)",2147105,108
41,"Polaroid - CID & Jonas Blue Remix",1658571,53
42,"Bedroom Floor - NSG Remix",1486907,70
43,"Midnight (feat. Liam Payne) (Alesso & ESH Remix)",1480455,89
44,"Polaroid - Zac Samuel Remix",1179907,99
45,"Midnight (feat. Liam Payne) (Vicetone Remix)",948712,159
46,"Live Forever (With Cheat Codes) - R3HAB Remix",802243,76
47,"Midnight - Sylvain Armand & Kiko Franco Remix",722291,47
48,"Sunshine - From the Motion Picture “Ron's Gone Wrong” / Acoustic",683884,171
49,"Sunshine - From the Motion Picture “Ron's Gone Wrong'' (Billen Ted Remix)",545292,83
50,"Bedroom Floor - London On Da Track Remix",542064,26
51,"Polaroid - HUGEL Remix",537998,32
52,"Polaroid - Nolan van Lith Remix",283057,17
53,"Live Forever (with Cheat Codes) - 99 Souls Remix",273658,41
54,"Live Forever (With Cheat Codes) - Mahalo Remix",259313,26
55,"Live Forever (With Cheat Codes) - Dee Swan & Gregatron Remix",214453,21
56,"I Don't Care - Payno Vs. Afterhrs Remix",198548,5
57,"Midnight (feat. Liam Payne) (Magnificence Remix)",188935,27
