,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Back to You (feat. Bebe Rexha & Digital Farm Animals),605.876.968,32.662,,,,
2,* Just Hold On,535.587.492,21.512,,,,
3,Two of Us,184.587.235,13.620,,,,
4,Miss You,174.875.511,14.312,,,,
5,Always You,118.898.907,14.186,,,,
6,Just Like You,93.228.026,3.725,,,,
7,Defenceless,82.911.880,8.799,,,,
8,Kill My Mind,81.270.700,5.707,,,,
9,Walls,74.071.226,6.309,,,,
10,Habit,73.921.658,7.940,,,,
11,Only the Brave,73.461.916,6.967,,,,
12,Don't Let It Break Your Heart,68.653.139,8.869,,,,
13,We Made It,61.407.927,4.518,,,,
14,Too Young,59.282.746,6.991,,,,
15,Bigger Than Me,53.702.494,8.727,,,,
16,Don't Let It Break Your Heart - Single Edit,53.618.286,1.373,,,,
17,Written All Over Your Face,52.842.688,13.691,,,,
18,Out Of My System,49.784.684,9.568,,,,
19,Fearless,47.807.171,4.064,,,,
20,Perfect Now,45.220.410,3.657,,,,
21,Silver Tongues,38.611.624,9.783,,,,
22,Chicago,33.558.174,12.230,,,,
23,Holding On To Heartache,29.420.102,9.641,,,,
24,Lucky Again,29.296.617,9.199,,,,
25,Angels Fly,26.030.284,7.345,,,,
26,All This Time,24.024.623,5.458,,,,
27,The Greatest,23.648.272,5.177,,,,
28,Face The Music,20.889.963,4.619,,,,
29,Saturdays,20.567.874,5.078,,,,
30,Headline,20.078.755,4.349,,,,
31,That's The Way Love Goes,18.430.716,3.977,,,,
32,Common People,17.727.393,4.071,,,,
33,She Is Beauty We Are World Class,16.391.435,3.310,,,,
34,Two of Us - Acoustic,14.595.347,1.222,,,,
35,* Just Hold On - DVBBS Remix,12.532.889,287,,,,
36,High In California,11.573.717,3.677,,,,
37,Lemonade,11.218.442,35.286,,,,
38,Change,10.599.982,5.155,,,,
39,Miss You - Luca Schreiner Remix,5.729.162,197,,,,
40,Don't Let It Break Your Heart - Piano Edit,5.445.593,577,,,,
41,Palaces,3.343.681,26.566,,,,
42,Face The Music - Acoustic Demo,3.263.387,1.038,,,,
43,All This Time / She Is Beauty We Are World Class - Live From Munich 22 October 2023,1.970.938,1.372,,,,
44,The Greatest - Live From London 17 November 2023,1.875.635,920,,,,
45,Holding On To Heartache - Live From Barcelona 6 October 2023,1.661.510,928,,,,
46,Fearless - Track By Track,1.567.885,34,,,,
47,Silver Tongues - Live From Krakow 10 September 2023,1.462.424,838,,,,
48,Chicago - Live From Chicago 15 June 2023,1.456.024,745,,,,
49,Face The Music - Live From Nashville 18 July 2023,1.448.268,674,,,,
50,We Made It - Live From Manila 16 July 2022,1.399.010,766,,,,
51,Written All Over Your Face - Live From Budapest 15 September 2023,1.373.467,713,,,,
52,Out Of My System - Live From Brisbane 30 January 2024,1.363.417,747,,,,
53,Fearless - Live From Rio 27 May 2022,1.358.369,747,,,,
54,Bigger Than Me - Live From Vancouver 26 June 2023,1.335.010,666,,,,
55,Saturdays - Live From Paris 14 October 2023,1.258.636,680,,,,
56,Walls - Live From Buenos Aires 21 May 2022,1.236.378,713,,,,
57,Bigger Than Me - Live from Milan,1.212.611,257,,,,
58,Common People - Live From Sheffield 10 November 2023,1.154.918,570,,,,
59,Kill My Mind - Track By Track,669.092,44,,,,
60,Only the Brave - Track By Track,649.931,51,,,,
61,Defenceless - Track By Track,642.195,42,,,,
62,Don't Let It Break Your Heart - Track By Track,638.487,46,,,,
63,We Made It - Track By Track,565.332,35,,,,
64,Two of Us - Track By Track,563.419,42,,,,
65,Too Young - Track By Track,562.782,40,,,,
66,Perfect Now - Track By Track,531.329,39,,,,
67,Always You - Track By Track,518.733,43,,,,
68,Habit - Track By Track,517.357,35,,,,
69,Walls - Track By Track,505.850,42,,,,
