Rank,Song Title,Streams,Daily
1,Back to You (feat. Bebe Rexha & Digital Farm Animals),607605294,37775
2,* Just Hold On,536835197,26052
3,Two of Us,185357671,15998
4,Miss You,175693487,16705
5,Always You,119732195,17183
6,Just Like You,93444753,4230
7,Defenceless,83432408,10146
8,Kill My Mind,81623965,6966
9,Walls,74447876,7563
10,Habit,74377701,9196
11,Only the Brave,73862533,7304
12,Don't Let It Break Your Heart,69147505,9603
13,We Made It,61686401,5582
14,Too Young,59671661,6835
15,Bigger Than Me,54247593,9810
16,Written All Over Your Face,53808149,17905
17,Don't Let It Break Your Heart - Single Edit,53694867,1631
18,Out Of My System,50380172,11104
19,Fearless,48053225,4818
20,Perfect Now,45440943,4366
21,Silver Tongues,39201975,9786
22,Chicago,34514862,17728
23,Lucky Again,30066212,10734
24,Holding On To Heartache,30049042,11210
25,Angels Fly,26523985,9121
26,All This Time,24403548,6833
27,The Greatest,24059342,6853
28,Face The Music,21214158,6308
29,Saturdays,20984007,6557
30,Headline,20393638,5737
31,That's The Way Love Goes,18682338,4832
32,Common People,18012312,5378
33,She Is Beauty We Are World Class,16627114,4453
34,Back to You (feat. Bebe Rexha & Digital Farm Animals) - Digital Farm Animals and Louis Tomlinson Re,16221426,-
35,Lemonade,15219652,59570
36,Two of Us - Acoustic,14659187,1319
37,* Just Hold On - DVBBS Remix,12547273,345
38,High In California,11807667,3418
39,Change,10931232,6304
40,Palaces,7123241,51557
41,Imposter,5804083,100299
42,Miss You - Luca Schreiner Remix,5739735,223
43,Don't Let It Break Your Heart - Piano Edit,5475734,579
44,Dark To Light,3341572,60287
45,Face The Music - Acoustic Demo,3325500,1171
46,Sunflowers,3171393,57131
47,On Fire,2804841,46287
48,Sanity,2757753,50025
49,Lazy,2709134,46708
50,Last Night,2496317,39959
51,Jump The Gun,2387761,41713
52,Broken Bones,2379399,38173
53,Lucid,2258477,38094
54,All This Time / She Is Beauty We Are World Class - Live From Munich 22 October 2023,2054592,1374
55,The Greatest - Live From London 17 November 2023,1924164,784
56,Holding On To Heartache - Live From Barcelona 6 October 2023,1708663,696
57,Fearless - Track By Track,1569713,30
58,Silver Tongues - Live From Krakow 10 September 2023,1510668,905
59,Chicago - Live From Chicago 15 June 2023,1495428,604
60,Face The Music - Live From Nashville 18 July 2023,1485586,559
61,We Made It - Live From Manila 16 July 2022,1442263,745
62,Written All Over Your Face - Live From Budapest 15 September 2023,1416788,774
63,Out Of My System - Live From Brisbane 30 January 2024,1406799,752
64,Fearless - Live From Rio 27 May 2022,1393838,552
65,Bigger Than Me - Live From Vancouver 26 June 2023,1369896,526
66,Saturdays - Live From Paris 14 October 2023,1299132,811
67,Walls - Live From Buenos Aires 21 May 2022,1276346,649
68,Bigger Than Me - Live from Milan,1226008,247
69,Common People - Live From Sheffield 10 November 2023,1183247,490
70,Kill My Mind - Track By Track,671841,45
71,Only the Brave - Track By Track,652552,41
72,Defenceless - Track By Track,644396,38
73,Don't Let It Break Your Heart - Track By Track,641100,43
74,We Made It - Track By Track,567553,37
75,Two of Us - Track By Track,565862,40
76,Too Young - Track By Track,564857,34
77,Perfect Now - Track By Track,533494,41
78,Always You - Track By Track,521118,39
79,Habit - Track By Track,519579,38
80,Walls - Track By Track,508175,40
