"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Back to You (feat. Bebe Rexha & Digital Farm Animals)",608114194,36483,607858810,255384,36216,267
"Just Hold On",537185771,25451,,,,
"Two of Us",185575207,15609,185465939,109268,15466,143
"Miss You",175923816,16544,175808003,115813,16359,185
"Always You",119962766,16926,119844283,118483,16012,914
"Just Like You",93500066,3932,93472539,27527,3969,-37
Defenceless,83569582,9910,83500206,69376,9685,225
"Kill My Mind",81717759,6640,81671274,46485,6758,-118
Walls,74549960,7319,74498723,51237,7263,56
Habit,74500937,8996,74437965,62972,8609,387
"Only the Brave",73963645,7442,73911545,52100,7001,441
"Don't Let It Break Your Heart",69273817,9126,69209931,63886,8918,208
"We Made It",61760057,5293,61723003,37054,5228,65
"Too Young",59761625,6361,59717093,44532,6490,-129
"Bigger Than Me",54377709,9171,54313510,64199,9416,-245
"Written All Over Your Face",54040810,16098,53928123,112687,17139,-1041
"Don't Let It Break Your Heart - Single Edit",53717237,1615,53705929,11308,1580,35
"Out Of My System",50520685,9931,50451167,69518,10142,-211
Fearless,48118179,4656,48085582,32597,4622,34
"Perfect Now",45499032,4165,45469875,29157,4133,32
"Silver Tongues",39328867,9138,39264901,63966,8989,149
Chicago,34746343,15911,34634962,111381,17157,-1246
"Lucky Again",30203171,9901,30133859,69312,9663,238
"Holding On To Heartache",30198724,10604,30124492,74232,10778,-174
"Angels Fly",26643214,8506,26583670,59544,8526,-20
"All This Time",24490820,6097,24448141,42679,6370,-273
"The Greatest",24150958,6657,24104354,46604,6430,227
"Face The Music",21291945,5435,21253895,38050,5676,-241
Saturdays,21073150,6379,21028493,44657,6355,24
Headline,20471368,5566,20432400,38968,5537,29
"That's The Way Love Goes",18746606,4553,18714734,31872,4628,-75
"Common People",18081709,4979,18046856,34853,4934,45
"She Is Beauty We Are World Class",16685720,4086,16657118,28602,4286,-200
"Back to You (feat. Bebe Rexha & Digital Farm Animals) - Digital Farm Animals and Louis Tomlinson Re",16227274,428,16224275,2999,407,21
Lemonade,15896320,46097,15573640,322680,50569,-4472
"Two of Us - Acoustic",14677816,1332,14668489,9327,1328,4
"Just Hold On - DVBBS Remix",12551660,315,,,,
"High In California",11854861,3427,11830871,23990,3314,113
Change,11014754,5784,10974262,40492,6147,-363
Palaces,7681166,38283,7413185,267981,41420,-3137
Imposter,6787279,65626,6327897,459382,74830,-9204
"Miss You - Luca Schreiner Remix",5742774,212,5741285,1489,221,-9
"Don't Let It Break Your Heart - Piano Edit",5483685,584,5479592,4093,551,33
"Dark To Light",3953597,38640,3683113,270484,48791,-10151
Sunflowers,3751206,38174,3483982,267224,44655,-6481
"Face The Music - Acoustic Demo",3341348,1111,3333566,7782,1152,-41
"On Fire",3271089,30219,3059554,211535,36387,-6168
Sanity,3264882,33323,3031617,233265,39123,-5800
Lazy,3187645,31697,2965762,221883,36661,-4964
"Last Night",2907632,27002,2718617,189015,31757,-4755
"Jump The Gun",2818589,28874,2616468,202121,32672,-3798
"Broken Bones",2766797,26115,2583987,182810,29226,-3111
Lucid,2640487,25411,2462604,177883,29161,-3750
"All This Time / She Is Beauty We Are World Class - Live From Munich, 22 October 2023",2072702,1242,,,,
"The Greatest - Live From London, 17 November 2023",1935124,811,,,,
"Holding On To Heartache - Live From Barcelona, 6 October 2023",1719132,765,,,,
"Fearless - Track By Track",1570143,30,1569928,215,30,0
"Silver Tongues - Live From Krakow, 10 September 2023",1523363,871,,,,
"Chicago - Live From Chicago, 15 June 2023",1504306,648,,,,
"Face The Music - Live From Nashville, 18 July 2023",1493579,585,,,,
"We Made It - Live From Manila, 16 July 2022",1451956,675,,,,
"Written All Over Your Face - Live From Budapest, 15 September 2023",1427497,776,,,,
"Out Of My System - Live From Brisbane, 30 January 2024",1417122,743,,,,
"Fearless - Live From Rio, 27 May 2022",1402189,616,,,,
"Bigger Than Me - Live From Vancouver, 26 June 2023",1377529,551,,,,
"Saturdays - Live From Paris, 14 October 2023",1309609,746,,,,
"Walls - Live From Buenos Aires, 21 May 2022",1285787,664,,,,
"Bigger Than Me - Live from Milan",1229315,240,1227632,1683,232,8
"Common People - Live From Sheffield, 10 November 2023",1190408,502,,,,
"Kill My Mind - Track By Track",672462,44,672152,310,44,0
"Only the Brave - Track By Track",653200,50,652846,354,42,8
"Defenceless - Track By Track",644967,42,644668,299,38,4
"Don't Let It Break Your Heart - Track By Track",641749,45,641431,318,47,-2
"We Made It - Track By Track",568123,42,567824,299,38,4
"Two of Us - Track By Track",566490,49,566142,348,40,9
"Too Young - Track By Track",565300,32,565075,225,31,1
"Perfect Now - Track By Track",534051,38,533779,272,40,-2
"Always You - Track By Track",521655,41,521367,288,35,6
"Habit - Track By Track",520124,41,519837,287,36,5
"Walls - Track By Track",508686,38,508415,271,34,4
