Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
"Back to You (feat. Bebe Rexha & Digital Farm Animals)",608114194,36483,608114194,,,,
"Just Hold On",537185771,25451,537185771,,,,
"Two of Us",185575207,15609,185575207,,,,
"Miss You",175923816,16544,175923816,,,,
"Always You",119962766,16926,119962766,,,,
"Just Like You",93500066,3932,93500066,,,,
Defenceless,83569582,9910,83569582,,,,
"Kill My Mind",81717759,6640,81717759,,,,
Walls,74549960,7319,74549960,,,,
Habit,74500937,8996,74500937,,,,
"Only the Brave",73963645,7442,73963645,,,,
"Don't Let It Break Your Heart",69273817,9126,69273817,,,,
"We Made It",61760057,5293,61760057,,,,
"Too Young",59761625,6361,59761625,,,,
"Bigger Than Me",54377709,9171,54377709,,,,
"Written All Over Your Face",54040810,16098,54040810,,,,
"Don't Let It Break Your Heart - Single Edit",53717237,1615,53717237,,,,
"Out Of My System",50520685,9931,50520685,,,,
Fearless,48118179,4656,48118179,,,,
"Perfect Now",45499032,4165,45499032,,,,
"Silver Tongues",39328867,9138,39328867,,,,
Chicago,34746343,15911,34746343,,,,
"Lucky Again",30203171,9901,30203171,,,,
"Holding On To Heartache",30198724,10604,30198724,,,,
"Angels Fly",26643214,8506,26643214,,,,
"All This Time",24490820,6097,24490820,,,,
"The Greatest",24150958,6657,24150958,,,,
"Face The Music",21291945,5435,21291945,,,,
Saturdays,21073150,6379,21073150,,,,
Headline,20471368,5566,20471368,,,,
"That's The Way Love Goes",18746606,4553,18746606,,,,
"Common People",18081709,4979,18081709,,,,
"She Is Beauty We Are World Class",16685720,4086,16685720,,,,
"Back to You (feat. Bebe Rexha & Digital Farm Animals) - Digital Farm Animals and Louis Tomlinson Re",16227274,428,16227274,,,,
Lemonade,15896320,46097,15896320,,,,
"Two of Us - Acoustic",14677816,1332,14677816,,,,
"Just Hold On - DVBBS Remix",12551660,315,12551660,,,,
"High In California",11854861,3427,11854861,,,,
Change,11014754,5784,11014754,,,,
Palaces,7681166,38283,7681166,,,,
Imposter,6787279,65626,6787279,,,,
"Miss You - Luca Schreiner Remix",5742774,212,5742774,,,,
"Don't Let It Break Your Heart - Piano Edit",5483685,584,5483685,,,,
"Dark To Light",3953597,38640,3953597,,,,
Sunflowers,3751206,38174,3751206,,,,
"Face The Music - Acoustic Demo",3341348,1111,3341348,,,,
"On Fire",3271089,30219,3271089,,,,
Sanity,3264882,33323,3264882,,,,
Lazy,3187645,31697,3187645,,,,
"Last Night",2907632,27002,2907632,,,,
"Jump The Gun",2818589,28874,2818589,,,,
"Broken Bones",2766797,26115,2766797,,,,
Lucid,2640487,25411,2640487,,,,
"All This Time / She Is Beauty We Are World Class - Live From Munich, 22 October 2023",2072702,1242,2072702,,,,
"The Greatest - Live From London, 17 November 2023",1935124,811,1935124,,,,
"Holding On To Heartache - Live From Barcelona, 6 October 2023",1719132,765,1719132,,,,
"Fearless - Track By Track",1570143,30,1570143,,,,
"Silver Tongues - Live From Krakow, 10 September 2023",1523363,871,1523363,,,,
"Chicago - Live From Chicago, 15 June 2023",1504306,648,1504306,,,,
"Face The Music - Live From Nashville, 18 July 2023",1493579,585,1493579,,,,
"We Made It - Live From Manila, 16 July 2022",1451956,675,1451956,,,,
"Written All Over Your Face - Live From Budapest, 15 September 2023",1427497,776,1427497,,,,
"Out Of My System - Live From Brisbane, 30 January 2024",1417122,743,1417122,,,,
"Fearless - Live From Rio, 27 May 2022",1402189,616,1402189,,,,
"Bigger Than Me - Live From Vancouver, 26 June 2023",1377529,551,1377529,,,,
"Saturdays - Live From Paris, 14 October 2023",1309609,746,1309609,,,,
"Walls - Live From Buenos Aires, 21 May 2022",1285787,664,1285787,,,,
"Bigger Than Me - Live from Milan",1229315,240,1229315,,,,
"Common People - Live From Sheffield, 10 November 2023",1190408,502,1190408,,,,
"Kill My Mind - Track By Track",672462,44,672462,,,,
"Only the Brave - Track By Track",653200,50,653200,,,,
"Defenceless - Track By Track",644967,42,644967,,,,
"Don't Let It Break Your Heart - Track By Track",641749,45,641749,,,,
"We Made It - Track By Track",568123,42,568123,,,,
"Two of Us - Track By Track",566490,49,566490,,,,
"Too Young - Track By Track",565300,32,565300,,,,
"Perfect Now - Track By Track",534051,38,534051,,,,
"Always You - Track By Track",521655,41,521655,,,,
"Habit - Track By Track",520124,41,520124,,,,
"Walls - Track By Track",508686,38,508686,,,,
