Rank,"Song Title",Streams,Daily
1,"Back to You (feat. Bebe Rexha & Digital Farm Animals)",609161099,39423
2,"Just Hold On",537950214,32936
3,"Two of Us",186014361,16478
4,"Miss You",176466650,28865
5,"Always You",120436593,18416
6,"Just Like You",93620672,5055
7,Defenceless,83934617,22208
8,"Kill My Mind",81963731,14241
9,Walls,74763584,8620
10,Habit,74759728,10630
11,"Only the Brave",74179127,9209
12,"Don't Let It Break Your Heart",69540090,10889
13,"We Made It",61923023,6866
14,"Too Young",59947218,7211
15,"Written All Over Your Face",54846177,36536
16,"Bigger Than Me",54709510,19749
17,"Don't Let It Break Your Heart - Single Edit",53722961,1611
18,"Out Of My System",50884274,21129
19,Fearless,48258076,5705
20,"Perfect Now",45624397,5153
21,"Silver Tongues",39642312,16895
22,Chicago,35333913,22137
23,"Lucky Again",30545148,13306
24,"Holding On To Heartache",30523422,13925
25,"Angels Fly",26965400,19495
26,"All This Time",24684422,7760
27,"The Greatest",24347106,7993
28,"Face The Music",21509145,12790
29,Saturdays,21313629,15557
30,Headline,20633175,6683
31,"That's The Way Love Goes",18886811,5755
32,"Common People",18231225,6284
33,Lemonade,17309785,57335
34,"She Is Beauty We Are World Class",16809957,5096
35,"Back to You (feat. Bebe Rexha & Digital Farm Animals) - Digital Farm Animals and Louis Tomlinson Re",16240245,479
36,"Two of Us - Acoustic",14715803,1305
37,"Just Hold On - DVBBS Remix",12560938,333
38,"High In California",11957557,4598
39,Change,11184823,7069
40,Palaces,8806298,44974
41,Imposter,8600883,64301
42,"Miss You - Luca Schreiner Remix",5748979,248
43,"Don't Let It Break Your Heart - Piano Edit",5499338,610
44,"Dark To Light",5042470,45072
45,Sunflowers,4940784,47125
46,"On Fire",4309692,42920
47,Sanity,4275355,41438
48,Lazy,4177051,41109
49,"Last Night",3717193,30197
50,"Jump The Gun",3702471,37060
51,"Broken Bones",3564330,34686
52,Lucid,3425064,33908
53,"Face The Music - Acoustic Demo",3375292,1477
54,"All This Time / She Is Beauty We Are World Class - Live From Munich, 22 October 2023",2114068,2040
55,"The Greatest - Live From London, 17 November 2023",1956926,895
56,"Holding On To Heartache - Live From Barcelona, 6 October 2023",1741753,1022
57,"Fearless - Track By Track",1571870,34
58,"Silver Tongues - Live From Krakow, 10 September 2023",1548633,1174
59,"Chicago - Live From Chicago, 15 June 2023",1522747,780
60,"Face The Music - Live From Nashville, 18 July 2023",1510384,745
61,"We Made It - Live From Manila, 16 July 2022",1473326,1013
62,"Written All Over Your Face - Live From Budapest, 15 September 2023",1451515,1162
63,"Out Of My System - Live From Brisbane, 30 January 2024",1439565,1063
64,"Fearless - Live From Rio, 27 May 2022",1419477,713
65,"Bigger Than Me - Live From Vancouver, 26 June 2023",1394977,841
66,"Saturdays - Live From Paris, 14 October 2023",1331208,967
67,"Walls - Live From Buenos Aires, 21 May 2022",1304672,794
68,"Bigger Than Me - Live from Milan",1236802,326
69,"Common People - Live From Sheffield, 10 November 2023",1204921,601
70,"Kill My Mind - Track By Track",674590,51
71,"Only the Brave - Track By Track",655272,49
72,"Defenceless - Track By Track",646022,43
73,"Don't Let It Break Your Heart - Track By Track",642976,43
74,"We Made It - Track By Track",570033,40
75,"Two of Us - Track By Track",567713,49
76,"Too Young - Track By Track",566247,39
77,"Perfect Now - Track By Track",535115,42
78,"Always You - Track By Track",523613,40
79,"Habit - Track By Track",521118,37
80,"Walls - Track By Track",509731,42
