Rank,"Song Title",Streams,Daily
1,"Back to You (feat Bebe Rexha Digital Farm Animals)",609699335,38654
2,"Just Hold On",538403494,32158
3,"Two of Us",186204543,13280
4,"Miss You",176855336,27395
5,"Always You",120667057,16491
6,"Just Like You",93685186,4609
7,Defenceless,84258441,22451
8,"Kill My Mind",82181975,15519
9,Habit,74894606,9667
10,Walls,74869658,7607
11,"Only the Brave",74294285,8080
12,"Dont Let It Break Your Heart",69678395,9960
13,"We Made It",62036330,7786
14,"Too Young",60039964,6679
15,"Written All Over Your Face",55273899,29394
16,"Bigger Than Me",55000941,20695
17,"Dont Let It Break Your Heart - Single Edit",53744750,1552
18,"Out Of My System",51188788,20636
19,Fearless,48330291,5153
20,"Perfect Now",45689297,4707
21,"Silver Tongues",39886923,17277
22,Chicago,35602111,18944
23,"Holding On To Heartache",30674231,10514
24,"Lucky Again",30672087,9152
25,"Angels Fly",27250779,19576
26,"All This Time",24776165,6590
27,"The Greatest",24443919,6744
28,"Face The Music",21717108,14663
29,Saturdays,21551032,16349
30,Headline,20717204,6055
31,"Thats The Way Love Goes",18958828,5259
32,"Common People",18309288,5611
33,Lemonade,18025791,50155
34,"She Is Beauty We Are World Class",16875783,4731
35,"Back to You (feat Bebe Rexha Digital Farm Animals) - Digital Farm Animals and Louis Tomlinson Re",16246312,437
36,"Two of Us - Acoustic",14733502,1299
37,"Just Hold On - DVBBS Remix",12565631,327
38,"High In California",12013027,3980
39,Change,11276703,6737
40,Imposter,9398611,56489
41,Palaces,9362527,39111
42,"Miss You - Luca Schreiner Remix",5752014,221
43,"Dark To Light",5591726,38333
44,Sunflowers,5519187,40036
45,"Dont Let It Break Your Heart - Piano Edit",5507773,588
46,"On Fire",4836938,36152
47,Sanity,4775054,34410
48,Lazy,4677671,34541
49,"Jump The Gun",4166988,32146
50,"Last Night",4039085,22652
51,"Broken Bones",4003145,29945
52,Lucid,3876831,31423
53,"Face The Music - Acoustic Demo",3393125,1265
54,"All This Time She Is Beauty We Are World Class - Live From Munich 22 October 2023",2137244,1570
55,"The Greatest - Live From London 17 November 2023",1968095,763
56,"Holding On To Heartache - Live From Barcelona 6 October 2023",1754357,894
57,"Fearless - Track By Track",1572317,31
58,"Silver Tongues - Live From Krakow 10 September 2023",1562258,971
59,"Chicago - Live From Chicago 15 June 2023",1532287,674
60,"Face The Music - Live From Nashville 18 July 2023",1519823,652
61,"We Made It - Live From Manila 16 July 2022",1485907,887
62,"Written All Over Your Face - Live From Budapest 15 September 2023",1464400,863
63,"Out Of My System - Live From Brisbane 30 January 2024",1451471,843
64,"Fearless - Live From Rio 27 May 2022",1428289,622
65,"Bigger Than Me - Live From Vancouver 26 June 2023",1404327,639
66,"Saturdays - Live From Paris 14 October 2023",1342682,792
67,"Walls - Live From Buenos Aires 21 May 2022",1314521,684
68,"Bigger Than Me - Live from Milan",1241642,330
69,"Common People - Live From Sheffield 10 November 2023",1212370,527
70,"Kill My Mind - Track By Track",675274,49
71,"Only the Brave - Track By Track",655934,43
72,"Defenceless - Track By Track",646559,37
73,"Dont Let It Break Your Heart - Track By Track",643609,44
74,"We Made It - Track By Track",570568,36
75,"Two of Us - Track By Track",568279,40
76,"Too Young - Track By Track",566746,34
77,"Perfect Now - Track By Track",535649,36
78,"Always You - Track By Track",524147,37
79,"Habit - Track By Track",521614,35
80,"Walls - Track By Track",510282,37
