Rank,"Song Title",Streams,Daily
1,"Back to You (feat. Bebe Rexha & Digital Farm Animals)",608631687,37137
2,"Just Hold On",537542746,25709
3,"Two of Us",185791123,15521
4,"Miss You",176150104,16064
5,"Always You",120194815,16510
6,"Just Like You",93555841,4027
7,Defenceless,83706043,9943
8,"Kill My Mind",81812612,6867
9,Walls,74649753,7285
10,Habit,74621663,8641
11,"Only the Brave",74062531,7172
12,"Don't Let It Break Your Heart",69399101,9028
13,"We Made It",61834027,5354
14,"Too Young",59851012,6552
15,"Bigger Than Me",54504709,9046
16,"Written All Over Your Face",54407908,33093
17,"Don't Let It Break Your Heart - Single Edit",53700811,0
18,"Out Of My System",50662600,10374
19,Fearless,48183708,4755
20,"Perfect Now",45557288,4269
21,"Silver Tongues",39455655,9178
22,Chicago,35041898,24539
23,"Lucky Again",30368472,12541
24,"Holding On To Heartache",30344486,10457
25,"Angels Fly",26765373,8728
26,"All This Time",24583068,6699
27,"The Greatest",24243590,6790
28,"Face The Music",21375752,6164
29,Saturdays,21159666,6132
30,Headline,20546638,5570
31,"That's The Way Love Goes",18812643,4866
32,"Common People",18151070,5102
33,"She Is Beauty We Are World Class",16743875,4285
34,Lemonade,16579576,50488
35,"Back to You (feat. Bebe Rexha & Digital Farm Animals) - Digital Farm Animals and Louis Tomlinson Re",16233768,458
36,"Two of Us - Acoustic",14697564,1614
37,"Just Hold On - DVBBS Remix",12556321,322
38,"High In California",11899979,3235
39,Change,11093497,5641
40,Palaces,8228494,40508
41,Imposter,7720736,67136
42,"Miss You - Luca Schreiner Remix",5745659,208
43,"Don't Let It Break Your Heart - Piano Edit",5491095,0
44,"Dark To Light",4477933,38106
45,Sunflowers,4338686,45308
46,"On Fire",3770364,38541
47,Sanity,3749877,36835
48,Lazy,3666941,36744
49,"Face The Music - Acoustic Demo",3356722,1128
50,"Last Night",3309489,30622
51,"Jump The Gun",3238615,31394
52,"Broken Bones",3140971,28372
53,Lucid,3009140,27825
54,"All This Time / She Is Beauty We Are World Class - Live From Munich, 22 October 2023",2089826,1241
55,"The Greatest - Live From London, 17 November 2023",1945152,700
56,"Holding On To Heartache - Live From Barcelona, 6 October 2023",1729044,707
57,"Fearless - Track By Track",1571002,39
58,"Silver Tongues - Live From Krakow, 10 September 2023",1534197,787
59,"Chicago - Live From Chicago, 15 June 2023",1512642,589
60,"Face The Music - Live From Nashville, 18 July 2023",1500976,521
61,"We Made It - Live From Manila, 16 July 2022",1460814,664
62,"Written All Over Your Face - Live From Budapest, 15 September 2023",1437693,728
63,"Out Of My System - Live From Brisbane, 30 January 2024",1426797,709
64,"Fearless - Live From Rio, 27 May 2022",1410072,565
65,"Bigger Than Me - Live From Vancouver, 26 June 2023",1384820,519
66,"Saturdays - Live From Paris, 14 October 2023",1319222,709
67,"Walls - Live From Buenos Aires, 21 May 2022",1294640,625
68,"Bigger Than Me - Live from Milan",1232658,235
69,"Common People - Live From Sheffield, 10 November 2023",1196937,465
70,"Kill My Mind - Track By Track",673500,52
71,"Only the Brave - Track By Track",654213,51
72,"Defenceless - Track By Track",645456,31
73,"Don't Let It Break Your Heart - Track By Track",642339,0
74,"We Made It - Track By Track",569074,47
75,"Two of Us - Track By Track",567054,38
76,"Too Young - Track By Track",565710,26
77,"Perfect Now - Track By Track",534537,35
78,"Always You - Track By Track",522631,48
79,"Habit - Track By Track",520597,31
80,"Walls - Track By Track",509156,32
