Rank,"Song Title",Streams,Daily
1,Stargazing,1089445229,763907
2,"Nice To Meet You",347974958,351004
3,Solo,210329115,78858
4,"My Home",157835427,106805
5,"Wait For You",112198875,132130
6,"Blink Twice",87812453,108524
7,"Sweet Love",59151392,46205
8,"Stay (If You Wanna Dance)",53015183,345035
9,"Sweater Weather",43817285,16541
10,River,41821081,17221
11,Gold,39794427,66291
12,Whisper,32159638,18950
13,"Betting on Us",24460405,9170
14,"Stargazing - Moonlight Version",24254537,20862
15,"Nice To Meet You (feat. Lainey Wilson)",23268779,24880
16,"Drive Safe",21071899,266217
17,Behind,20728946,10379
18,Waste,15013933,11663
19,"My First Heartbreak",10983567,9111
20,3am,10818091,12737
21,"My Home - Acoustic",9937849,3385
22,"Sweet Love - Acoustic",9882037,11977
23,"Memories (I Don't Have)",9843682,4727
24,"Little By Little",7758309,7499
25,Dreamers,4545054,7122
26,"Made For Me",4292945,5845
27,"Solo - Acoustic",3552999,984
28,"Solo - Piano Version",3300742,862
29,"Someone New",2496881,5635
30,"Nice To Meet You - Mistletoe Version",2306894,689
31,"Stargazing - Acoustic",2283464,3821
32,"All My Life",2260904,5196
33,"Nice To Meet You - Acoustic",1992150,1510
34,"BIRDS OF A FEATHER - Acoustic",1895794,4313
35,"Stargazing - Live from Manchester",1548834,789
36,"Betting on Us - Acoustic",1546657,630
37,"Nice To Meet You (feat. Myles Smith) - Sped Up",1113895,2752
38,"River - Acoustic",1103880,415
39,"Nice To Meet You - Live from Chicago",953163,904
40,"Gold - Acoustic",947757,2005
41,"Behind - Acoustic",724068,296
42,"Nice To Meet You (feat. Myles Smith) - Slowed Down",204429,584
43,"Stargazing - Live at Eventim Apollo",177167,712
