Rank,"Song Title",Streams,Daily
1,Stargazing,1085323341,782835
2,"Nice To Meet You",346044378,365123
3,Solo,209897266,86202
4,"My Home",157258825,109668
5,"Wait For You",111507194,127375
6,"Blink Twice",87182674,128328
7,"Sweet Love",58914188,46126
8,"Stay (If You Wanna Dance)",51071565,379073
9,"Sweater Weather",43725631,18711
10,River,41724758,20307
11,Gold,39415955,76852
12,Whisper,32057913,23478
13,"Betting on Us",24412578,9867
14,"Stargazing - Moonlight Version",24151471,20274
15,"Nice To Meet You (feat. Lainey Wilson)",23118868,29201
16,Behind,20666939,12304
17,"Drive Safe",19463577,320372
18,Waste,14948023,14337
19,"My First Heartbreak",10933568,9990
20,3am,10752950,12636
21,"My Home - Acoustic",9919467,3854
22,"Memories (I Don't Have)",9819404,4634
23,"Sweet Love - Acoustic",9816152,12114
24,"Little By Little",7719537,7555
25,Dreamers,4506828,8769
26,"Made For Me",4264870,5247
27,"Solo - Acoustic",3547888,1091
28,"Solo - Piano Version",3296044,963
29,"Someone New",2468955,5053
30,"Nice To Meet You - Mistletoe Version",2302811,862
31,"Stargazing - Acoustic",2261606,5969
32,"All My Life",2231072,5492
33,"Nice To Meet You - Acoustic",1983628,1724
34,"BIRDS OF A FEATHER - Acoustic",1872624,4865
35,"Stargazing - Live from Manchester",1543767,1064
36,"Betting on Us - Acoustic",1542831,1646
37,"Nice To Meet You (feat. Myles Smith) - Sped Up",1102887,2949
38,"River - Acoustic",1101462,544
39,"Nice To Meet You - Live from Chicago",948654,1006
40,"Gold - Acoustic",935330,2413
41,"Behind - Acoustic",722458,351
42,"Nice To Meet You (feat. Myles Smith) - Slowed Down",202092,641
43,"Stargazing - Live at Eventim Apollo",172863,767
