Rank,"Song Title",Streams,Daily
1,Stargazing,1081982663,843618
2,"Nice To Meet You",344595609,371106
3,Solo,209562114,90829
4,"My Home",156832782,113514
5,"Wait For You",110974643,138303
6,"Blink Twice",86695239,123282
7,"Sweet Love",58735518,47140
8,"Stay (If You Wanna Dance)",49555060,373145
9,"Sweater Weather",43653690,18402
10,River,41647682,18836
11,Gold,39138950,81283
12,Whisper,31980993,19610
13,"Betting on Us",24375361,9539
14,"Stargazing - Moonlight Version",24068223,22142
15,"Nice To Meet You (feat. Lainey Wilson)",23013382,28395
16,Behind,20622334,14061
17,"Drive Safe",18252508,375287
18,Waste,14896870,12722
19,"My First Heartbreak",10896673,11220
20,3am,10707993,12113
21,"My Home - Acoustic",9904476,3997
22,"Memories (I Don't Have)",9802402,4771
23,"Sweet Love - Acoustic",9769544,13417
24,"Little By Little",7691426,8615
25,Dreamers,4477102,7503
26,"Made For Me",4244344,7052
27,"Solo - Acoustic",3543763,1113
28,"Solo - Piano Version",3292302,1243
29,"Someone New",2450965,5209
30,"Nice To Meet You - Mistletoe Version",2299614,909
31,"Stargazing - Acoustic",2243464,4593
32,"All My Life",2210113,5061
33,"Nice To Meet You - Acoustic",1976795,1906
34,"BIRDS OF A FEATHER - Acoustic",1855494,4274
35,"Stargazing - Live from Manchester",1540246,1151
36,"Betting on Us - Acoustic",1538826,922
37,"River - Acoustic",1099565,893
38,"Nice To Meet You (feat. Myles Smith) - Sped Up",1091090,2616
39,"Nice To Meet You - Live from Chicago",944730,999
40,"Gold - Acoustic",926003,2813
41,"Behind - Acoustic",721235,364
42,"Nice To Meet You (feat. Myles Smith) - Slowed Down",199528,553
43,"Stargazing - Live at Eventim Apollo",169848,850
