,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,This Town,1.175.675.503,330.739,,,,
2,Slow Hands,1.061.266.263,119.741,,,,
3,* What A Time,873.791.277,159.374,,,,
4,Too Much To Ask,529.258.066,42.044,,,,
5,Nice To Meet Ya,369.663.687,35.039,,,,
6,* Moral of the Story (feat. Niall Horan) (Bonus Track),345.802.718,47.784,,,,
7,Put A Little Love On Me,320.740.762,53.086,,,,
8,Heaven,306.488.194,80.480,,,,
9,Black And White,295.870.540,33.227,,,,
10,* Our Song,272.764.043,42.577,,,,
11,No Judgement,206.517.515,14.951,,,,
12,Seeing Blind,177.763.710,17.246,,,,
13,Flicker,159.433.261,22.315,,,,
14,On The Loose,116.576.176,15.793,,,,
15,Meltdown,91.617.295,15.964,,,,
16,Still,86.314.216,23.677,,,,
17,Heartbreak Weather,80.608.367,19.731,,,,
18,Slow Hands - Acoustic,76.574.941,7.554,,,,
19,Fool's Gold - Recorded At RAK Studios London,67.337.240,6.827,,,,
20,Paper Houses,63.003.876,8.035,,,,
21,Small Talk,62.358.427,16.825,,,,
22,Mirrors,54.888.314,8.430,,,,
23,Everywhere,52.559.859,11.035,,,,
24,The Show,48.128.969,16.348,,,,
25,Too Much To Ask - Acoustic,43.041.466,4.219,,,,
26,"Finally Free - From ""Smallfoot""",42.096.183,4.661,,,,
27,Dear Patience,41.878.934,6.870,,,,
28,Since We're Alone,41.872.865,7.452,,,,
29,Fire Away,38.600.837,5.560,,,,
30,Cross Your Mind,38.221.160,9.380,,,,
31,Everywhere (BBC Children In Need),37.457.147,5.309,,,,
32,On My Own,36.927.776,4.837,,,,
33,Arms Of A Stranger,34.527.472,6.118,,,,
34,You And Me,34.427.621,4.299,,,,
35,Must Be Love,33.030.035,15.654,,,,
36,San Francisco,31.539.607,6.707,,,,
37,The Tide,31.521.841,3.682,,,,
38,Bend The Rules,31.413.950,5.358,,,,
39,New Angel,29.296.091,5.423,,,,
40,You Could Start A Cult (with Lizzy McAlpine),25.210.885,16.143,,,,
41,If You Leave Me,24.785.501,7.961,,,,
42,Science,23.053.781,9.202,,,,
43,Lover - Recorded at Air Studios London,22.716.662,3.461,,,,
44,This Town - Tiёsto Remix,21.924.827,704,,,,
45,You Could Start A Cult,21.630.995,7.021,,,,
46,Never Grow Up,21.556.959,7.821,,,,
47,Save My Life,20.332.054,7.531,,,,
48,On A Night Like Tonight,19.910.934,5.972,,,,
49,Nice To Meet Ya - Diplo Remix,17.181.526,1.067,,,,
50,So Long feat. The RTÉ Concert Orchestra - Live,14.473.387,2.496,,,,
51,So Long - Live,14.466.603,2.535,,,,
52,Slow Hands - Basic Tape Remix,14.310.139,892,,,,
53,Black And White - Stripped,13.691.379,2.605,,,,
54,Heaven - Acoustic,10.603.311,2.445,,,,
55,On The Loose - Alternate Version,10.345.930,788,,,,
56,Something In The Orange - Live From Spotify Studios,10.137.440,6.916,,,,
57,This Town - Live 1 Mic 1 Take,9.883.079,771,,,,
58,Flicker feat. The RTÉ Concert Orchestra - Live,8.099.068,1.298,,,,
59,Flicker - Live,8.095.602,1.376,,,,
60,This Town feat. The RTÉ Concert Orchestra - Live,7.943.414,1.076,,,,
61,This Town - Live,7.940.718,1.024,,,,
62,* Our Song - Acoustic,7.422.455,3.193,,,,
63,Too Much To Ask - Recorded At RAK Studios London,6.762.280,334,,,,
64,Paper Houses feat. The RTÉ Concert Orchestra - Live,6.716.941,600,,,,
65,Paper Houses - Live,6.715.308,625,,,,
66,On The Loose - Basic Tape Remix,6.696.115,245,,,,
