Rank,Song Title,Streams,Daily
1,This Town,1186557065,277374
2,Slow Hands,1065571010,112597
3,* What A Time,879321860,145095
4,Too Much To Ask,530852708,35510
5,Nice To Meet Ya,370918540,29732
6,* Moral of the Story (feat. Niall Horan) (Bonus Track),347364084,40038
7,Put A Little Love On Me,322540784,42058
8,Heaven,309293182,65676
9,Black And White,297084672,33182
10,* Our Song,274296296,37851
11,No Judgement,207041561,11673
12,Seeing Blind,178471950,17079
13,Flicker,160257008,18988
14,On The Loose,117174130,13361
15,Meltdown,92266802,14317
16,Still,87179681,19692
17,Heartbreak Weather,81405881,17624
18,Slow Hands - Acoustic,76829107,5577
19,Fool's Gold - Recorded At RAK Studios London,67574349,5873
20,Paper Houses,63297346,6693
21,Small Talk,63142046,16077
22,Mirrors,55241801,7443
23,Everywhere,53036461,12739
24,The Show,48792924,14876
25,Too Much To Ask - Acoustic,43183207,3040
26,"Finally Free - From ""Smallfoot""",42270024,4529
27,Dear Patience,42167598,6169
28,Since We're Alone,42143586,5917
29,Fire Away,38796817,4573
30,Cross Your Mind,38590352,8928
31,Everywhere (BBC Children In Need),37641727,4074
32,On My Own,37111966,3977
33,Arms Of A Stranger,34780002,5135
34,You And Me,34588212,3420
35,Must Be Love,33800965,17795
36,San Francisco,31761527,5560
37,The Tide,31660030,2967
38,Bend The Rules,31619532,4728
39,New Angel,29530955,5487
40,You Could Start A Cult (with Lizzy McAlpine),25705632,11300
41,If You Leave Me,25113102,6803
42,Science,23370115,7383
43,Lover - Recorded at Air Studios London,22830032,2823
44,This Town - Tiёsto Remix,21948551,565
45,You Could Start A Cult,21865195,5554
46,Never Grow Up,21837653,6827
47,Save My Life,20632037,6653
48,On A Night Like Tonight,20134419,4564
49,Nice To Meet Ya - Diplo Remix,17218547,800
50,So Long feat. The RTÉ Concert Orchestra - Live,14558790,2063
51,So Long - Live,14556727,2658
52,Slow Hands - Basic Tape Remix,14337498,649
53,Black And White - Stripped,13781172,2211
54,Heaven - Acoustic,10681179,1842
55,On The Loose - Alternate Version,10370947,610
56,Something In The Orange - Live From Spotify Studios,10353407,5187
57,This Town - Live 1 Mic 1 Take,9912461,680
58,Flicker feat. The RTÉ Concert Orchestra - Live,8136767,800
59,Flicker - Live,8135967,916
60,This Town feat. The RTÉ Concert Orchestra - Live,7974975,762
61,This Town - Live,7974213,875
62,* Our Song - Acoustic,7536135,3679
63,Too Much To Ask - Recorded At RAK Studios London,6775748,316
64,Paper Houses feat. The RTÉ Concert Orchestra - Live,6737622,547
65,Paper Houses - Live,6737075,608
66,On The Loose - Basic Tape Remix,6704498,178
67,* Drive Safe,6654967,465343
68,The Tide feat. The RTÉ Concert Orchestra - Live,5983160,434
69,The Tide - Live,5982726,528
70,The Show (with John Legend),5755871,1672
71,You And Me feat. The RTÉ Concert Orchestra - Live,5385875,356
72,You And Me - Live,5385519,435
73,On The Loose - Acoustic,5357380,417
74,* Old Tricks,5295918,17210
75,No Judgement - Acoustic,5026161,691
76,Too Much To Ask - Cedric Gervais Remix,4910719,112
77,If You Leave Me / Everybody Wants To Rule The World - Live From Electric Picnic,4441953,1804
78,* Our Song - Luca Schreiner Remix,3760322,218
79,Nice To Meet Ya - Stripped,3642709,614
80,Dress,3293312,3621
81,Meltdown - Acoustic,3280037,740
82,Nothing,3037078,4750
83,You Could Start A Cult - Live from Spotify Studios,2813622,1006
84,Too Much To Ask feat. The RTÉ Concert Orchestra - Live,2752756,372
85,Fire Away feat. The RTÉ Concert Orchestra - Live,2724159,393
86,No Judgement - Steve Void Remix,2422838,75
87,Slow Hands - Jay Pryor Remix,2387543,87
88,Seeing Blind feat. The RTÉ Concert Orchestra - Live,2352337,276
89,This Town - Cheat Codes Remix,2181418,54
90,No Judgement - Recorded Live at Air Studios London,1931498,507
91,Small Talk - Live From Madison Square Garden,1909513,983
92,Black And White - Oliver Nelson Remix,1814419,95
93,On The Loose - slenderbodies Remix,1754195,56
94,Science - Live From Spotify Studios,1535220,594
95,This Town - GOLDHOUSE Remix,1517378,48
96,Heaven - Live From Madison Square Garden,1437887,674
97,Too Much To Ask - TRU Concept Remix,1279317,205
98,This Town - Live From Madison Square Garden,1134566,669
99,This Town - Live from Spotify Studios,1105746,387
100,Meltdown - Stripped,1056887,393
101,Still - Live From Madison Square Garden,995725,610
102,This Town - Nikö Blank Remix,987028,76
103,* Our Song - Just Kiddin Remix,900520,74
104,This Town - Cabo San Remix,898411,34
105,Slow Hands - Live From Madison Square Garden,847116,506
106,Heaven - Live from Spotify Studios,839414,277
107,Black And White - Live From Madison Square Garden,812757,476
108,Heaven - Live From Electric Picnic,802347,263
109,On A Night Like Tonight - Live From Madison Square Garden,801369,438
110,Small Talk - Live at the Royal Albert Hall,788710,575
111,Science - Live From Madison Square Garden,770957,469
112,If You Leave Me - Live From Madison Square Garden,752514,403
113,San Francisco - Live From Madison Square Garden,737957,473
114,The Show - Live from Spotify Studios,735069,251
115,* Our Song - Moka Nola Remix,725328,41
116,Save My Life - Live from Electric Picnic,715862,238
117,On A Night Like Tonight - Live,696598,282
118,Slow Hands - Live from Spotify Studios,641185,210
119,Black And White - Live from Spotify Studios,639430,243
120,Nice To Meet Ya - Live From Łódź,631130,339
121,Flicker - Live from Spotify Studios,613137,252
122,On A Night Like Tonight - Live from Spotify Studios,553891,207
123,Heartbreak Weather - Live From Dublin,516024,327
124,Put A Little Love On Me - Live From Paris,507505,315
125,On The Loose - Live From Dusseldorf,489529,301
126,Cross Your Mind - Live From Milan,483420,309
127,Meltdown - Live from Spotify Studios,470715,185
128,You Could Start A Cult - Live From Tokyo,448535,278
129,Dear Patience - Live at the Royal Albert Hall,446186,508
130,Put A Little Love On Me - Live from Vevo,407532,482
131,Flicker - Live From London,389635,301
132,Dear Patience - Live From Melbourne,375983,300
133,Save My Life - Live From Tampa,362057,278
134,Paper Houses - Live From Oslo,352645,291
