Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
﻿,"Song Title",Streams,Daily,,,,
1,"This Town",1.187.154.894,301.185,,,,
2,"Slow Hands",1.065.829.277,133.381,,,,
3,"* What A Time",879.651.417,172.631,,,,
4,"Too Much To Ask",530.942.426,47.412,,,,
5,"Nice To Meet Ya",370.990.944,38.143,,,,
6,"* Moral of the Story (feat. Niall Horan) (Bonus Track)",347.455.355,45.432,,,,
7,"Put A Little Love On Me",322.639.636,51.524,,,,
8,Heaven,309.453.896,82.300,,,,
9,"Black And White",297.158.147,37.952,,,,
10,"* Our Song",274.387.065,48.064,,,,
11,"No Judgement",207.070.289,14.900,,,,
12,"Seeing Blind",178.513.825,23.017,,,,
13,Flicker,160.304.587,24.460,,,,
14,"On The Loose",117.209.990,18.883,,,,
15,Meltdown,92.304.524,19.218,,,,
16,Still,87.228.380,24.584,,,,
17,"Heartbreak Weather",81.451.808,23.614,,,,
18,"Slow Hands - Acoustic",76.843.081,7.290,,,,
19,"Fool's Gold - Recorded At RAK Studios London",67.587.795,6.952,,,,
20,"Paper Houses",63.314.077,8.374,,,,
21,"Small Talk",63.180.902,19.728,,,,
22,Mirrors,55.262.227,10.717,,,,
23,Everywhere,53.065.827,14.191,,,,
24,"The Show",48.828.424,18.033,,,,
25,"Too Much To Ask - Acoustic",43.190.865,3.947,,,,
26,"Finally Free - From ""Smallfoot""",42.280.696,5.542,,,,
27,"Dear Patience",42.182.921,7.752,,,,
28,"Since We're Alone",42.159.469,7.747,,,,
29,"Fire Away",38.807.689,5.499,,,,
30,"Cross Your Mind",38.611.471,10.897,,,,
31,"Everywhere (BBC Children In Need)",37.652.371,5.544,,,,
32,"On My Own",37.121.934,5.213,,,,
33,"Arms Of A Stranger",34.794.186,7.122,,,,
34,"You And Me",34.596.974,4.532,,,,
35,"Must Be Love",33.843.630,19.361,,,,
36,"San Francisco",31.775.072,6.648,,,,
37,"The Tide",31.667.703,3.757,,,,
38,"Bend The Rules",31.630.603,5.553,,,,
39,"New Angel",29.544.703,6.869,,,,
40,"You Could Start A Cult (with Lizzy McAlpine)",25.732.043,13.775,,,,
41,"If You Leave Me",25.129.656,8.290,,,,
42,Science,23.388.641,9.299,,,,
43,"Lover - Recorded at Air Studios London",22.836.989,3.741,,,,
44,"This Town - Tiёsto Remix",21.949.861,731,,,,
45,"You Could Start A Cult",21.878.613,6.719,,,,
46,"Never Grow Up",21.854.011,8.004,,,,
47,"Save My Life",20.648.476,7.563,,,,
48,"On A Night Like Tonight",20.146.758,6.204,,,,
49,"Nice To Meet Ya - Diplo Remix",17.220.626,1.036,,,,
50,"So Long feat. The RTÉ Concert Orchestra - Live",14.563.861,2.505,,,,
51,"So Long - Live",14.556.727,2.658,,,,
52,"Slow Hands - Basic Tape Remix",14.338.998,785,,,,
53,"Black And White - Stripped",13.786.306,2.542,,,,
54,"Heaven - Acoustic",10.685.625,2.315,,,,
55,"On The Loose - Alternate Version",10.372.342,732,,,,
56,"Something In The Orange - Live From Spotify Studios",10.365.588,6.117,,,,
57,"This Town - Live 1 Mic 1 Take",9.913.975,760,,,,
58,"Flicker feat. The RTÉ Concert Orchestra - Live",8.138.505,880,,,,
59,"Flicker - Live",8.135.967,916,,,,
60,"This Town feat. The RTÉ Concert Orchestra - Live",7.976.850,1.005,,,,
61,"This Town - Live",7.974.213,875,,,,
62,"* Drive Safe",7.815.585,578.574,,,,
63,"* Our Song - Acoustic",7.544.989,4.075,,,,
64,"Too Much To Ask - Recorded At RAK Studios London",6.776.454,352,,,,
65,"Paper Houses feat. The RTÉ Concert Orchestra - Live",6.738.850,609,,,,
66,"Paper Houses - Live",6.737.075,608,,,,
67,"On The Loose - Basic Tape Remix",6.704.909,214,,,,
68,"The Tide feat. The RTÉ Concert Orchestra - Live",5.984.288,558,,,,
69,"The Tide - Live",5.982.726,528,,,,
70,"The Show (with John Legend)",5.759.219,1.791,,,,
71,"You And Me feat. The RTÉ Concert Orchestra - Live",5.386.707,409,,,,
72,"You And Me - Live",5.385.519,435,,,,
73,"On The Loose - Acoustic",5.358.330,443,,,,
74,"* Old Tricks",5.334.995,19.390,,,,
75,"No Judgement - Acoustic",5.027.890,902,,,,
76,"Too Much To Ask - Cedric Gervais Remix",4.911.007,142,,,,
77,"If You Leave Me / Everybody Wants To Rule The World - Live From Electric Picnic",4.446.313,2.226,,,,
78,"* Our Song - Luca Schreiner Remix",3.760.852,285,,,,
79,"Nice To Meet Ya - Stripped",3.644.069,657,,,,
80,Dress,3.302.120,4.349,,,,
81,"Meltdown - Acoustic",3.282.005,972,,,,
82,Nothing,3.047.521,5.070,,,,
83,"You Could Start A Cult - Live from Spotify Studios",2.816.300,1.392,,,,
84,"Too Much To Ask feat. The RTÉ Concert Orchestra - Live",2.753.617,443,,,,
85,"Fire Away feat. The RTÉ Concert Orchestra - Live",2.725.127,456,,,,
86,"No Judgement - Steve Void Remix",2.422.982,77,,,,
87,"Slow Hands - Jay Pryor Remix",2.387.785,126,,,,
88,"Seeing Blind feat. The RTÉ Concert Orchestra - Live",2.353.044,352,,,,
89,"This Town - Cheat Codes Remix",2.181.559,68,,,,
90,"No Judgement - Recorded Live at Air Studios London",1.932.667,592,,,,
91,"Small Talk - Live From Madison Square Garden",1.911.801,1.159,,,,
92,"Black And White - Oliver Nelson Remix",1.814.575,87,,,,
93,"On The Loose - slenderbodies Remix",1.754.349,76,,,,
94,"Science - Live From Spotify Studios",1.536.525,614,,,,
95,"This Town - GOLDHOUSE Remix",1.517.476,58,,,,
96,"Heaven - Live From Madison Square Garden",1.439.452,799,,,,
97,"Too Much To Ask - TRU Concept Remix",1.279.740,157,,,,
98,"This Town - Live From Madison Square Garden",1.136.063,718,,,,
99,"This Town - Live from Spotify Studios",1.106.453,343,,,,
100,"Meltdown - Stripped",1.057.806,458,,,,
101,"Still - Live From Madison Square Garden",997.086,661,,,,
102,"This Town - Nikö Blank Remix",987.201,92,,,,
103,"* Our Song - Just Kiddin Remix",900.718,90,,,,
104,"This Town - Cabo San Remix",898.485,36,,,,
105,"Slow Hands - Live From Madison Square Garden",848.224,555,,,,
106,"Heaven - Live from Spotify Studios",840.118,366,,,,
107,"Black And White - Live From Madison Square Garden",813.848,548,,,,
108,"Heaven - Live From Electric Picnic",803.013,337,,,,
109,"On A Night Like Tonight - Live From Madison Square Garden",802.396,495,,,,
110,"Small Talk - Live at the Royal Albert Hall",790.178,717,,,,
111,"Science - Live From Madison Square Garden",772.014,493,,,,
112,"If You Leave Me - Live From Madison Square Garden",753.619,600,,,,
113,"San Francisco - Live From Madison Square Garden",738.988,500,,,,
114,"The Show - Live from Spotify Studios",735.633,271,,,,
115,"* Our Song - Moka Nola Remix",725.412,45,,,,
116,"Save My Life - Live from Electric Picnic",716.466,290,,,,
117,"On A Night Like Tonight - Live",697.268,332,,,,
