Rank,"Song Title",Streams,Daily
1,"This Town",1190681244,247288
2,"Slow Hands",1067350003,103636
3,"What A Time",881661368,131724
4,"Too Much To Ask",531434884,32993
5,"Nice To Meet Ya",371418790,27408
6,"Moral of the Story (feat. Niall Horan) (Bonus Track)",348000148,40564
7,"Put A Little Love On Me",323208475,36819
8,Heaven,310394438,61880
9,"Black And White",297576452,29613
10,"Our Song",274948206,37982
11,"No Judgement",207246339,11378
12,"Seeing Blind",178752650,14637
13,Flicker,160568296,17993
14,"On The Loose",117403323,12831
15,Meltdown,92505764,13169
16,Still,87503313,17711
17,"Heartbreak Weather",81692239,15367
18,"Slow Hands - Acoustic",76929331,5998
19,"Fool's Gold - Recorded At RAK Studios, London",67668926,5913
20,"Paper Houses",63411029,7168
21,"Small Talk",63399329,15995
22,Mirrors,55381821,7715
23,Everywhere,53230459,10657
24,"The Show",49031672,13105
25,"Too Much To Ask - Acoustic",43238266,2850
26,"Finally Free - From ""Smallfoot""",42343209,4572
27,"Dear Patience",42273180,6299
28,"Since We're Alone",42246624,6290
29,"Fire Away",38873513,4906
30,"Cross Your Mind",38726022,7894
31,"Everywhere (BBC Children In Need)",37715856,4356
32,"On My Own",37185085,4146
33,"Arms Of A Stranger",34881217,5615
34,"You And Me",34649539,3723
35,"Must Be Love",34074883,14779
36,"San Francisco",31850573,5231
37,"The Tide",31714333,3369
38,"Bend The Rules",31697651,4613
39,"New Angel",29619499,5134
40,"You Could Start A Cult (with Lizzy McAlpine)",25886505,10739
41,"If You Leave Me",25230785,6992
42,Science,23496620,7860
43,"Lover - Recorded at Air Studios, London",22875185,2655
44,"You Could Start A Cult",21959135,5495
45,"This Town - Tiёsto Remix",21958064,571
46,"Never Grow Up",21941803,6387
47,"Save My Life",20740748,5929
48,"On A Night Like Tonight",20215843,4931
49,"Nice To Meet Ya - Diplo Remix",17233617,826
50,"So Long feat. The RTÉ Concert Orchestra - Live",14593653,2102
51,"So Long - Live",14586816,2706
52,"Slow Hands - Basic Tape Remix",14348691,674
53,"Black And White - Stripped",13816478,2482
54,"Drive Safe",13543346,371351
55,"Heaven - Acoustic",10711514,1663
56,"Something In The Orange - Live From Spotify Studios",10436283,5071
57,"On The Loose - Alternate Version",10381337,567
58,"This Town - Live, 1 Mic 1 Take",9923493,668
59,"Flicker feat. The RTÉ Concert Orchestra - Live",8149148,671
60,"Flicker - Live",8146828,991
61,"This Town feat. The RTÉ Concert Orchestra - Live",7987758,934
62,"This Town - Live",7985129,943
63,"Our Song - Acoustic",7587825,3006
64,"Too Much To Ask - Recorded At RAK Studios, London",6780977,355
65,"Paper Houses feat. The RTÉ Concert Orchestra - Live",6746032,476
66,"Paper Houses - Live",6744434,646
67,"On The Loose - Basic Tape Remix",6707786,207
68,"The Tide feat. The RTÉ Concert Orchestra - Live",5990817,405
69,"The Tide - Live",5989481,630
70,"The Show (with John Legend)",5778603,1293
71,"Old Tricks",5548934,14673
72,"You And Me feat. The RTÉ Concert Orchestra - Live",5391831,367
73,"You And Me - Live",5390613,473
74,"On The Loose - Acoustic",5364081,373
75,"No Judgement - Acoustic",5037817,744
76,"Too Much To Ask - Cedric Gervais Remix",4912906,109
77,"If You Leave Me / Everybody Wants To Rule The World - Live From Electric Picnic",4471417,1715
78,"Our Song - Luca Schreiner Remix",3764038,202
79,"Nice To Meet Ya - Stripped",3652233,558
80,Dress,3350163,3594
81,"Meltdown - Acoustic",3293257,812
82,Nothing,3104845,4270
83,"You Could Start A Cult - Live from Spotify Studios",2832063,1043
84,"Too Much To Ask feat. The RTÉ Concert Orchestra - Live",2758700,355
85,"Fire Away feat. The RTÉ Concert Orchestra - Live",2730767,465
86,"No Judgement - Steve Void Remix",2423839,65
87,"Slow Hands - Jay Pryor Remix",2389321,123
88,"Seeing Blind feat. The RTÉ Concert Orchestra - Live",2357275,277
89,"This Town - Cheat Codes Remix",2182395,54
90,"No Judgement - Recorded Live at Air Studios, London",1939470,539
91,"Small Talk - Live From Madison Square Garden",1925767,972
92,"Black And White - Oliver Nelson Remix",1815581,83
93,"On The Loose - slenderbodies Remix",1755266,54
94,"Science - Live From Spotify Studios",1544235,656
95,"This Town - GOLDHOUSE Remix",1518082,43
96,"Heaven - Live From Madison Square Garden",1448355,641
97,"Too Much To Ask - TRU Concept Remix",1282676,179
98,"This Town - Live From Madison Square Garden",1145146,659
99,"This Town - Live from Spotify Studios",1110980,339
100,"Meltdown - Stripped",1063123,383
101,"Still - Live From Madison Square Garden",1004823,596
102,"This Town - Nikö Blank Remix",988355,73
103,"Our Song - Just Kiddin Remix",901959,82
104,"This Town - Cabo San Remix",898979,35
105,"Slow Hands - Live From Madison Square Garden",854585,471
106,"Heaven - Live from Spotify Studios",844152,292
107,"Black And White - Live From Madison Square Garden",820346,454
108,"On A Night Like Tonight - Live From Madison Square Garden",808244,404
109,"Heaven - Live From Electric Picnic",806713,239
110,"Small Talk - Live at the Royal Albert Hall",798467,647
111,"Science - Live From Madison Square Garden",778276,506
112,"If You Leave Me - Live From Madison Square Garden",759623,394
113,"San Francisco - Live From Madison Square Garden",745008,423
114,"The Show - Live from Spotify Studios",738937,250
