Rank,"Song Title",Streams,Daily
1,"This Town",1204158457,259030
2,"Slow Hands",1074322933,134729
3,"What A Time",889405092,142466
4,"Too Much To Ask",533598007,36692
5,"Nice To Meet Ya",373347731,37843
6,"Moral of the Story (feat Niall Horan) (Bonus Track)",350151865,39648
7,"Put A Little Love On Me",325551425,40594
8,Heaven,314584439,82323
9,"Black And White",299397015,34564
10,"Our Song",277348352,47058
11,"No Judgement",208036709,14632
12,"Seeing Blind",179761828,16936
13,Flicker,161662987,18685
14,"On The Loose",118217071,14196
15,Meltdown,93550253,17804
16,Still,88634316,17838
17,"Heartbreak Weather",83022406,24937
18,"Slow Hands - Acoustic",77274205,6350
19,"Fools Gold - Recorded At RAK Studios London",68002959,5545
20,"Small Talk",64514699,18676
21,"Paper Houses",63792098,6035
22,Mirrors,55842847,7490
23,Everywhere,53957123,11889
24,"The Show",49952197,15019
25,"Too Much To Ask - Acoustic",43452181,3394
26,"Dear Patience",42696829,7129
27,"Since Were Alone",42627332,6690
28,"Finally Free - From Smallfoot",42613248,5014
29,"Cross Your Mind",39302035,9410
30,"Fire Away",39143410,4704
31,"Everywhere (BBC Children In Need)",37971063,5423
32,"On My Own",37435017,4113
33,"Must Be Love",35416936,21738
34,"Arms Of A Stranger",35247154,7457
35,"You And Me",34871696,4206
36,"San Francisco",32190389,6370
37,"Bend The Rules",32061497,6113
38,"The Tide",31908708,3256
39,"New Angel",29964885,8218
40,"Drive Safe",28604946,262255
41,"You Could Start A Cult (with Lizzy McAlpine)",26487473,10281
42,"If You Leave Me",25811821,10811
43,Science,23945093,6517
44,"Lover - Recorded at Air Studios London",23042407,2958
45,"Never Grow Up",22397596,7287
46,"You Could Start A Cult",22295674,5572
47,"This Town - Tiёsto Remix",21994814,773
48,"Save My Life",21355407,10127
49,"On A Night Like Tonight",20561042,6027
50,"Nice To Meet Ya - Diplo Remix",17288258,1017
51,"So Long feat The RTÉ Concert Orchestra - Live",14722066,2317
52,"So Long - Live",14714558,2622
53,"Slow Hands - Basic Tape Remix",14398690,1002
