Rank,"Song Title",Streams,Daily
1,"This Town",1192831734,268385
2,"Slow Hands",1068346804,125594
3,"What A Time",882890208,161528
4,"Too Much To Ask",531776978,43679
5,"Nice To Meet Ya",371724749,41870
6,"Moral of the Story (feat. Niall Horan) (Bonus Track)",348361344,45292
7,"Put A Little Love On Me",323574755,48246
8,Heaven,311016374,82138
9,"Black And White",297879279,40836
10,"Our Song",275337754,51325
11,"No Judgement",207372197,14261
12,"Seeing Blind",178908608,17265
13,Flicker,160741338,21780
14,"On The Loose",117532705,19947
15,Meltdown,92661258,23514
16,Still,87683992,24038
17,"Heartbreak Weather",81872775,26852
18,"Slow Hands - Acoustic",76988146,6959
19,"Fool's Gold - Recorded At RAK Studios, London",67722231,6665
20,"Small Talk",63568949,26349
21,"Paper Houses",63470413,7518
22,Mirrors,55453196,8705
23,Everywhere,53346040,18555
24,"The Show",49190235,23919
25,"Too Much To Ask - Acoustic",43270977,3983
26,"Finally Free - From ""Smallfoot""",42385358,5172
27,"Dear Patience",42333852,7815
28,"Since We're Alone",42301442,6780
29,"Fire Away",38915723,5285
30,"Cross Your Mind",38809811,12759
31,"Everywhere (BBC Children In Need)",37756885,5092
32,"On My Own",37223763,4905
33,"Arms Of A Stranger",34936491,7895
34,"You And Me",34682736,4088
35,"Must Be Love",34267629,32376
36,"San Francisco",31900681,6457
37,"Bend The Rules",31749640,7321
38,"The Tide",31744181,3692
39,"New Angel",29674066,9748
40,"You Could Start A Cult (with Lizzy McAlpine)",25982694,11842
41,"If You Leave Me",25309202,14455
42,Science,23572292,8928
43,"Lover - Recorded at Air Studios, London",22900769,3236
44,"You Could Start A Cult",22012575,6223
45,"Never Grow Up",22008061,7618
46,"This Town - Tiёsto Remix",21963827,663
47,"Save My Life",20811253,12497
48,"On A Night Like Tonight",20272626,10496
49,"Nice To Meet Ya - Diplo Remix",17242447,1082
50,"Drive Safe",16797306,387865
51,"So Long feat. The RTÉ Concert Orchestra - Live",14614290,2461
52,"So Long - Live",14607893,2890
53,"Slow Hands - Basic Tape Remix",14355993,1066
54,"Black And White - Stripped",13837371,2592
55,"Heaven - Acoustic",10728224,2227
56,"Something In The Orange - Live From Spotify Studios",10480786,5520
57,"On The Loose - Alternate Version",10387374,746
58,"This Town - Live, 1 Mic 1 Take",9930026,924
59,"Flicker feat. The RTÉ Concert Orchestra - Live",8155616,824
60,"Flicker - Live",8153455,854
61,"This Town feat. The RTÉ Concert Orchestra - Live",7994398,827
62,"This Town - Live",7992302,897
63,"Our Song - Acoustic",7618309,4282
64,"Too Much To Ask - Recorded At RAK Studios, London",6783924,349
65,"Paper Houses feat. The RTÉ Concert Orchestra - Live",6750639,585
66,"Paper Houses - Live",6749127,613
67,"On The Loose - Basic Tape Remix",6709644,237
68,"The Tide feat. The RTÉ Concert Orchestra - Live",5995244,614
69,"The Tide - Live",5993861,607
70,"The Show (with John Legend)",5791916,1727
71,"Old Tricks",5676808,15309
72,"You And Me feat. The RTÉ Concert Orchestra - Live",5395424,415
73,"You And Me - Live",5394276,498
74,"On The Loose - Acoustic",5367934,469
75,"No Judgement - Acoustic",5044228,784
76,"Too Much To Ask - Cedric Gervais Remix",4914161,154
77,"If You Leave Me / Everybody Wants To Rule The World - Live From Electric Picnic",4489478,2226
78,"Our Song - Luca Schreiner Remix",3766218,279
79,"Nice To Meet Ya - Stripped",3657926,701
80,Dress,3383117,3936
81,"Meltdown - Acoustic",3300394,842
82,Nothing,3143279,4837
83,"You Could Start A Cult - Live from Spotify Studios",2841999,1260
84,"Too Much To Ask feat. The RTÉ Concert Orchestra - Live",2761912,402
85,"Fire Away feat. The RTÉ Concert Orchestra - Live",2734327,427
86,"No Judgement - Steve Void Remix",2424452,82
87,"Slow Hands - Jay Pryor Remix",2390385,131
88,"Seeing Blind feat. The RTÉ Concert Orchestra - Live",2360041,333
89,"This Town - Cheat Codes Remix",2182966,69
90,"No Judgement - Recorded Live at Air Studios, London",1943987,610
91,"Small Talk - Live From Madison Square Garden",1935360,1103
92,"Black And White - Oliver Nelson Remix",1816253,63
93,"On The Loose - slenderbodies Remix",1755895,78
94,"Science - Live From Spotify Studios",1550432,642
95,"This Town - GOLDHOUSE Remix",1518501,51
96,"Heaven - Live From Madison Square Garden",1454619,814
97,"Too Much To Ask - TRU Concept Remix",1283773,224
98,"This Town - Live From Madison Square Garden",1151448,790
99,"This Town - Live from Spotify Studios",1114131,407
100,"Meltdown - Stripped",1066903,462
101,"Still - Live From Madison Square Garden",1010505,707
102,"This Town - Nikö Blank Remix",989437,183
103,"Our Song - Just Kiddin Remix",902721,82
104,"This Town - Cabo San Remix",899345,39
105,"Slow Hands - Live From Madison Square Garden",859200,656
106,"Heaven - Live from Spotify Studios",846745,357
107,"Black And White - Live From Madison Square Garden",825200,648
108,"On A Night Like Tonight - Live From Madison Square Garden",812423,518
109,"Heaven - Live From Electric Picnic",809249,320
110,"Small Talk - Live at the Royal Albert Hall",804185,696
