,Song Title,Streams,Daily
1,Night Changes,2.421.300.969,1.174.115
2,Story of My Life,1.836.042.072,752.784
3,What Makes You Beautiful,1.779.259.857,786.446
4,Drag Me Down,1.359.084.290,356.666
5,Perfect,1.191.889.095,552.468
6,Steal My Girl,1.160.216.311,620.295
7,18,901.878.640,404.107
8,You & I,824.895.770,443.846
9,Best Song Ever,760.286.233,192.177
10,Little Things,707.496.093,120.154
11,History,663.981.335,104.562
12,They Don't Know About Us,654.475.346,226.819
13,Right Now,627.675.462,288.690
14,Kiss You,512.930.546,133.415
15,Live While We're Young,492.977.917,139.752
16,One Thing,475.859.563,254.075
17,Strong,403.345.310,145.536
18,No Control,352.184.773,104.348
19,Olivia,311.887.294,43.886
20,If I Could Fly,310.460.551,40.181
21,Stockholm Syndrome,267.965.963,60.451
22,Midnight Memories,263.559.677,52.838
23,Infinity,261.743.241,43.162
24,Love You Goodbye,236.531.646,35.835
25,Where Do Broken Hearts Go,228.863.543,107.254
26,Fool's Gold,224.638.057,46.799
27,Fireproof,221.600.581,64.576
28,A.M.,211.512.080,31.199
29,What a Feeling,210.728.413,45.284
30,Half a Heart,208.449.580,28.259
31,One Way or Another (Teenage Kicks),206.000.863,46.130
32,End of the Day,193.715.430,28.769
33,Happily,191.720.732,33.302
34,More Than This,189.286.748,35.303
35,Over Again,188.692.448,31.512
36,Walking in the Wind,186.528.816,40.000
37,Diana,172.235.503,40.083
38,Last First Kiss,172.222.364,36.432
39,Rock Me,171.511.718,79.057
40,Ready to Run,168.343.411,40.434
41,Temporary Fix,157.186.340,27.180
42,Girl Almighty,156.488.513,31.475
43,Up All Night,149.515.277,30.524
44,Gotta Be You,145.319.777,32.746
45,Wolves,142.539.110,26.077
46,I Would,138.122.316,31.139
47,Never Enough,133.395.702,19.792
48,I Want to Write You a Song,131.183.240,18.381
49,Don't Forget Where You Belong,128.312.508,23.502
50,C'mon C'mon,126.085.704,35.088
51,Through the Dark,124.497.166,31.736
52,She's Not Afraid,123.681.470,27.776
53,Hey Angel,121.019.126,22.339
54,Moments,120.592.257,23.009
55,Act My Age,111.133.217,18.278
56,Home,110.702.203,17.548
57,Heart Attack,108.164.640,23.950
58,I Wish,104.342.350,20.632
59,Better Than Words,102.247.261,17.586
60,Clouds,99.972.093,19.819
61,Taken,99.494.930,17.942
62,Long Way Down,99.190.170,16.572
63,Nobody Compares,98.070.468,20.970
64,Little White Lies,97.408.858,19.566
65,Spaces,96.311.186,16.143
66,Still The One,95.799.362,21.725
67,Little Black Dress,93.671.562,16.783
68,Change My Mind,92.385.247,20.100
69,Summer Love,90.691.849,14.005
70,I Want,86.458.050,15.010
71,Does He Know?,85.452.684,20.003
72,Once in a Lifetime,84.723.848,15.482
73,Why Don't We Go There,83.151.945,15.847
74,Change Your Ticket,81.818.843,19.134
75,Back For You,78.663.161,15.878
76,Magic,76.851.401,25.863
77,Loved You First,76.083.105,16.828
78,Stand Up,74.450.418,14.816
79,Something Great,74.149.817,13.083
80,Same Mistakes,73.300.793,13.150
81,Alive,72.121.162,12.065
82,Illusion,70.663.122,12.849
83,Tell Me a Lie,70.509.049,14.358
84,Stole My Heart,69.866.421,16.108
85,Na Na Na,68.005.315,14.747
86,I Should Have Kissed You,62.158.815,14.818
87,Everything About You,61.429.742,11.553
88,Save You Tonight,56.531.142,10.830
89,Truly Madly Deeply,47.452.907,14.557
90,Night Changes - Live Acoustic Session,46.402.107,6.417
91,Irresistible,43.403.072,14.024
92,Another World,37.217.404,8.256
93,One Thing - Acoustic,35.512.952,6.252
94,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",32.931.392,7.151
95,You & I - Piano Version,32.147.894,2.892
96,Steal My Girl - Acoustic Version,25.340.446,2.549
97,You & I - Radio Edit,21.380.263,3.097
98,Perfect (feat. Matoma) - Matoma Remix,19.877.646,894
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.626.861,341
100,Steal My Girl - Live Acoustic Session,11.920.328,966
101,Best Song Ever - Kat Krazy Remix,8.675.867,883
102,Night Changes - Afterhrs Remix,8.329.357,709
103,You & I - Big Payno Remix,7.198.592,284
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.840.399,540
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.888.270,1.833
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5.026.275,782
107,Story of My Life - Live X Factor Performance,4.728.935,867
108,Live While We're Young - The Jump Smokers Remix,4.637.913,280
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.414.649,239
110,Best Song Ever - Jump Smokers Remix,4.278.647,423
111,I Want - Live,4.245.653,574
112,Live While We're Young - Dave Aude Remix,3.688.797,236
113,You & I - Duet Version,2.923.372,1.738
114,One Way or Another (Teenage Kicks) - Instrumental,2.423.038,275
115,What Makes You Beautiful - Live,2.417.939,758
116,One Way or Another (Teenage Kicks) - Sharoque Remix,2.254.585,240
117,More Than This - Live,1.934.422,626
118,Up All Night - Live,1.624.349,515
119,Gotta Be You - Live,1.417.682,435
120,Best Song Ever - WestFunk & Steve Smart Remix,1.334.972,188
121,Gotta Be You - Steve Smart & Westfunk Remix,573.593,173
122,Gotta Be You - Mojam Remix,483.125,175
123,Kiss You - Sharoque Remix,481.476,201
