Rank,Song Title,Streams,Daily
1,Night Changes,2430634705,1335778
2,Story of My Life,1841873584,835002
3,What Makes You Beautiful,1784980728,808457
4,Drag Me Down,1361503783,346627
5,Perfect,1195821620,544534
6,Steal My Girl,1164606274,598351
7,18,904714094,408782
8,You & I,828115302,483027
9,Best Song Ever,761604246,186674
10,Little Things,708313878,125328
11,History,664712715,108530
12,They Don't Know About Us,656021309,223119
13,Right Now,629778230,296037
14,Kiss You,513921245,140408
15,Live While We're Young,493963448,145802
16,One Thing,477607137,257455
17,Strong,404365533,142146
18,No Control,352905386,108104
19,Olivia,312194339,46549
20,If I Could Fly,310736078,42852
21,Stockholm Syndrome,268391426,65463
22,Midnight Memories,263934284,57221
23,Infinity,262044769,46230
24,Love You Goodbye,236775502,38213
25,Where Do Broken Hearts Go,229609722,122910
26,Fool's Gold,224962036,50656
27,Fireproof,222034712,68232
28,A.M.,211725060,33357
29,What a Feeling,211038017,47476
30,Half a Heart,208647739,30749
31,One Way or Another (Teenage Kicks),206337847,50374
32,End of the Day,193906597,29468
33,Happily,191962431,37188
34,More Than This,189536338,38672
35,Over Again,188909799,34300
36,Walking in the Wind,186789569,40170
37,Diana,172520748,44346
38,Last First Kiss,172478839,38841
39,Rock Me,172223034,114327
40,Ready to Run,168621573,42188
41,Temporary Fix,157383112,29869
42,Girl Almighty,156712376,34194
43,Up All Night,149733179,33606
44,Gotta Be You,145551131,35980
45,Wolves,142722258,28019
46,I Would,138345764,33119
47,Never Enough,133532507,21308
48,I Want to Write You a Song,131309180,19363
49,Don't Forget Where You Belong,128480564,26134
50,C'mon C'mon,126330802,35745
51,Through the Dark,124731664,36234
52,She's Not Afraid,123888137,30973
53,Hey Angel,121172441,24087
54,Moments,120756834,25605
55,Act My Age,111263323,20072
56,Home,110824999,18998
57,Heart Attack,108331930,25156
58,I Wish,104489835,23025
59,Better Than Words,102372327,19088
60,Clouds,100110268,21179
61,Taken,99623187,19868
62,Long Way Down,99308549,18626
63,Nobody Compares,98213350,21840
64,Little White Lies,97542472,20738
65,Spaces,96421645,16959
66,Still The One,95949193,21782
67,Little Black Dress,93789049,18046
68,Change My Mind,92523358,21844
69,Summer Love,90789282,14908
70,I Want,86564758,16381
71,Does He Know?,85585489,20818
72,Once in a Lifetime,84833407,17116
73,Why Don't We Go There,83264054,17426
74,Change Your Ticket,81951683,20266
75,Back For You,78776279,17124
76,Magic,77031228,26370
77,Loved You First,76202662,18304
78,Stand Up,74554602,16017
79,Something Great,74240978,14173
80,Same Mistakes,73392768,14025
81,Alive,72207340,13452
82,Illusion,70756499,14468
83,Tell Me a Lie,70611041,15824
84,Stole My Heart,69977366,16455
85,Na Na Na,68110198,16231
86,I Should Have Kissed You,62264387,16529
87,Everything About You,61513477,12743
88,Save You Tonight,56607155,11688
89,Truly Madly Deeply,47549915,15073
90,Night Changes - Live Acoustic Session,46448975,7091
91,Irresistible,43499166,14482
92,Another World,37276082,9153
93,One Thing - Acoustic,35556849,6872
94,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",32982771,8075
95,You & I - Piano Version,32168955,3001
96,Steal My Girl - Acoustic Version,25357315,2697
97,You & I - Radio Edit,21404151,3344
98,Perfect (feat. Matoma) - Matoma Remix,19883403,681
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13628941,324
100,Steal My Girl - Live Acoustic Session,11927081,1038
101,Best Song Ever - Kat Krazy Remix,8681515,883
102,Night Changes - Afterhrs Remix,8333803,636
103,You & I - Big Payno Remix,7200668,276
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6843578,495
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5900826,1877
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5032079,839
107,Story of My Life - Live X Factor Performance,4734895,873
108,Live While We're Young - The Jump Smokers Remix,4639872,307
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4416113,210
110,Best Song Ever - Jump Smokers Remix,4281711,459
111,I Want - Live,4249533,574
112,Live While We're Young - Dave Aude Remix,3690504,291
113,You & I - Duet Version,2936810,1968
114,One Way or Another (Teenage Kicks) - Instrumental,2425154,304
115,What Makes You Beautiful - Live,2423584,879
116,One Way or Another (Teenage Kicks) - Sharoque Remix,2256380,287
117,More Than This - Live,1939002,661
118,Up All Night - Live,1627852,537
119,Gotta Be You - Live,1420859,510
120,Best Song Ever - WestFunk & Steve Smart Remix,1336349,212
121,Gotta Be You - Steve Smart & Westfunk Remix,574857,191
122,Gotta Be You - Mojam Remix,484205,184
123,Kiss You - Sharoque Remix,482974,218
