,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Night Changes,2.483.131.150,1.174.187,,,,
2,Story of My Life,1.875.579.866,740.116,,,,
3,What Makes You Beautiful,1.820.264.685,739.156,,,,
4,Drag Me Down,1.376.553.761,351.471,,,,
5,Perfect,1.219.622.977,567.814,,,,
6,Steal My Girl,1.191.847.465,620.064,,,,
7,18,922.637.455,465.878,,,,
8,You & I,848.960.141,475.926,,,,
9,Best Song Ever,771.949.293,304.552,,,,
10,Little Things,713.585.659,129.930,,,,
11,History,669.312.745,108.759,,,,
12,They Don't Know About Us,665.692.376,249.047,,,,
13,Right Now,641.158.450,236.012,,,,
14,Kiss You,520.247.133,135.626,,,,
15,Live While We're Young,500.500.408,142.604,,,,
16,One Thing,488.200.433,236.069,,,,
17,Strong,410.734.114,147.557,,,,
18,No Control,358.288.881,106.293,,,,
19,Olivia,314.185.567,47.291,,,,
20,If I Could Fly,312.410.942,38.809,,,,
21,Stockholm Syndrome,271.094.398,59.853,,,,
22,Midnight Memories,266.436.139,56.785,,,,
23,Infinity,263.886.829,41.178,,,,
24,Love You Goodbye,238.326.672,35.045,,,,
25,Where Do Broken Hearts Go,234.942.238,107.491,,,,
26,Fool's Gold,227.012.236,50.547,,,,
27,Fireproof,224.732.402,61.437,,,,
28,A.M.,213.112.124,30.405,,,,
29,What a Feeling,213.034.713,44.078,,,,
30,Half a Heart,209.907.123,29.410,,,,
31,One Way or Another (Teenage Kicks),208.488.344,50.345,,,,
32,End of the Day,195.107.443,28.537,,,,
33,Happily,193.490.838,35.928,,,,
34,More Than This,191.166.837,37.243,,,,
35,Over Again,190.340.210,32.835,,,,
36,Walking in the Wind,188.478.950,39.879,,,,
37,Rock Me,175.836.455,72.769,,,,
38,Diana,174.333.927,43.634,,,,
39,Last First Kiss,174.092.046,38.514,,,,
40,Ready to Run,170.383.175,40.025,,,,
41,Temporary Fix,158.723.310,29.599,,,,
42,Girl Almighty,158.179.446,33.240,,,,
43,Up All Night,151.172.899,32.372,,,,
44,Gotta Be You,147.029.622,34.028,,,,
45,Wolves,143.950.176,27.175,,,,
46,I Would,139.693.141,30.584,,,,
47,Never Enough,134.441.347,20.438,,,,
48,I Want to Write You a Song,132.078.833,18.454,,,,
49,Don't Forget Where You Belong,129.586.031,25.652,,,,
50,C'mon C'mon,127.869.905,35.276,,,,
51,Through the Dark,126.184.801,36.923,,,,
52,She's Not Afraid,125.115.030,29.548,,,,
53,Hey Angel,122.221.097,23.182,,,,
54,Moments,121.801.243,23.760,,,,
55,Act My Age,112.076.620,18.443,,,,
56,Home,111.639.946,18.400,,,,
57,Heart Attack,109.314.014,21.499,,,,
58,I Wish,105.423.150,21.749,,,,
59,Better Than Words,103.158.624,19.732,,,,
60,Clouds,101.015.603,20.540,,,,
61,Taken,100.437.479,19.096,,,,
62,Long Way Down,100.023.820,17.106,,,,
63,Nobody Compares,99.101.482,23.599,,,,
64,Little White Lies,98.411.978,20.202,,,,
65,Spaces,97.109.942,16.309,,,,
66,Still The One,96.853.657,21.658,,,,
67,Little Black Dress,94.562.272,17.621,,,,
68,Change My Mind,93.367.539,19.670,,,,
69,Summer Love,91.399.848,15.316,,,,
70,I Want,87.288.601,16.380,,,,
71,Does He Know?,86.452.876,19.635,,,,
72,Once in a Lifetime,85.506.801,15.982,,,,
73,Why Don't We Go There,83.964.864,17.533,,,,
74,Change Your Ticket,82.779.630,19.503,,,,
75,Back For You,79.471.591,16.432,,,,
76,Magic,78.154.868,27.299,,,,
77,Loved You First,76.929.353,19.045,,,,
78,Stand Up,75.209.970,14.993,,,,
79,Something Great,74.894.991,21.120,,,,
80,Same Mistakes,73.980.713,14.038,,,,
81,Alive,72.767.638,13.337,,,,
82,Illusion,71.336.328,13.664,,,,
83,Tell Me a Lie,71.261.761,16.341,,,,
84,Stole My Heart,70.679.609,16.072,,,,
