Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
"Night Changes",2488991728,1126512,2485593898,,,,
"Story of My Life",1879510909,753394,1877238132,,,,
"What Makes You Beautiful",1824421681,844312,1821921556,,,,
"Drag Me Down",1378379675,382600,1377303549,,,,
Perfect,1222256508,461073,1220738379,,,,
"Steal My Girl",1195027115,578611,1193221366,,,,
18,924761681,415384,923509842,,,,
"You & I",851369607,467895,849967867,,,,
"Best Song Ever",773485672,285546,772555128,,,,
"Little Things",714183880,110278,713834395,,,,
History,669812291,85305,669525574,,,,
"They Don't Know About Us",666828775,192989,666181835,,,,
"Right Now",642328310,214527,641654180,,,,
"Kiss You",520845154,107243,520493952,,,,
"Live While We're Young",501164370,119569,500775124,,,,
"One Thing",489311623,185189,488706629,,,,
Strong,411496116,146786,411052402,,,,
"No Control",358785653,84434,358500616,,,,
Olivia,314415581,39786,314281835,,,,
"If I Could Fly",312595036,31916,312492732,,,,
"Stockholm Syndrome",271370090,46403,271213283,,,,
"Midnight Memories",266708862,47369,266550679,,,,
Infinity,264098905,35323,263980005,,,,
"Love You Goodbye",238495061,28492,238400247,,,,
"Where Do Broken Hearts Go",235395362,81729,235126166,,,,
"Fool's Gold",227254306,41705,227116797,,,,
Fireproof,225030836,49750,224862475,,,,
A.M.,213262913,25876,213178277,,,,
"What a Feeling",213258863,38353,213133361,,,,
"Half a Heart",210052102,24115,209970227,,,,
"One Way or Another (Teenage Kicks)",208735237,42832,208591047,,,,
"End of the Day",195244266,23602,195165660,,,,
Happily,193672721,32179,193564392,,,,
"More Than This",191354521,30198,191248251,,,,
"Over Again",190504626,26589,190412298,,,,
"Walking in the Wind",188675872,35994,188563021,,,,
"Rock Me",176183598,60198,175983369,,,,
Diana,174547391,36834,174421589,,,,
"Last First Kiss",174285186,31892,174173306,,,,
"Ready to Run",170580971,34324,170466178,,,,
"Temporary Fix",158869975,25327,158785880,,,,
"Girl Almighty",158342499,28037,158248032,,,,
"Up All Night",151337984,28525,151242704,,,,
"Gotta Be You",147199608,28524,147100530,,,,
Wolves,144087210,22716,144008745,,,,
"I Would",139845165,26367,139757908,,,,
"Never Enough",134540551,16581,134484200,,,,
"I Want to Write You a Song",132167510,15844,132117924,,,,
"Don't Forget Where You Belong",129710243,20839,129639703,,,,
"C'mon, C'mon",128036533,28200,,,,,
"Through the Dark",126354437,29017,126257466,,,,
"She's Not Afraid",125258731,24610,125174909,,,,
"Hey Angel",122336516,19151,122270632,,,,
Moments,121919818,19448,121851729,,,,
"Act My Age",112168066,15277,112116911,,,,
Home,111731785,14543,111680078,,,,
"Heart Attack",109417054,16963,109360201,,,,
"I Wish",105531571,19110,105469449,,,,
"Better Than Words",103247308,15099,103197089,,,,
Clouds,101118783,16852,101060658,,,,
Taken,100528932,15439,100476665,,,,
"Long Way Down",100103233,13172,100059432,,,,
"Nobody Compares",99211802,18377,99148279,,,,
"Little White Lies",98513749,16851,98455536,,,,
Spaces,97187234,13006,97144036,,,,
"Still The One",96963746,19547,96898041,,,,
"Little Black Dress",94647739,14218,94599049,,,,
"Change My Mind",93461741,16029,93409626,,,,
"Summer Love",91470491,11648,91430528,,,,
"I Want",87369460,13493,87323587,,,,
"Does He Know?",86553846,17010,86494420,,,,
"Once in a Lifetime",85580283,12357,85539475,,,,
"Why Don't We Go There",84045944,13710,83999884,,,,
"Change Your Ticket",82872473,15828,82819568,,,,
"Back For You",79557811,14025,79509226,,,,
Magic,78290428,25615,78211357,,,,
"Loved You First",77015953,14321,76967920,,,,
"Stand Up",75284778,12588,75241910,,,,
"Something Great",74988061,14960,74937440,,,,
"Same Mistakes",74048474,11553,74010105,,,,
Alive,72833142,11065,72796296,,,,
Illusion,71404345,11417,71365375,,,,
"Tell Me a Lie",71339498,12795,71294866,,,,
"Stole My Heart",70760591,13828,70714270,,,,
"Na Na Na",68844613,12624,68802428,,,,
"I Should Have Kissed You",63006858,12859,62963861,,,,
"Everything About You",62103149,10170,62068623,,,,
"Save You Tonight",57153183,9566,57121077,,,,
"Truly Madly Deeply",48228333,11714,48189232,,,,
"Night Changes - Live Acoustic Session",46754437,5326,46736337,,,,
Irresistible,44183873,12154,44140930,,,,
"Another World",37680673,6853,37657144,,,,
"One Thing - Acoustic",35869117,5463,35850955,,,,
"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",33338150,5905,33318401,,,,
"You & I - Piano Version",32307130,2351,32299072,,,,
"Steal My Girl - Acoustic Version",25462183,1781,25456170,,,,
"You & I - Radio Edit",21579507,3547,21568394,,,,
"Perfect (feat. Matoma) - Matoma Remix",19913653,508,19911836,,,,
"Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix",13643811,269,13642951,,,,
"Steal My Girl - Live Acoustic Session",11974257,805,11971470,,,,
"Best Song Ever - Kat Krazy Remix",8719625,693,8717352,,,,
"Night Changes - Afterhrs Remix",8363782,497,8362108,,,,
"You & I - Big Payno Remix",7214861,232,7214096,,,,
"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6866633,455,6865290,,,,
"C'mon, C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5984266,1308,,,,,
"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5070863,655,5068711,,,,
"Story of My Life - Live X Factor Performance",4775083,720,4772704,,,,
"Live While We're Young - The Jump Smokers Remix",4652170,205,4651488,,,,
"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4426062,177,4425529,,,,
"Best Song Ever - Jump Smokers Remix",4302238,318,4301153,,,,
"I Want - Live",4277263,442,4275733,,,,
"Live While We're Young - Dave Aude Remix",3701913,208,3701273,,,,
"You & I - Duet Version",3041954,2032,3035594,,,,
"What Makes You Beautiful - Live",2462111,674,2459851,,,,
"One Way or Another (Teenage Kicks) - Instrumental",2439379,233,2438634,,,,
"One Way or Another (Teenage Kicks) - Sharoque Remix",2269004,207,2268286,,,,
"More Than This - Live",1969184,524,1967404,,,,
"Up All Night - Live",1656686,425,1655224,,,,
"Gotta Be You - Live",1442191,346,1441021,,,,
"Best Song Ever - WestFunk & Steve Smart Remix",1346233,163,1345666,,,,
"Gotta Be You - Steve Smart & Westfunk Remix",583491,111,583047,,,,
"Kiss You - Sharoque Remix",492563,158,492025,,,,
"Gotta Be You - Mojam Remix",491681,125,491263,,,,
