"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Night Changes",2488991728,1126512,2488991728,0,1126512,0
"Story of My Life",1879510909,753394,1879510909,0,753394,0
"What Makes You Beautiful",1824421681,844312,1824421681,0,844312,0
"Drag Me Down",1378379675,382600,1378379675,0,382600,0
Perfect,1222256508,461073,1222256508,0,461073,0
"Steal My Girl",1195027115,578611,1195027115,0,578611,0
18,924761681,415384,924761681,0,415384,0
"You & I",851369607,467895,851369607,0,467895,0
"Best Song Ever",773485672,285546,773485672,0,285546,0
"Little Things",714183880,110278,714183880,0,110278,0
History,669812291,85305,669812291,0,85305,0
"They Don't Know About Us",666828775,192989,666828775,0,192989,0
"Right Now",642328310,214527,642328310,0,214527,0
"Kiss You",520845154,107243,520845154,0,107243,0
"Live While We're Young",501164370,119569,501164370,0,119569,0
"One Thing",489311623,185189,489311623,0,185189,0
Strong,411496116,146786,411496116,0,146786,0
"No Control",358785653,84434,358785653,0,84434,0
Olivia,314415581,39786,314415581,0,39786,0
"If I Could Fly",312595036,31916,312595036,0,31916,0
"Stockholm Syndrome",271370090,46403,271370090,0,46403,0
"Midnight Memories",266708862,47369,266708862,0,47369,0
Infinity,264098905,35323,264098905,0,35323,0
"Love You Goodbye",238495061,28492,238495061,0,28492,0
"Where Do Broken Hearts Go",235395362,81729,235395362,0,81729,0
"Fool's Gold",227254306,41705,227254306,0,41705,0
Fireproof,225030836,49750,225030836,0,49750,0
A.M.,213262913,25876,213262913,0,25876,0
"What a Feeling",213258863,38353,213258863,0,38353,0
"Half a Heart",210052102,24115,210052102,0,24115,0
"One Way or Another (Teenage Kicks)",208735237,42832,208735237,0,42832,0
"End of the Day",195244266,23602,195244266,0,23602,0
Happily,193672721,32179,193672721,0,32179,0
"More Than This",191354521,30198,191354521,0,30198,0
"Over Again",190504626,26589,190504626,0,26589,0
"Walking in the Wind",188675872,35994,188675872,0,35994,0
"Rock Me",176183598,60198,176183598,0,60198,0
Diana,174547391,36834,174547391,0,36834,0
"Last First Kiss",174285186,31892,174285186,0,31892,0
"Ready to Run",170580971,34324,170580971,0,34324,0
"Temporary Fix",158869975,25327,158869975,0,25327,0
"Girl Almighty",158342499,28037,158342499,0,28037,0
"Up All Night",151337984,28525,151337984,0,28525,0
"Gotta Be You",147199608,28524,147199608,0,28524,0
Wolves,144087210,22716,144087210,0,22716,0
"I Would",139845165,26367,139845165,0,26367,0
"Never Enough",134540551,16581,134540551,0,16581,0
