Rank,"Song Title",Streams,Daily
1,"Night Changes",2500020221,1288853
2,"Story of My Life",1886447153,576660
3,"What Makes You Beautiful",1831607021,742843
4,"Drag Me Down",1381567015,359889
5,Perfect,1227246520,586721
6,"Steal My Girl",1200934532,690235
7,18,928463234,422199
8,"You & I",855783316,520748
9,"Best Song Ever",776255811,330673
10,"Little Things",715286625,126019
11,History,670692815,101205
12,"They Don't Know About Us",668908846,238590
13,"Right Now",644404165,236927
14,"Kiss You",521883795,115756
15,"Live While We're Young",502294627,129148
16,"One Thing",490979126,138556
17,Strong,412866494,156209
18,"No Control",359655488,105354
19,Olivia,314823054,46113
20,"If I Could Fly",312918515,37562
21,"Stockholm Syndrome",271887204,61864
22,"Midnight Memories",267187480,54222
23,Infinity,264465719,42128
24,"Love You Goodbye",238801653,35071
25,"Where Do Broken Hearts Go",236388704,135438
26,"Fool's Gold",227684751,49809
27,Fireproof,225579767,63609
28,"What a Feeling",213665555,45251
29,A.M.,213529958,29969
30,"Half a Heart",210309091,29518
31,"One Way or Another (Teenage Kicks)",209166889,48722
32,"End of the Day",195482878,26482
33,Happily,193985678,36006
34,"More Than This",191634871,0
35,"Over Again",190782935,31268
36,"Walking in the Wind",189040932,40947
37,"Rock Me",176802539,73499
38,Diana,174911326,38901
39,"Last First Kiss",174622477,37378
40,"Ready to Run",170946932,41649
41,"Temporary Fix",159160555,43187
42,"Girl Almighty",158634255,32162
43,"Up All Night",151575845,0
44,"Gotta Be You",147506056,34038
45,Wolves,144335404,26762
46,"I Would",140110242,30235
47,"Never Enough",134712158,19851
48,"I Want to Write You a Song",132322162,18345
49,"Don't Forget Where You Belong",129926159,24779
50,"C'mon, C'mon",128332007,31948
51,"Through the Dark",126666421,36216
52,"She's Not Afraid",125512021,28805
53,"Hey Angel",122546995,24579
54,Moments,122130792,24620
55,"Act My Age",112326645,18898
56,Home,111895988,18053
57,"Heart Attack",109590041,19390
58,"I Wish",105725071,21930
59,"Better Than Words",103405275,18048
60,Clouds,101307451,22215
61,Taken,100689932,18271
62,"Long Way Down",100243589,15920
63,"Nobody Compares",99411298,23545
64,"Little White Lies",98686688,19144
65,Spaces,97323866,15850
66,"Still The One",97147102,21063
67,"Little Black Dress",94799709,17013
68,"Change My Mind",93630672,20143
69,"Summer Love",91595071,14459
70,"I Want",87508987,15961
71,"Does He Know?",86731650,21362
72,"Once in a Lifetime",85721244,17306
73,"Why Don't We Go There",84183884,15492
74,"Change Your Ticket",83038108,19136
75,"Back For You",79701383,17114
76,Magic,78524821,25779
77,"Loved You First",77167260,16792
78,"Stand Up",75413628,14515
79,"Something Great",75148991,17503
80,"Same Mistakes",74166393,13710
81,Alive,72941154,12979
82,Illusion,71524069,15942
83,"Tell Me a Lie",71472209,15043
84,"Stole My Heart",70900413,15899
85,"Na Na Na",68973444,14787
86,"I Should Have Kissed You",63136924,14776
87,"Everything About You",62208487,11941
88,"Save You Tonight",57251438,11173
89,"Truly Madly Deeply",48348293,13612
90,"Night Changes - Live Acoustic Session",46811636,6617
91,Irresistible,44308316,13702
92,"Another World",37751662,8028
93,"One Thing - Acoustic",35923870,6223
94,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",33398469,6970
95,"You & I - Piano Version",32333031,2883
96,"Steal My Girl - Acoustic Version",25481713,2168
97,"You & I - Radio Edit",20966937,0
98,"Perfect (feat. Matoma) - Matoma Remix",19919309,744
99,"Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix",13646550,319
100,"Steal My Girl - Live Acoustic Session",11982736,1056
101,"Best Song Ever - Kat Krazy Remix",8727021,869
102,"Night Changes - Afterhrs Remix",8369285,676
103,"You & I - Big Payno Remix",7217452,0
104,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6870801,479
105,"C'mon, C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5998023,1639
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5077473,741
107,"Story of My Life - Live X Factor Performance",4782372,776
108,"Live While We're Young - The Jump Smokers Remix",4654701,336
109,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4427861,212
110,"Best Song Ever - Jump Smokers Remix",4305948,465
111,"I Want - Live",4281855,519
112,"Live While We're Young - Dave Aude Remix",3704098,267
113,"What Makes You Beautiful - Live",2468793,815
114,"One Way or Another (Teenage Kicks) - Instrumental",2441796,308
115,"You & I - Duet Version",2415204,0
116,"One Way or Another (Teenage Kicks) - Sharoque Remix",2271166,266
117,"More Than This - Live",1961266,0
118,"Up All Night - Live",1661125,0
119,"Gotta Be You - Live",1445739,437
120,"Best Song Ever - WestFunk & Steve Smart Remix",1348156,208
121,"Gotta Be You - Steve Smart & Westfunk Remix",585100,184
122,"Kiss You - Sharoque Remix",494412,223
123,"Gotta Be You - Mojam Remix",492953,184
