Ranking,Song Title,Streams  ges.,Daily
1,Night Changes,2.080.924.051,1.304.604
2,Story of My Life,1.603.885.348,923.111
3,What Makes You Beautiful,1.546.847.631,870.626
4,Drag Me Down,1.260.631.644,423.654
5,Perfect,1.044.232.279,489.144
6,Steal My Girl,978.278.633,640.030
7,18,780.663.515,309.994
8,You & I,702.987.182,466.967
9,Best Song Ever,676.877.429,247.032
10,Little Things,668.296.241,142.478
11,History,624.941.429,120.960
12,They Don't Know About Us,609.640.674,144.449
13,Right Now,534.560.791,281.414
14,Kiss You,473.371.914,130.248
15,Live While We're Young,445.612.115,148.458
16,One Thing,415.168.480,146.748
17,Strong,355.456.093,144.538
18,No Control,326.101.236,89.358
19,If I Could Fly,297.672.903,46.541
20,Olivia,297.318.376,53.540
21,Infinity,248.712.560,43.396
22,Stockholm Syndrome,247.684.764,74.370
23,Midnight Memories,246.996.077,61.655
24,Love You Goodbye,224.483.148,44.767
25,Fool's Gold,210.353.524,50.920
26,Where Do Broken Hearts Go,208.020.932,60.558
27,Fireproof,203.713.233,61.575
28,A.M.,201.798.885,3.406
29,Half a Heart,199.163.705,32.743
30,What a Feeling,196.761.910,45.413
31,One Way or Another (Teenage Kicks),192.344.036,45.965
32,End of the Day,184.748.311,28.391
33,Happily,180.568.193,36.133
34,Over Again,178.701.119,35.644
35,More Than This,177.671.368,40.170
36,Walking in the Wind,172.959.556,50.724
37,Last First Kiss,160.875.744,36.986
38,Rock Me,160.683.613,38.034
39,Diana,160.237.734,37.150
40,Ready to Run,155.756.079,42.482
41,Temporary Fix,148.184.739,31.133
42,Girl Almighty,146.155.210,35.706
43,Up All Night,139.327.647,36.432
44,Gotta Be You,135.099.698,35.021
45,Wolves,134.164.258,26.379
46,I Would,128.405.002,33.123
47,Never Enough,126.962.661,21.435
48,I Want to Write You a Song,125.180.974,21.842
49,Don't Forget Where You Belong,120.562.772,26.692
50,C'mon C'mon,115.504.956,32.728
51,She's Not Afraid,115.173.350,27.888
52,Through the Dark,114.312.577,34.108
53,Hey Angel,113.819.190,23.364
54,Moments,112.913.941,27.111
55,Act My Age,105.323.545,21.529
56,Home,105.002.257,19.969
57,Heart Attack,101.687.591,2.078
58,I Wish,97.770.906,21.175
59,Better Than Words,96.358.290,20.383
60,Long Way Down,93.959.854,17.157
61,Clouds,93.856.097,19.843
62,Taken,93.710.610,19.424
63,Nobody Compares,91.589.212,21.349
64,Little White Lies,91.233.771,18.859
65,Spaces,91.182.141,17.822
66,Still The One,89.019.335,22.442
67,Little Black Dress,88.235.729,18.502
68,Change My Mind,86.715.611,17.397
69,Summer Love,86.169.739,14.983
70,I Want,81.589.217,17.684
71,Once in a Lifetime,79.741.539,16.007
72,Does He Know?,79.503.666,1.706
73,Why Don't We Go There,78.026.264,16.955
74,Change Your Ticket,76.317.651,17.916
75,Back For You,73.457.347,14.380
76,Loved You First,70.945.734,15.023
77,Something Great,69.931.517,14.306
78,Stand Up,69.788.721,15.410
79,Same Mistakes,69.177.187,14.305
80,Magic,68.367.029,28.323
81,Alive,68.027.028,13.749
82,Illusion,66.468.463,13.027
83,Tell Me a Lie,66.000.611,14.624
84,Stole My Heart,65.011.634,16.833
85,Na Na Na,63.304.967,16.282
86,Everything About You,57.688.208,12.297
87,I Should Have Kissed You,57.502.865,15.491
88,Save You Tonight,53.146.659,11.322
89,Night Changes - Live Acoustic Session,44.031.593,9.369
90,Truly Madly Deeply,43.120.820,14.875
91,Irresistible,39.110.200,14.409
92,Another World,34.645.170,8.344
93,One Thing - Acoustic,33.444.068,7.418
94,You & I - Piano Version,31.194.541,3.411
95,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",30.695.667,7.805
96,Steal My Girl - Acoustic Version,24.428.702,4.007
97,You & I - Radio Edit,20.436.776,1.603
98,Perfect (feat. Matoma) - Matoma Remix,19.615.614,627
99,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,13.544.732,268
100,Steal My Girl - Live Acoustic Session,11.610.782,1.168
101,Best Song Ever - Kat Krazy Remix,8.439.896,824
102,Night Changes - Afterhrs Remix,8.153.806,557
103,You & I - Big Payno Remix,7.116.338,241
104,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,6.701.826,517
105,"C'mon C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5.330.667,2.218
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",4.764.634,1.030
107,Live While We're Young - The Jump Smokers Remix,4.565.558,238
108,Story of My Life - Live X Factor Performance,4.466.970,979
109,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,4.360.180,153
110,Best Song Ever - Jump Smokers Remix,4.167.495,390
111,I Want - Live,4.069.431,711
112,Live While We're Young - Dave Aude Remix,3.627.630,186
113,One Way or Another (Teenage Kicks) - Instrumental,2.347.970,233
114,You & I - Duet Version,2.301.428,293
115,One Way or Another (Teenage Kicks) - Sharoque Remix,2.185.601,281
116,What Makes You Beautiful - Live,2.157.061,926
117,More Than This - Live,1.734.742,625
118,Up All Night - Live,1.463.173,592
119,Best Song Ever - WestFunk & Steve Smart Remix,1.286.628,133
120,Gotta Be You - Live,1.284.881,497
121,Gotta Be You - Steve Smart & Westfunk Remix,528.229,148
122,Gotta Be You - Mojam Remix,445.851,143
123,Kiss You - Sharoque Remix,433.004,169
