Rank,"Song Title",Streams,Daily
1,"Night Changes",2532586852,1228445
2,"Story of My Life",1907891378,799692
3,"What Makes You Beautiful",1855213728,815207
4,"Drag Me Down",1391812213,394346
5,Perfect,1242714639,576778
6,"Steal My Girl",1218570558,692716
7,18,939743014,404664
8,"You I",868959642,486240
9,"Best Song Ever",784972197,329082
10,"Little Things",718596675,118404
11,"They Dont Know About Us",675057284,205626
12,History,673842446,109818
13,"Right Now",650651362,223617
14,"Kiss You",525382112,130016
15,"Live While Were Young",506274801,139512
16,"One Thing",497119199,207771
17,Strong,417210733,152780
18,"No Control",362774049,122858
19,Olivia,316110215,46303
20,"If I Could Fly",313928583,36622
21,"Stockholm Syndrome",273625698,63960
22,"Midnight Memories",268720538,56314
23,Infinity,265604334,39261
24,"Where Do Broken Hearts Go",240120983,84509
25,"Love You Goodbye",239754325,33481
26,"Fools Gold",228994007,44296
27,Fireproof,227461910,62398
28,"What a Feeling",215172547,51579
29,AM,214383962,30774
30,"Half a Heart",211097318,28427
31,"One Way or Another (Teenage Kicks)",210606644,52059
32,"End of the Day",196208293,26134
33,Happily,194994385,39783
34,"More Than This",192655824,37530
35,"Over Again",191645862,30749
36,"Walking in the Wind",190130624,38338
37,"Rock Me",178759757,61331
38,Diana,176047759,42411
39,"Last First Kiss",175654976,37865
40,"Ready to Run",172108276,44950
41,"Temporary Fix",160202762,35723
42,"Girl Almighty",159650282,36732
43,"Up All Night",152499117,33790
44,"Gotta Be You",148452493,34148
45,Wolves,145199760,30884
46,"I Would",140961269,30517
47,"Never Enough",135271019,20271
48,"I Want to Write You a Song",132807641,17351
49,"Dont Forget Where You Belong",130604313,24621
50,"Cmon Cmon",129266640,35269
51,"Through the Dark",127622580,33481
52,"Shes Not Afraid",126304718,28204
53,"Hey Angel",123278040,23553
54,Moments,122776500,23042
55,"Act My Age",112871223,18586
56,Home,112384598,18826
57,"Heart Attack",110128303,19315
58,"I Wish",106324992,21732
59,"Better Than Words",103901531,17790
60,Clouds,101950448,20096
61,Taken,101204145,18441
62,"Long Way Down",100690566,16234
63,"Nobody Compares",100003983,19430
64,"Little White Lies",99260341,19482
65,Spaces,97753257,15502
66,"Still The One",97750171,20840
67,"Little Black Dress",95274446,17283
68,"Change My Mind",94144717,17340
69,"Summer Love",91987205,14350
70,"I Want",87972587,16283
71,"Does He Know",87316209,19177
72,"Once in a Lifetime",86158294,15639
73,"Why Dont We Go There",84636683,15937
74,"Change Your Ticket",83567774,18596
75,"Back For You",80172733,18188
76,Magic,79294717,27538
77,"Loved You First",77625870,16038
78,"Stand Up",75825029,14624
79,"Something Great",75623594,15054
80,"Same Mistakes",74543337,13628
81,Alive,73288122,12239
82,"Tell Me a Lie",71907594,14773
83,Illusion,71901672,13413
84,"Stole My Heart",71352130,16308
85,"Na Na Na",69385410,14762
86,"I Should Have Kissed You",63551980,15024
87,"Everything About You",62546298,12000
88,"Save You Tonight",57566445,10858
89,"Truly Madly Deeply",48722364,13651
90,"Night Changes - Live Acoustic Session",46988158,6284
91,Irresistible,44697373,14114
92,"Another World",37982744,8120
93,"One Thing - Acoustic",36100798,6296
94,"Rock Me - Live Version from The Motion Picture One Direction This Is Us",33586888,6753
95,"You I - Piano Version",32414329,2717
96,"Steal My Girl - Acoustic Version",25541812,2278
97,"You I - Radio Edit",21019476,1848
98,"Perfect (feat Matoma) - Matoma Remix",19937119,630
99,"Steal My Girl - 88 Ninetys Raiders of the Lost Art Remix",13654826,302
100,"Steal My Girl - Live Acoustic Session",12010165,973
101,"Best Song Ever - Kat Krazy Remix",8751891,844
102,"Night Changes - Afterhrs Remix",8386085,571
103,"You I - Big Payno Remix",7225589,320
104,"Drag Me Down (feat LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6884224,536
105,"Cmon Cmon - Live Version from The Motion Picture One Direction This Is Us",6040135,1503
106,"Kiss You - Live Version From The Motion Picture One Direction This Is Us",5098952,756
107,"Story of My Life - Live X Factor Performance",4805070,801
108,"Live While Were Young - The Jump Smokers Remix",4663225,322
109,"Steal My Girl - Big Payno Afterhrs Pool Party Remix",4433523,198
110,"Best Song Ever - Jump Smokers Remix",4317359,405
111,"I Want - Live",4296614,553
112,"Live While Were Young - Dave Aude Remix",3710581,244
113,"What Makes You Beautiful - Live",2490598,740
114,"One Way or Another (Teenage Kicks) - Instrumental",2449322,258
115,"You I - Duet Version",2423928,330
116,"One Way or Another (Teenage Kicks) - Sharoque Remix",2278383,271
117,"More Than This - Live",1977248,559
118,"Up All Night - Live",1674928,506
119,"Gotta Be You - Live",1457233,427
120,"Best Song Ever - WestFunk Steve Smart Remix",1353509,191
121,"Gotta Be You - Steve Smart Westfunk Remix",589734,178
122,"Kiss You - Sharoque Remix",499714,197
123,"Gotta Be You - Mojam Remix",496845,138
