Rank,"Song Title",Streams,Daily
1,"Night Changes",2497445499,1218534
2,"Story of My Life",1885061929,724642
3,"What Makes You Beautiful",1830055020,759882
4,"Drag Me Down",1380857545,281406
5,Perfect,1226093914,522971
6,"Steal My Girl",1199528438,621594
7,18,927622496,418035
8,"You & I",854770508,450379
9,"Best Song Ever",775610625,271403
10,"Little Things",715035005,111255
11,History,670491302,90002
12,"They Don't Know About Us",668432255,224086
13,"Right Now",643929455,221399
14,"Kiss You",521652858,106839
15,"Live While We're Young",502042098,112759
16,"One Thing",490650498,179100
17,Strong,412557337,151612
18,"No Control",359449465,85409
19,Olivia,314732148,43709
20,"If I Could Fly",312845259,30773
21,"Stockholm Syndrome",271758843,53456
22,"Midnight Memories",267080350,47271
23,Infinity,264384141,32753
24,"Love You Goodbye",238731589,28025
25,"Where Do Broken Hearts Go",236114381,107233
26,"Fool's Gold",227586710,40327
27,Fireproof,225443103,58193
28,"What a Feeling",213569096,41125
29,A.M.,213471385,26595
30,"Half a Heart",210251617,23318
31,"One Way or Another (Teenage Kicks)",209071289,42702
32,"End of the Day",195430549,20987
33,Happily,193915921,29444
34,"More Than This",191616545,31952
35,"Over Again",190720965,25934
36,"Walking in the Wind",188955104,40401
37,"Rock Me",176658890,58049
38,Diana,174833919,35672
39,"Last First Kiss",174547859,32458
40,"Ready to Run",170865254,35050
41,"Temporary Fix",159076388,30100
42,"Girl Almighty",158565637,30548
43,"Up All Night",151558627,26473
44,"Gotta Be You",147438647,30575
45,Wolves,144277974,25489
46,"I Would",140051976,24521
47,"Never Enough",134673789,15058
48,"I Want to Write You a Song",132286810,14249
49,"Don't Forget Where You Belong",129877724,20108
50,"C'mon, C'mon",128268034,27539
51,"Through the Dark",126595601,27815
52,"She's Not Afraid",125455943,23087
53,"Hey Angel",122494760,22612
54,Moments,122082666,19688
55,"Act My Age",112290030,14397
56,Home,111858114,19044
57,"Heart Attack",109552588,15439
58,"I Wish",105681777,17971
59,"Better Than Words",103369853,14267
60,Clouds,101260057,20144
61,Taken,100654190,14797
62,"Long Way Down",100211971,12719
63,"Nobody Compares",99365818,17019
64,"Little White Lies",98648797,15736
65,Spaces,97293320,12449
66,"Still The One",97106204,17826
67,"Little Black Dress",94763614,15665
68,"Change My Mind",93591525,15598
69,"Summer Love",91567200,11398
70,"I Want",87477799,12627
71,"Does He Know?",86689264,14848
72,"Once in a Lifetime",85687012,14097
73,"Why Don't We Go There",84153410,12696
74,"Change Your Ticket",83000318,15451
75,"Back For You",79668852,12889
76,Magic,78474014,23756
77,"Loved You First",77134048,12827
78,"Stand Up",75385024,11810
79,"Something Great",75110961,17365
80,"Same Mistakes",74139971,10688
81,Alive,72916412,9599
82,Illusion,71495277,10243
83,"Tell Me a Lie",71442765,12556
84,"Stole My Heart",70869536,12869
85,"Na Na Na",68944753,11974
86,"I Should Have Kissed You",63108191,12010
87,"Everything About You",62185277,9488
88,"Save You Tonight",57229880,8941
89,"Truly Madly Deeply",48321479,10806
90,"Night Changes - Live Acoustic Session",46798678,5476
91,Irresistible,44281051,11315
92,"Another World",37735757,6357
93,"One Thing - Acoustic",35911575,5113
94,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",33384876,5652
95,"You & I - Piano Version",32327293,2407
96,"Steal My Girl - Acoustic Version",25477484,1703
97,"You & I - Radio Edit",21605410,3487
98,"Perfect (feat. Matoma) - Matoma Remix",19917914,551
99,"Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix",13645946,236
100,"Steal My Girl - Live Acoustic Session",11980741,812
101,"Best Song Ever - Kat Krazy Remix",8725348,725
102,"Night Changes - Afterhrs Remix",8368002,478
103,"You & I - Big Payno Remix",7216855,216
104,"Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix",6869848,389
105,"C'mon, C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",5994789,1300
106,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",5076028,570
107,"Story of My Life - Live X Factor Performance",4780792,660
108,"Live While We're Young - The Jump Smokers Remix",4654022,235
109,"Steal My Girl - Big Payno & Afterhrs Pool Party Remix",4427464,170
110,"Best Song Ever - Jump Smokers Remix",4305038,355
111,"I Want - Live",4280876,424
112,"Live While We're Young - Dave Aude Remix",3703575,178
113,"You & I - Duet Version",3056815,2056
114,"What Makes You Beautiful - Live",2467291,614
115,"One Way or Another (Teenage Kicks) - Instrumental",2441247,226
116,"One Way or Another (Teenage Kicks) - Sharoque Remix",2270664,199
117,"More Than This - Live",1973257,477
118,"Up All Night - Live",1660173,351
119,"Gotta Be You - Live",1444948,327
120,"Best Song Ever - WestFunk & Steve Smart Remix",1347749,166
121,"Gotta Be You - Steve Smart & Westfunk Remix",584713,147
122,"Kiss You - Sharoque Remix",493994,167
123,"Gotta Be You - Mojam Remix",492636,117
