Rank,"Song Title",Streams,Daily
1,"Lose Control",2420636513,1518196
2,"The Door",902080256,886036
3,"Bad Dreams",783594961,823979
4,"All That Really Matters",249863625,224615
5,"You're Still The One",204552638,244717
6,"Devil in a Dress",193181014,129350
7,"The Door - CYRIL Remix",189709655,191608
8,"Hammer to the Heart",170300366,128884
9,"Somethin’ ‘Bout A Woman (feat. Teddy Swims)",157727006,184980
10,"Are You Even Real (feat. Givēon)",142725843,117662
11,"Some Things I'll Never Know",139440244,86406
12,"What More Can I Say",116177221,85597
13,911,101070858,46327
14,"Gone Gone Gone",98735919,510340
15,"Bad For Me (feat. Teddy Swims)",95822985,26509
16,Funeral,89827355,85669
17,"Bed on Fire",85792796,71325
18,"Don't Stop Believin'",83353190,118145
19,"Blowin’ Smoke",78051585,77715
20,Guilty,75687577,68328
21,"Dirty (feat. Teddy Swims)",69185603,37716
22,"FACE MYSELF",68568781,45329
23,dose,67934903,42281
24,"Simple Things",63952109,53835
25,"Easy To Love",62128573,25380
26,"Lose Control - Piano Version",62036966,46674
27,"Broke (feat. Thomas Rhett)",57533021,43564
28,"Only Love Can Hurt Like This (feat. Teddy Swims) - Remix",56119609,42952
29,"Better (feat. Teddy Swims)",54357104,8626
30,"God Went Crazy",54226658,56369
31,"Goodbye's Been Good to You",51217546,44945
32,"I Can't Make You Love Me",46981134,24750
33,"Blinding Lights",46183111,55152
34,"Someone You Loved",43163676,22200
35,"Silent Night",42164132,1435
36,"Apple Juice",39799922,43272
37,"The Door (Tiago PZK Version)",39304998,68067
38,"Bad Dreams - HUGEL Remix",36580576,61240
39,Amazing,35966179,31980
40,"Happy People (with Teddy Swims & Jac Ross)",35770501,15715
41,"My Bad",34010154,21267
42,"Bed on Fire (with Ingrid Andress)",31275267,35846
43,"Not Your Man",30533910,64324
44,Flame,28830219,15766
45,"She Got It (feat. Coco Jones & GloRilla)",27587521,25396
46,"Til I Change Your Mind",27439508,27316
47,"Tell Me",25675576,31009
48,"Georgia Ways (with Teddy Swims & Luke Bryan)",25246602,13278
49,"Someone Who Loved You",23053963,21810
50,"Lose Control - Tiësto Remix",23051447,15619
51,"She Loves the Rain",22502773,47293
52,"Northern Lights",22258893,26684
53,Suitcase,20088847,10707
54,"Somebody Should Kiss You",19627734,16521
55,"You Still Get to Me",18929573,10895
56,"What's Going On",18503950,16920
57,"The Door - Stripped",17515507,12894
58,Rivers,17343499,4307
59,"Need You More",17139314,24732
60,"Last Communion",16617964,8729
61,"Lose Control - Live",16450764,14317
62,"All Gas No Brakes (feat. BigXthaPlug)",15997806,14235
63,Sometimes,15628533,9647
64,"Loveless (with Teddy Swims)",15165873,3304
65,"Some Things I'll Never Know (feat. Maren Morris)",14762663,8018
66,Evergreen,14742526,8197
67,"Elephant in the Room (feat. Teddy Swims)",14505729,4503
68,"Growing Up is Getting Old",14040761,6426
69,"You've Got Another Thing Coming - From the Netflix Series ""Nobody Wants This"" Season 2",13451287,30611
70,"Hold Me",13112402,12274
71,"2 Moods",13064372,2577
72,"Lose Control - Strings Version",12387055,5219
73,"For the Rest of Your Life",12378545,5061
74,"Free Them (feat. Teddy Swims)",12244279,6644
75,"All That Really Matters - Stripped Version",11960189,24224
76,"Will It Find Me",11863901,7459
77,"Black & White (feat. Muni Long)",11450377,10872
78,L.I.F.E.,11236507,4403
79,"Your Kind of Crazy",10927206,7820
80,"Please Turn Green",10573037,2417
81,"Bad Dreams - Acoustic",10494751,7245
82,"Night Off",9776619,2107
83,"New Religion (feat. Teddy Swims)",9776127,3932
84,"Simple Things - Piano Version",9399947,5716
85,"It Ain’t Easy",9264819,8548
86,"Love for a Minute",8576282,1678
87,"Please Come Home for Christmas",7660538,299
88,"The Door - Live",7106044,2595
89,"Blame (feat. Teddy Swims)",6941512,3901
90,"Lose Control - goddard. Remix",6866735,2676
91,"Lose Control - Radio Edit",6675190,4150
92,"Gone Gone Gone (Done Done Done) [feat. Teddy Swims] - David Guetta Remix",6621721,27142
93,"If You Ever Change Your Mind",5824830,4572
94,"The Plan",5635540,1904
95,Broke,5558131,2881
96,"This Christmas",5260358,255
97,"Allegedly (with Teddy Swims)",5230035,7344
98,"Bed on Fire - Stripped",4949703,2957
99,Picky,4558205,2051
100,"Dancing With Your Ghost",4362727,6364
101,"Lose Control - The Village Sessions",4346633,3787
102,"So Contagious (feat. Teddy Swims)",4309291,5649
103,"Small Hands (feat. Raiche)",3973070,7312
104,"Gone Gone Gone (feat. Teddy Swims) - Hypaton Remix",3637572,7871
105,"Amazing - Strings Version",3567719,1467
106,"Free Drugs",3511507,5001
107,"O Christmas Tree",3256389,147
108,"Better (feat. Teddy Swims) - Acoustic Version",2930983,1262
