Rank,"Song Title",Streams,Daily
1,"Blinding Lights",5350604888,1416296
2,Starboy,4454441248,1909079
3,"Die For You",3209855018,1220430
4,"The Hills",2995602047,1002949
5,"Save Your Tears",2672581068,999492
6,"One Of The Girls (with JENNIE, Lily Rose Depp)",2553764003,1899212
7,"Call Out My Name",2380589782,760270
8,"I Feel It Coming",2179976749,685211
9,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track",2170273064,1025415
10,"Can't Feel My Face",2148227407,659310
11,"Earned It (Fifty Shades Of Grey)",2114386360,696492
12,Creepin',1741729851,472892
13,"Stargirl Interlude",1534805576,462735
14,"Timeless (feat Playboi Carti)",1460957636,1560237
15,"I Was Never There",1443629892,581549
16,Reminder,1417481453,537747
17,"Moth To A Flame (with The Weeknd)",1395286494,797988
18,"Love Me Harder",1350195984,1134004
19,"After Hours",1317016129,514644
20,"Popular (with Playboi Carti & Madonna)",1315833471,640998
21,"Low Life (feat. The Weeknd)",1309869876,538819
22,"Lost in the Fire (feat. The Weeknd)",1286306243,484615
23,"Die For You (with Ariana Grande) - Remix",1285538034,419545
24,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",1277521826,501506
25,Often,1273485741,422895
26,Heartless,1217735347,313095
27,"Pray For Me",1171048923,364414
28,"In Your Eyes",1114105198,237873
29,"You Right",1091383583,472668
30,"Is There Someone Else?",1042710452,436189
31,"Party Monster",1023139995,312877
32,"Wicked Games",762072778,331843
33,"One Right Now (with The Weeknd)",755665731,140723
34,"House Of Balloons / Glass Table Girls",667061319,568370
35,"The Morning",653832975,403572
36,"In The Night",645072068,117339
37,"São Paulo (feat. Anitta)",639586516,780402
38,"Out of Time",627164672,250600
39,Acquainted,601804808,172992
40,"LA FAMA",599589052,274890
41,"Smile (with The Weeknd)",534397717,85739
42,"Take My Breath - Single Version",506467284,50428
43,Sidewalks,475837364,90561
44,Hurricane,474351636,102946
45,Sacrifice,468867465,112743
46,"Lust for Life (with The Weeknd)",454265380,135937
47,"Some Way",437200054,50960
48,"Coming Down",433366538,419605
49,"Try Me",430439399,126084
50,"Crew Love",428213549,133473
51,"The Party & The After Party",420508459,359742
52,"High For This",418066828,121236
53,Secrets,410061352,89294
54,"Less Than Zero",407339760,159189
55,"Hurt You",390804401,109829
56,K-POP,383285288,110559
57,"Wasted Times",383177556,65948
58,"What You Need",374868097,163385
59,"Cry For Me",370838556,395763
60,"False Alarm",346727702,49743
61,"Six Feet Under",343150795,59774
62,"Hawái - Remix",341870936,26684
63,"True Colors",332987608,43355
64,"Tell Your Friends",299981000,73952
65,"A Lonely Night",297138803,83064
66,Rockin’,286359269,37156
67,"RATHER LIE (with The Weeknd)",283672666,334490
68,"Dancing In The Flames",280247033,148643
69,"Dark Times",279820867,23472
70,"Often - Kygo Remix",272143890,45638
71,"Take My Breath",262310692,111342
72,"Double Fantasy (with Future)",257148758,86760
