,Song Title,Streams,Daily,Streams Vortag,Diff. Streams,Daily Vortag,Diff. Daily
1,Dusk Till Dawn (feat. Sia) - Radio Edit,2.134.201.232,672.927,,,,
2,I Don’t Wanna Live Forever (Fifty Shades Darker),2.053.347.933,668.327,,,,
3,PILLOWTALK,1.653.397.472,583.389,,,,
4,* Trampoline (with ZAYN),589.839.922,62.932,,,,
5,"A Whole New World (End Title) - From ""Aladdin""",377.689.035,50.966,,,,
6,Let Me,354.008.286,50.110,,,,
7,Still Got Time (feat. PARTYNEXTDOOR),301.759.814,12.390,,,,
8,LIKE I WOULD,286.459.551,21.367,,,,
9,fOoL fOr YoU,260.359.342,25.132,,,,
10,Entertainer,217.774.422,26.660,,,,
11,There You Are,199.542.847,21.724,,,,
12,Better,173.556.300,12.864,,,,
13,Vibez,169.948.527,16.931,,,,
14,wRoNg (feat. Kehlani),163.135.750,22.916,,,,
15,Good Years,162.131.563,7.271,,,,
16,TiO,152.232.978,31.201,,,,
17,* Cruel (feat. ZAYN),130.202.539,7.263,,,,
18,iT's YoU,123.208.035,11.918,,,,
19,* EYES CLOSED (with ZAYN),114.489.776,565.554,,,,
20,* Flames (with ZAYN),107.845.681,7.423,,,,
21,Sweat,99.292.741,36.847,,,,
22,BeFoUr,88.970.597,10.114,,,,
23,* Back To Sleep REMIX (feat. Usher & ZAYN),78.825.975,8.269,,,,
24,Love Like This,73.930.989,16.309,,,,
25,sHe,73.056.434,8.993,,,,
26,Fingers,71.765.336,4.002,,,,
27,dRuNk,71.123.792,15.413,,,,
28,Too Much (feat. Timbaland),71.083.916,4.503,,,,
29,BoRdErSz,67.880.918,12.906,,,,
30,Dusk Till Dawn (feat. Sia) - Brooks Remix,59.619.112,2.989,,,,
31,rEaR vIeW,56.233.068,6.056,,,,
32,Tightrope,52.341.548,8.870,,,,
33,No Candle No Light (feat. Nicki Minaj),52.254.869,2.963,,,,
34,* Rumors (feat. ZAYN),49.791.508,9.070,,,,
35,Rainberry,48.270.738,3.563,,,,
36,Common,47.523.893,8.699,,,,
37,Back To Life,40.433.405,9.835,,,,
38,Stardust,36.936.751,23.724,,,,
39,Outside,33.409.541,5.366,,,,
40,Sour Diesel,32.750.768,3.027,,,,
41,What I Am,32.738.820,11.737,,,,
42,lUcOzAdE,32.588.716,3.160,,,,
43,SHE DON'T LOVE ME,32.518.612,3.501,,,,
44,* To Begin Again,31.381.376,3.847,,,,
45,BLUE,29.749.582,2.873,,,,
46,BRIGHT,29.560.582,3.044,,,,
47,Tonight,28.222.828,6.005,,,,
48,PILLOWTALK - the living room session,27.313.448,629,,,,
49,tRuTh,27.272.067,2.879,,,,
50,MiNd Of MiNdd (Intro),25.631.856,2.367,,,,
51,Alienated,25.621.329,12.128,,,,
52,Flight Of The Stars,25.484.146,4.108,,,,
53,Natural,25.240.310,3.687,,,,
54,"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24.865.297,630,,,,
55,INTERMISSION: fLoWer,23.211.070,2.128,,,,
56,Connexion,22.841.582,2.328,,,,
57,Unfuckwitable,22.130.768,3.965,,,,
58,When Love's Around (feat. Syd),22.094.368,2.951,,,,
59,Calamity,21.696.296,2.459,,,,
60,River Road,21.544.660,2.809,,,,
61,* Tu hai kahan (feat. ZAYN),21.085.111,3.209,,,,
62,I Don't Mind,20.697.310,3.206,,,,
63,Talk To Me,20.553.842,3.030,,,,
64,PILLOWTALK REMIX (feat. Lil Wayne),20.117.462,1.189,,,,
65,Insomnia,20.026.048,2.752,,,,
66,Un mundo ideal (Versión Créditos),19.974.159,3.356,,,,
67,If I Got You,19.737.228,3.134,,,,
68,Windowsill (feat. Devlin),19.736.063,2.457,,,,
69,Imprint,19.658.795,2.732,,,,
70,Satisfaction,18.872.702,2.321,,,,
71,Scripted,18.516.229,3.447,,,,
72,wHo,17.386.149,2.217,,,,
73,Stand Still,17.119.361,2.203,,,,
74,You Wish You Knew,15.082.552,1.948,,,,
75,All That,14.721.307,1.969,,,,
76,LIKE I WOULD - The White Panda Remix,14.580.988,491,,,,
77,Icarus Interlude,13.329.195,1.777,,,,
78,Lied To,13.137.687,12.766,,,,
79,* Freedun,13.086.592,591,,,,
80,Good Guy,13.064.642,1.759,,,,
81,Dusk Till Dawn (feat. Sia) - Luca Lush Remix,12.499.365,314,,,,
82,Fresh Air,10.987.824,1.406,,,,
83,Dreamin,9.990.380,5.474,,,,
84,You Can't Hide / You Can't Hide From Yourself (Touch of Class GMF Remix),9.933.070,478,,,,
85,Dusk Till Dawn (feat. Sia),9.488.405,3.345,,,,
86,False Starts,8.335.188,7.221,,,,
87,* Trampoline - Joel Corry Remix,7.929.094,365,,,,
88,My Woman,7.676.310,4.469,,,,
89,Birds On A Cloud,6.801.841,5.286,,,,
90,* Angel,6.661.628,921,,,,
91,Grateful,6.628.589,3.514,,,,
92,How It Feels,6.460.629,3.720,,,,
93,Something In The Water,6.311.204,3.915,,,,
94,* Flames (with ZAYN) (feat. Jungleboi) - Steve Aoki Remix,6.066.332,413,,,,
95,* Flames (with ZAYN) (feat. Jungleboi) - R3HAB & Skytech VIP Remix,5.603.850,262,,,,
96,LIKE I WOULD - Troyboi Remix,5.518.441,980,,,,
97,Shoot At Will,5.510.930,3.500,,,,
98,Concrete Kisses,5.396.461,3.730,,,,
99,* Flames (with ZAYN) (feat. Jungleboi) - GATTÜSO Remix,5.353.984,172,,,,
100,The Time,5.245.249,3.379,,,,
101,* Trampoline - Dave Audé Remix,4.699.933,150,,,,
102,Gates Of Hell,4.699.567,2.459,,,,
103,Fuchsia Sea,4.612.469,2.711,,,,
104,* Fire Inside,4.391.917,755,,,,
105,* Flames (with ZAYN) (feat. Jungleboi) - Frank Walker Remix,4.356.624,215,,,,
106,Ignorance Ain't Bliss - Demo,3.646.393,3.204,,,,
107,LIKE I WOULD - Dave Audé Mix,3.462.253,93,,,,
108,In The Bag,3.443.996,2.831,,,,
109,Unf**kwitable,3.412.380,387,,,,
110,LIKE I WOULD - Oliver Nelson Remix,2.710.190,174,,,,
111,Love Like This - Mura Masa Remix,2.700.548,460,,,,
112,Gave,2.476.757,2.523,,,,
113,LIKE I WOULD - Lenno Remix,1.639.535,44,,,,
114,LIKE I WOULD - Rytmeklubben Remix,1.429.738,47,,,,
115,* EYES CLOSED (with ZAYN) - 2X,1.269.316,5.707,,,,
116,LIKE I WOULD - Sharam Jey Remix,1.192.469,31,,,,
117,Alienated - Demo,1.152.995,920,,,,
118,* EYES CLOSED (with ZAYN) - 0.5X,933.591,3.949,,,,
119,* EYES CLOSED (with ZAYN) - BARE,769.417,3.735,,,,
120,* Trampoline (Joel Corry Remix) - Extended Mix,542.010,39,,,,
121,* EYES CLOSED (with ZAYN) - UNVEILED,268.411,1.723,,,,
