Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
﻿,"Song Title",Streams,Daily,,,,
1,"Dusk Till Dawn (feat. Sia) - Radio Edit",2.162.590.503,763.667,,,,
2,"I Don’t Wanna Live Forever (Fifty Shades Darker)",2.079.936.330,730.507,,,,
3,PILLOWTALK,1.681.292.411,734.484,,,,
4,"* Trampoline (with ZAYN)",592.499.632,69.387,,,,
5,"A Whole New World (End Title) - From ""Aladdin""",379.687.415,51.904,,,,
6,"Let Me",356.340.583,59.710,,,,
7,"Still Got Time (feat. PARTYNEXTDOOR)",302.344.800,14.750,,,,
8,"LIKE I WOULD",287.659.047,31.396,,,,
9,"fOoL fOr YoU",261.728.997,33.997,,,,
10,Entertainer,219.214.939,36.172,,,,
11,"There You Are",200.906.879,35.490,,,,
12,Better,174.202.287,16.011,,,,
13,Vibez,170.784.914,21.005,,,,
14,"wRoNg (feat. Kehlani)",164.303.631,29.287,,,,
15,"Good Years",162.496.092,9.231,,,,
16,TiO,154.090.235,51.993,,,,
17,"* EYES CLOSED (with ZAYN)",132.680.903,346.224,,,,
18,"* Cruel (feat. ZAYN)",130.587.771,11.254,,,,
19,"iT's YoU",123.924.894,16.704,,,,
20,* Flames,108.205.819,9.270,,,,
21,Sweat,101.178.570,47.131,,,,
22,BeFoUr,89.610.839,15.423,,,,
23,"* Back To Sleep REMIX (feat. Usher & ZAYN)",79.184.129,8.992,,,,
24,"Love Like This",74.761.559,22.335,,,,
25,sHe,73.769.204,15.822,,,,
26,dRuNk,72.512.671,35.158,,,,
27,Fingers,71.971.072,5.017,,,,
28,"Too Much (feat. Timbaland)",71.313.129,5.781,,,,
29,BoRdErSz,68.686.137,19.228,,,,
30,"Dusk Till Dawn (feat. Sia) - Brooks Remix",59.742.525,3.076,,,,
31,"rEaR vIeW",56.615.585,8.734,,,,
32,Tightrope,52.874.028,13.176,,,,
33,"No Candle No Light (feat. Nicki Minaj)",52.402.250,3.501,,,,
34,"* Rumors (feat. ZAYN)",50.132.103,12.654,,,,
35,Rainberry,48.473.303,4.977,,,,
36,Common,48.079.602,13.814,,,,
37,"Back To Life",41.209.766,22.484,,,,
38,Stardust,38.159.688,31.023,,,,
39,Outside,33.739.439,8.023,,,,
40,"What I Am",33.441.995,16.775,,,,
41,"Sour Diesel",32.926.817,4.169,,,,
42,lUcOzAdE,32.803.772,4.710,,,,
43,"SHE DON'T LOVE ME",32.750.211,5.355,,,,
44,"* To Begin Again",31.578.072,4.966,,,,
