Rank,Song Title,Streams,Daily
1,Dusk Till Dawn (feat. Sia) - Radio Edit,2168212927,754154
2,I Don’t Wanna Live Forever (Fifty Shades Darker),2085066690,712728
3,PILLOWTALK,1686584036,712688
4,* Trampoline (with ZAYN),593020444,67247
5,"A Whole New World (End Title) - From ""Aladdin""",380062533,47826
6,Let Me,356755979,53721
7,Still Got Time (feat. PARTYNEXTDOOR),302454542,14720
8,LIKE I WOULD,287882197,31861
9,fOoL fOr YoU,261984964,35092
10,Entertainer,219484835,38461
11,There You Are,201161391,32944
12,Better,174317208,15399
13,Vibez,170935906,19099
14,wRoNg (feat. Kehlani),164524318,30279
15,Good Years,162563824,8995
16,TiO,154460579,50224
17,* EYES CLOSED (with ZAYN),135348359,362393
18,* Cruel (feat. ZAYN),130587771,11254
19,iT's YoU,124045313,14977
20,* Flames,108276396,9311
21,Sweat,101528768,42665
22,BeFoUr,89721264,14296
23,* Back To Sleep REMIX (feat. Usher & ZAYN),79257266,9249
24,Love Like This,74916173,18232
25,sHe,73874474,13163
26,dRuNk,72761870,32295
27,Fingers,72007330,4642
28,Too Much (feat. Timbaland),71354595,5461
29,BoRdErSz,68825924,18535
30,Dusk Till Dawn (feat. Sia) - Brooks Remix,59768459,3569
31,rEaR vIeW,56679717,7783
32,Tightrope,52963655,11089
33,No Candle No Light (feat. Nicki Minaj),52427634,3441
34,* Rumors (feat. ZAYN),50266459,13435
35,Rainberry,48508423,4506
36,Common,48175364,12552
37,Back To Life,41358928,18874
38,Stardust,38396799,27112
39,Outside,33793295,6694
40,What I Am,33559067,14197
41,Sour Diesel,32956287,3888
42,lUcOzAdE,32838010,4259
43,SHE DON'T LOVE ME,32788839,4718
44,* To Begin Again,31614133,4526
45,BLUE,29957561,3544
46,BRIGHT,29777375,3923
47,Tonight,28615137,7581
48,tRuTh,27490124,3826
49,PILLOWTALK - the living room session,27356048,924
50,Alienated,26426094,13962
51,MiNd Of MiNdd (Intro),25814560,3195
52,Flight Of The Stars,25776865,5393
53,Natural,25493233,4593
54,"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24895329,772
55,INTERMISSION: fLoWer,23387084,2926
56,Connexion,22989271,2572
57,Unfuckwitable,22421058,5291
58,When Love's Around (feat. Syd),22286903,3529
59,Calamity,21894910,2975
60,River Road,21726826,3826
61,* Tu hai kahan (feat. ZAYN),21257366,2652
62,I Don't Mind,20921968,4159
63,Talk To Me,20768933,3966
64,Insomnia,20225061,3491
65,PILLOWTALK REMIX (feat. Lil Wayne),20182306,1491
66,Un mundo ideal (Versión Créditos),20162204,3746
67,If I Got You,19953199,3748
68,Windowsill (feat. Devlin),19906496,3029
69,Imprint,19856994,3593
70,Satisfaction,19031858,2834
71,Scripted,18801619,4571
72,wHo,17537657,3053
73,Stand Still,17282418,2843
74,You Wish You Knew,15226180,2677
75,All That,14872101,2779
76,LIKE I WOULD - The White Panda Remix,14603088,546
77,Lied To,14037776,16117
78,Icarus Interlude,13460265,2276
79,Good Guy,13195634,2313
80,* Freedun,13120371,660
81,Dusk Till Dawn (feat. Sia) - Luca Lush Remix,12513148,309
82,Fresh Air,11092180,1850
83,Dreamin,10447188,7147
84,Die For Me,9786112,248306
85,Dusk Till Dawn (feat. Sia),9645083,3729
86,False Starts,8928597,11269
87,My Woman,7997183,5658
88,* Trampoline - Joel Corry Remix,7948215,423
89,Birds On A Cloud,7250671,6931
90,Grateful,6895163,4125
91,* Angel,6720009,1086
92,How It Feels,6706319,4082
93,Something In The Water,6564931,4095
94,* Flames - Steve Aoki Remix,6086580,452
95,Shoot At Will,5741981,3761
96,Concrete Kisses,5672725,4569
97,* Flames - R3HAB & Skytech VIP Remix,5619258,313
98,LIKE I WOULD - Troyboi Remix,5565253,967
99,The Time,5515362,4007
100,* Flames - GATTÜSO Remix,5364741,203
101,Gates Of Hell,4920435,3118
102,Fuchsia Sea,4815055,3314
103,* Trampoline - Dave Audé Remix,4707865,143
104,* Fire Inside,4435213,1307
105,* Flames - Frank Walker Remix,4368115,214
106,Ignorance Ain't Bliss - Demo,3919953,4736
107,In The Bag,3690020,4197
108,LIKE I WOULD - Dave Audé Mix,3468065,135
109,Unf**kwitable,3427383,279
110,Love Like This - Mura Masa Remix,2725123,478
111,LIKE I WOULD - Oliver Nelson Remix,2719406,195
112,Gave,2666187,3516
113,LIKE I WOULD - Lenno Remix,1642591,53
114,* EYES CLOSED (with ZAYN) - 2X,1511646,4278
115,LIKE I WOULD - Rytmeklubben Remix,1432927,49
116,Alienated - Demo,1221652,1103
117,LIKE I WOULD - Sharam Jey Remix,1195473,59
118,* EYES CLOSED (with ZAYN) - 0.5X,1084213,2285
119,* EYES CLOSED (with ZAYN) - BARE,939101,2812
120,* Trampoline (Joel Corry Remix) - Extended Mix,544776,74
121,* EYES CLOSED (with ZAYN) - UNVEILED,354302,1335
